都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
青森県,青森市,大字後潟,,青森市大字後潟,02201,002000,4,0.0,青森市,大字後潟,青森市大字後潟,02201002000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青森県,青森市,大字後潟,字平野,青森市大字後潟字平野,02201,002001,4,284.0,青森市,大字後潟字平野,青森市大字後潟字平野,02201002001,6.0,6.0,5.0,8.0,6.0,9.0,10.0,13.0,9.0,19.0,23.0,22.0,25.0,31.0,32.0,20.0,21.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,17.0
青森県,青森市,大字後潟,字大原,青森市大字後潟字大原,02201,002002,4,265.0,青森市,大字後潟字大原,青森市大字後潟字大原,02201002002,3.0,0.0,5.0,7.0,4.0,9.0,11.0,5.0,12.0,18.0,19.0,27.0,25.0,24.0,35.0,27.0,17.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,17.0
青森県,青森市,大字六枚橋,字磯打,青森市大字六枚橋字磯打,02201,003001,4,289.0,青森市,大字六枚橋字磯打,青森市大字六枚橋字磯打,02201003001,5.0,5.0,7.0,6.0,6.0,3.0,8.0,17.0,10.0,24.0,14.0,24.0,21.0,32.0,19.0,25.0,21.0,21.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,19.0
青森県,青森市,大字六枚橋,字不浪知,青森市大字六枚橋字不浪知,02201,003002,4,155.0,青森市,大字六枚橋字不浪知,青森市大字六枚橋字不浪知,02201003002,3.0,1.0,4.0,7.0,4.0,6.0,5.0,5.0,7.0,11.0,16.0,11.0,15.0,16.0,14.0,12.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0
青森県,青森市,大字小橋,字田川,青森市大字小橋字田川,02201,004001,4,264.0,青森市,大字小橋字田川,青森市大字小橋字田川,02201004001,0.0,6.0,5.0,10.0,4.0,12.0,2.0,7.0,7.0,12.0,21.0,23.0,16.0,25.0,16.0,20.0,29.0,27.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,16.0
青森県,青森市,大字小橋,字伊沢,青森市大字小橋字伊沢,02201,004002,4,52.0,青森市,大字小橋字伊沢,青森市大字小橋字伊沢,02201004002,1.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,5.0,1.0,5.0,4.0,6.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
青森県,青森市,大字小橋,字千鳥,青森市大字小橋字千鳥,02201,004003,4,28.0,青森市,大字小橋字千鳥,青森市大字小橋字千鳥,02201004003,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,4.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青森県,青森市,大字小橋,字福田,青森市大字小橋字福田,02201,004004,4,110.0,青森市,大字小橋字福田,青森市大字小橋字福田,02201004004,2.0,0.0,3.0,6.0,2.0,4.0,5.0,7.0,4.0,11.0,7.0,8.0,6.0,16.0,12.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
青森県,青森市,大字左堰,字大科,青森市大字左堰字大科,02201,005001,4,184.0,青森市,大字左堰字大科,青森市大字左堰字大科,02201005001,2.0,4.0,6.0,8.0,5.0,3.0,3.0,10.0,10.0,10.0,15.0,18.0,14.0,19.0,23.0,9.0,14.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,11.0
青森県,青森市,大字左堰,字野田,青森市大字左堰字野田,02201,005002,4,147.0,青森市,大字左堰字野田,青森市大字左堰字野田,02201005002,1.0,6.0,1.0,4.0,2.0,1.0,5.0,7.0,10.0,9.0,7.0,10.0,17.0,12.0,18.0,9.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0
青森県,青森市,大字内真部,字岸田,青森市大字内真部字岸田,02201,006001,4,136.0,青森市,大字内真部字岸田,青森市大字内真部字岸田,02201006001,0.0,0.0,5.0,3.0,1.0,7.0,5.0,1.0,7.0,9.0,7.0,20.0,14.0,11.0,13.0,11.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
青森県,青森市,大字内真部,字平岡,青森市大字内真部字平岡,02201,006002,4,51.0,青森市,大字内真部字平岡,青森市大字内真部字平岡,02201006002,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,6.0,3.0,3.0,11.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
青森県,青森市,大字前田,字湯の沢,青森市大字前田字湯の沢,02201,008001,4,106.0,青森市,大字前田字湯の沢,青森市大字前田字湯の沢,02201008001,6.0,2.0,3.0,0.0,2.0,7.0,5.0,7.0,7.0,4.0,7.0,13.0,11.0,7.0,9.0,6.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0
青森県,青森市,大字前田,字中野,青森市大字前田字中野,02201,008002,4,212.0,青森市,大字前田字中野,青森市大字前田字中野,02201008002,5.0,7.0,4.0,8.0,2.0,7.0,12.0,8.0,9.0,13.0,7.0,14.0,28.0,16.0,28.0,17.0,12.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,12.0
青森県,青森市,大字奥内,,青森市大字奥内,02201,009000,4,0.0,青森市,大字奥内,青森市大字奥内,02201009000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
青森県,青森市,大字奥内,字平塚,青森市大字奥内字平塚,02201,009001,4,100.0,青森市,大字奥内字平塚,青森市大字奥内字平塚,02201009001,2.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,7.0,7.0,12.0,7.0,11.0,9.0,14.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
青森県,青森市,大字奥内,字川合,青森市大字奥内字川合,02201,009002,4,276.0,青森市,大字奥内字川合,青森市大字奥内字川合,02201009002,1.0,5.0,8.0,13.0,5.0,7.0,12.0,10.0,13.0,14.0,19.0,28.0,36.0,23.0,20.0,18.0,22.0,17.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,17.0
青森県,青森市,大字奥内,字宮田,青森市大字奥内字宮田,02201,009003,4,335.0,青森市,大字奥内字宮田,青森市大字奥内字宮田,02201009003,7.0,9.0,13.0,7.0,16.0,5.0,7.0,9.0,17.0,18.0,26.0,15.0,16.0,29.0,33.0,27.0,35.0,23.0,17.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,22.0
