town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,むつ総合病院,中央クリニックモール,医療法人章士会 三上医院,みちのくクリニック,村中内科・心療内科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人佑心会角田整形外科医院,千田病院,東通地域医療センター 東通村診療所,たなか泌尿器科クリニック,みどりが丘整形外科クリニック,ちば小児科アレルギー科クリニック,医療法人道坤会 菊池医院,白糠診療所
むつ市大字奥内字二又,むつ市,大字奥内字二又,02208037004,4.842585431458438,141.31226439024857,41.23677201515079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字奥内字二又道,むつ市,大字奥内字二又道,02208037006,6.913053413691865,141.29474733230563,41.222489475403194,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字奥内字金谷沢,むつ市,大字奥内字金谷沢,02208037002,6.986287387637724,141.2731639197664,41.23440045172932,475.0,722.0,0.0,377.0,240.0,166.0,0.0,0.0,158.0,242.0,0.0,0.0,0.0,0.0
むつ市大字奥内字奥内,むつ市,大字奥内字奥内,02208037007,7.332093898280014,141.30401889972418,41.215152388300176,739.0,82.0,380.0,86.0,638.0,0.0,25.0,0.0,98.0,25.0,0.0,0.0,0.0,0.0
むつ市大字田名部字最花,むつ市,大字田名部字最花,02208014011,7.6122234871086105,141.24620623631805,41.293257969325516,206.0,35.0,69.0,14.0,63.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,16.0,0.0
むつ市大字田名部字斗南岡,むつ市,大字田名部字斗南岡,02208014010,8.210118839676785,141.2427387423928,41.30299114714549,245.0,0.0,74.0,0.0,35.0,0.0,84.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0
むつ市大字奥内字大室平,むつ市,大字奥内字大室平,02208037001,8.258241231883202,141.24872296184208,41.24031979656923,0.0,255.0,0.0,258.0,190.0,0.0,63.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0
むつ市大字田名部字内田,むつ市,大字田名部字内田,02208014013,8.336294810647164,141.23514950320526,41.27193215081307,181.0,23.0,0.0,21.0,22.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字赤川ノ内並木,むつ市,大字田名部字赤川ノ内並木,02208014022,8.721108858475416,141.23748399542404,41.24841090148287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字品ノ木,むつ市,大字田名部字品ノ木,02208014012,8.83893916489853,141.23045823529117,41.290532913406224,1182.0,727.0,528.0,690.0,541.0,95.0,92.0,28.0,53.0,41.0,0.0,114.0,0.0,0.0
むつ市大字奥内字近川,むつ市,大字奥内字近川,02208037009,8.88443622984867,141.3057521714011,41.20004867673413,768.0,604.0,553.0,0.0,0.0,0.0,50.0,172.0,0.0,41.0,0.0,0.0,0.0,0.0
むつ市大字田名部字下川,むつ市,大字田名部字下川,02208014008,8.990651541691161,141.23053471427536,41.297263258408464,1005.0,540.0,492.0,339.0,72.0,242.0,19.0,0.0,33.0,0.0,0.0,31.0,0.0,0.0
むつ市大字奥内字今泉,むつ市,大字奥内字今泉,02208037005,9.007359240528222,141.2654126663953,41.21488696069188,21.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字土手内,むつ市,大字田名部字土手内,02208014009,9.197576608360242,141.23070787359165,41.30411126422889,763.0,186.0,214.0,282.0,156.0,131.0,201.0,0.0,18.0,20.0,26.0,0.0,84.0,0.0
むつ市大曲三丁目,むつ市,大曲三丁目,02208033003,9.206944903041958,141.22842762928678,41.25508176782635,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
むつ市大曲二丁目,むつ市,大曲二丁目,02208033002,9.472672253360356,141.22326745545038,41.26128152245965,419.0,337.0,232.0,39.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
むつ市大字田名部字袰部,むつ市,大字田名部字袰部,02208014020,9.473684793162013,141.2225518132646,41.28954450633139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市横迎町二丁目,むつ市,横迎町二丁目,02208008002,9.726350496641361,141.2208284047516,41.295156002292345,2319.0,816.0,712.0,149.0,233.0,94.0,64.0,69.0,139.0,0.0,0.0,132.0,74.0,0.0
むつ市大字田名部字上川,むつ市,大字田名部字上川,02208014002,9.73571076288044,141.2230267455027,41.30198135008174,621.0,0.0,473.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0
むつ市横迎町一丁目,むつ市,横迎町一丁目,02208008001,9.76007201175903,141.2195116230363,41.29158073797415,1624.0,606.0,556.0,139.0,277.0,140.0,283.0,0.0,249.0,0.0,82.0,29.0,61.0,0.0
むつ市苫生一丁目,むつ市,苫生一丁目,02208063001,9.77345754013018,141.21841553963327,41.28651951426619,744.0,162.0,466.0,113.0,381.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,58.0,0.0
むつ市大曲一丁目,むつ市,大曲一丁目,02208033001,9.78196883594885,141.21820780808156,41.268213965611,1565.0,945.0,380.0,386.0,106.0,235.0,155.0,31.0,85.0,0.0,0.0,94.0,117.0,0.0
むつ市苫生二丁目,むつ市,苫生二丁目,02208063002,9.982139737328113,141.21554056255815,41.283474157180216,529.0,460.0,736.0,281.0,32.0,235.0,264.0,30.0,0.0,69.0,0.0,0.0,111.0,0.0
むつ市金曲二丁目,むつ市,金曲二丁目,02208030002,10.00262655439789,141.21499281890712,41.275871801319546,767.0,66.0,105.0,365.0,187.0,31.0,32.0,50.0,31.0,128.0,31.0,123.0,28.0,0.0
むつ市大字奥内字浜奥内,むつ市,大字奥内字浜奥内,02208037008,10.031564289672064,141.2661482261267,41.2028810330239,438.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市柳町一丁目,むつ市,柳町一丁目,02208003001,10.348452492525286,141.21383256110417,41.29731169696539,520.0,53.0,464.0,0.0,0.0,252.0,45.0,0.0,44.0,0.0,16.0,0.0,0.0,0.0
むつ市柳町二丁目,むつ市,柳町二丁目,02208003002,10.352180456096207,141.21458202663527,41.29981946623757,1757.0,535.0,275.0,268.0,82.0,241.0,193.0,0.0,50.0,40.0,44.0,0.0,27.0,0.0
むつ市金曲三丁目,むつ市,金曲三丁目,02208030003,10.354989120991373,141.21081532555826,41.27439520471113,2098.0,412.0,523.0,150.0,180.0,26.0,96.0,164.0,115.0,61.0,29.0,57.0,113.0,84.0
むつ市柳町三丁目,むつ市,柳町三丁目,02208003003,10.38256873477871,141.21532931584113,41.30293577829939,1399.0,212.0,397.0,121.0,34.0,33.0,142.0,0.0,285.0,148.0,34.0,43.0,0.0,0.0
むつ市大字田名部字小平舘の内尻釜,むつ市,大字田名部字小平舘の内尻釜,02208014005,10.43605631983999,141.22279730986358,41.31867925223645,332.0,258.0,32.0,33.0,16.0,0.0,0.0,68.0,87.0,90.0,0.0,0.0,0.0,0.0
むつ市柳町四丁目,むつ市,柳町四丁目,02208003004,10.529469782929091,141.2146402346269,41.30577404952326,1633.0,458.0,359.0,335.0,0.0,203.0,0.0,0.0,83.0,39.0,0.0,393.0,92.0,0.0
むつ市金曲一丁目,むつ市,金曲一丁目,02208030001,10.537961272498926,141.20872178486272,41.28153189962312,3755.0,1769.0,414.0,818.0,232.0,446.0,200.0,183.0,151.0,32.0,29.0,0.0,0.0,0.0
むつ市小川町二丁目,むつ市,小川町二丁目,02208011002,10.707999024625362,141.20911207431843,41.29618612693692,899.0,211.0,440.0,506.0,27.0,207.0,230.0,52.0,0.0,29.0,22.0,52.0,118.0,0.0
むつ市大字中野沢字中野沢,むつ市,大字中野沢字中野沢,02208038001,11.036275952651618,141.29794413791106,41.18160149541253,683.0,349.0,0.0,202.0,307.0,0.0,207.0,39.0,0.0,0.0,86.0,0.0,0.0,0.0
むつ市小川町一丁目,むつ市,小川町一丁目,02208011001,11.142319388084974,141.20372645758366,41.295856933430045,5786.0,586.0,491.0,416.0,691.0,421.0,334.0,1493.0,0.0,144.0,0.0,97.0,0.0,0.0
むつ市大字田名部字椛山,むつ市,大字田名部字椛山,02208014007,11.332765539910667,141.21950039683932,41.3307872943994,559.0,129.0,64.0,163.0,130.0,62.0,55.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0
むつ市大字関根字水川目,むつ市,大字関根字水川目,02208036005,11.4018607972685,141.2338504573645,41.346055142901285,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0
むつ市金谷一丁目,むつ市,金谷一丁目,02208015001,11.612513339922266,141.1981177390618,41.296332113001775,2782.0,926.0,529.0,436.0,184.0,274.0,648.0,111.0,0.0,72.0,45.0,331.0,204.0,0.0
むつ市大字田名部字松山,むつ市,大字田名部字松山,02208014003,11.737822319553965,141.19938405386438,41.30537119216345,22.0,88.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字女舘,むつ市,大字田名部字女舘,02208014004,11.950741899399977,141.20053416521378,41.31425507139215,847.0,141.0,298.0,323.0,40.0,51.0,32.0,17.0,0.0,66.0,93.0,84.0,14.0,0.0
むつ市金谷二丁目,むつ市,金谷二丁目,02208015002,12.037460863583926,141.19252820436589,41.29451744967659,1445.0,773.0,106.0,57.0,183.0,134.0,76.0,48.0,38.0,36.0,36.0,89.0,21.0,0.0
むつ市中央一丁目,むつ市,中央一丁目,02208017001,12.490115061460486,141.18674135229773,41.29302673419254,202.0,374.0,313.0,511.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0
むつ市中央二丁目,むつ市,中央二丁目,02208017002,12.74447546837544,141.18318092429686,41.2901840895654,1559.0,885.0,403.0,636.0,41.0,43.0,199.0,74.0,174.0,90.0,33.0,39.0,77.0,0.0
むつ市大字関根字名古平,むつ市,大字関根字名古平,02208036001,12.763690900010568,141.20669642939316,41.33964782455617,50.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字二又川目,むつ市,大字田名部字二又川目,02208014014,13.094826075015337,141.18386336627438,41.30899316289347,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字北関根,むつ市,大字関根字北関根,02208036003,13.230718711304357,141.2203710361575,41.359314086447924,1091.0,304.0,793.0,549.0,0.0,0.0,0.0,135.0,91.0,48.0,521.0,0.0,0.0,0.0
むつ市大字田名部字高田,むつ市,大字田名部字高田,02208014024,13.302076662297694,141.17738760103256,41.29540281723563,81.0,89.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字南関根,むつ市,大字関根字南関根,02208036002,13.667705685390878,141.1990481329078,41.345700310376536,709.0,56.0,966.0,0.0,0.0,0.0,68.0,60.0,81.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字宮後,むつ市,大字田名部字宮後,02208014006,13.865113978769232,141.1821178206356,41.32604328248409,261.0,0.0,0.0,150.0,0.0,173.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0
むつ市大字田名部字落野沢,むつ市,大字田名部字落野沢,02208014019,14.018408158395857,141.16964022000562,41.299624239125365,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0
むつ市大字田名部字二又,むつ市,大字田名部字二又,02208014015,14.258302552308214,141.168485761162,41.3060726961427,71.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字山田,むつ市,大字大平字山田,02208044002,14.434156091012367,141.16449178513926,41.29922784928399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字十二林,むつ市,大字田名部字十二林,02208014016,14.61622397839537,141.16757413447527,41.315865658923485,150.0,119.0,17.0,0.0,68.0,0.0,0.0,12.0,39.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字出戸川目,むつ市,大字関根字出戸川目,02208036008,14.682226184815853,141.20522149337737,41.366271089310594,145.0,214.0,23.0,0.0,17.0,0.0,27.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
むつ市大字大平字梨子木平,むつ市,大字大平字梨子木平,02208044004,14.77123395873919,141.15921082795975,41.29308944441334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字落野沢,むつ市,大字大平字落野沢,02208044001,14.805190598875027,141.16067005737523,41.302082934667034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字荒川,むつ市,大字大平字荒川,02208044003,14.9662772225698,141.15759017593876,41.29714623361801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字多賀道,むつ市,大字大平字多賀道,02208044005,15.067904465996401,141.1553957084639,41.29150480802471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大湊字近川,むつ市,大字大湊字近川,02208052001,15.280528312214061,141.15188533825918,41.28059652444831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
むつ市大字関根字高梨川目,むつ市,大字関根字高梨川目,02208036004,15.303090393371022,141.1807242885635,41.35155273369144,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0
