TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,たなか泌尿器科クリニック,ちば小児科アレルギー科クリニック,みちのくクリニック,みどりが丘整形外科クリニック,むつ総合病院,中央クリニックモール,医療法人佑心会角田整形外科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人章士会 三上医院,医療法人道坤会 菊池医院,千田病院,村中内科・心療内科医院,東通地域医療センター 東通村診療所,白糠診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
02208037004,むつ市,大字奥内字二又,むつ市,大字奥内字二又,むつ市大字奥内字二又,青森県,むつ市,大字奥内,字二又,むつ市大字奥内字二又,2208,37004,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.31226439024857,41.23677201515079,4.842585431458438,0.0,むつ市大字奥内字二又,むつ市奥内字二又,code_in_car30
02208037006,むつ市,大字奥内字二又道,むつ市,大字奥内字二又道,むつ市大字奥内字二又道,青森県,むつ市,大字奥内,字二又道,むつ市大字奥内字二又道,2208,37006,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,141.29474733230563,41.222489475403194,6.913053413691865,30.0,むつ市大字奥内字二又道,むつ市奥内字二又道,code_in_car30
02208037002,むつ市,大字奥内字金谷沢,むつ市,大字奥内字金谷沢,むつ市大字奥内字金谷沢,青森県,むつ市,大字奥内,字金谷沢,むつ市大字奥内字金谷沢,2208,37002,4,243.0,2.0,5.0,8.0,5.0,2.0,2.0,4.0,4.0,12.0,13.0,12.0,15.0,16.0,28.0,23.0,19.0,34.0,19.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,18.0,242.0,0.0,377.0,0.0,475.0,722.0,0.0,166.0,0.0,0.0,0.0,240.0,158.0,0.0,141.2731639197664,41.23440045172932,6.986287387637724,2380.0,むつ市大字奥内字金谷沢,むつ市奥内字金谷沢,code_in_car30
02208037007,むつ市,大字奥内字奥内,むつ市,大字奥内字奥内,むつ市大字奥内字奥内,青森県,むつ市,大字奥内,字奥内,むつ市大字奥内字奥内,2208,37007,4,216.0,4.0,7.0,9.0,7.0,5.0,1.0,3.0,13.0,9.0,19.0,17.0,9.0,17.0,23.0,25.0,20.0,14.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,14.0,25.0,0.0,86.0,0.0,739.0,82.0,25.0,0.0,380.0,0.0,0.0,638.0,98.0,0.0,141.30401889972418,41.215152388300176,7.332093898280014,2073.0,むつ市大字奥内字奥内,むつ市奥内字奥内,code_in_car30
02208014011,むつ市,大字田名部字最花,むつ市,大字田名部字最花,むつ市大字田名部字最花,青森県,むつ市,大字田名部,字最花,むつ市大字田名部字最花,2208,14011,4,113.0,1.0,3.0,4.0,3.0,0.0,2.0,2.0,5.0,6.0,12.0,9.0,5.0,9.0,12.0,14.0,7.0,9.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,206.0,35.0,0.0,0.0,69.0,16.0,0.0,63.0,48.0,0.0,141.24620623631805,41.293257969325516,7.6122234871086105,451.0,むつ市大字田名部字最花,むつ市田名部字最花,code_in_car30
02208014010,むつ市,大字田名部字斗南岡,むつ市,大字田名部字斗南岡,むつ市大字田名部字斗南岡,青森県,むつ市,大字田名部,字斗南岡,むつ市大字田名部字斗南岡,2208,14010,4,96.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,5.0,7.0,6.0,5.0,6.0,8.0,13.0,14.0,8.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,129.0,245.0,0.0,84.0,0.0,74.0,0.0,0.0,35.0,0.0,0.0,141.2427387423928,41.30299114714549,8.210118839676785,567.0,むつ市大字田名部字斗南岡,むつ市田名部字斗南岡,code_in_car30
02208037001,むつ市,大字奥内字大室平,むつ市,大字奥内字大室平,むつ市大字奥内字大室平,青森県,むつ市,大字奥内,字大室平,むつ市大字奥内字大室平,2208,37001,4,134.0,4.0,0.0,1.0,2.0,5.0,6.0,5.0,7.0,13.0,11.0,19.0,10.0,5.0,13.0,9.0,9.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,258.0,287.0,0.0,255.0,63.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,141.24872296184208,41.24031979656923,8.258241231883202,1053.0,むつ市大字奥内字大室平,むつ市奥内字大室平,code_in_car30
02208014013,むつ市,大字田名部字内田,むつ市,大字田名部字内田,むつ市大字田名部字内田,青森県,むつ市,大字田名部,字内田,むつ市大字田名部字内田,2208,14013,4,55.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,6.0,9.0,9.0,7.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,0.0,181.0,23.0,0.0,0.0,0.0,0.0,11.0,22.0,0.0,0.0,141.23514950320526,41.27193215081307,8.336294810647164,258.0,むつ市大字田名部字内田,むつ市田名部字内田,code_in_car30
02208014022,むつ市,大字田名部字赤川ノ内並木,むつ市,大字田名部字赤川ノ内並木,むつ市大字田名部字赤川ノ内並木,青森県,むつ市,大字田名部,字赤川ノ内並木,むつ市大字田名部字赤川ノ内並木,2208,14022,4,170.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,6.0,5.0,6.0,5.0,13.0,18.0,23.0,11.0,18.0,17.0,21.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.23748399542404,41.24841090148287,8.721108858475416,0.0,むつ市大字田名部字赤川ノ内並木,むつ市田名部字赤川ノ内並木,code_in_car30
02208014012,むつ市,大字田名部字品ノ木,むつ市,大字田名部字品ノ木,むつ市大字田名部字品ノ木,青森県,むつ市,大字田名部,字品ノ木,むつ市大字田名部字品ノ木,2208,14012,4,864.0,36.0,33.0,34.0,27.0,16.0,36.0,32.0,43.0,58.0,71.0,51.0,62.0,50.0,89.0,71.0,47.0,41.0,17.0,4.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,7.0,7.0,5.0,5.0,2.0,0.0,0.0,0.0,48.0,41.0,114.0,690.0,0.0,1182.0,727.0,92.0,95.0,528.0,0.0,28.0,541.0,53.0,0.0,141.23045823529117,41.290532913406224,8.83893916489853,4091.0,むつ市大字田名部字品ノ木,むつ市田名部字品ノ木,code_in_car30
