town_name_show,dist_km,東通地域医療センター 東通村診療所,六ヶ所村地域家庭医療センター,六ヶ所村立泊診療所,白糠診療所
むつ市大字中野沢字畑沢野,7.266494031241833,0.0,0.0,0.0,0.0
横浜町字林尻,7.702457756544294,0.0,0.0,0.0,0.0
横浜町字獅子沢平,7.824504397678533,0.0,0.0,0.0,0.0
横浜町字梨木平,8.325423489066592,0.0,0.0,0.0,0.0
むつ市大字中野沢字中野沢,8.352001073490811,0.0,0.0,0.0,0.0
横浜町字川太郎川目,8.721767128419623,0.0,0.0,0.0,0.0
むつ市大字奥内字近川,9.013702068872465,0.0,0.0,0.0,0.0
横浜町字下苗代川目,9.059688415014296,0.0,0.0,0.0,0.0
横浜町字浜田,9.125023285307842,0.0,0.0,0.0,0.0
横浜町字苗代川目,9.292602366667735,0.0,0.0,0.0,0.0
横浜町字大畑,9.36879419520589,0.0,0.0,0.0,0.0
横浜町字夷ヶ沢平,9.428853216533074,0.0,0.0,0.0,0.0
横浜町字有畑,9.72126137267925,0.0,0.0,0.0,0.0
横浜町字鶏沢,9.757521694660053,0.0,0.0,0.0,0.0
横浜町字中畑,9.855960206661727,0.0,0.0,0.0,0.0
横浜町字大豆田,9.974214865589714,0.0,0.0,0.0,0.0
むつ市大字奥内字奥内,10.313557861620463,98.0,0.0,0.0,0.0
横浜町字稲荷平,10.44678184591647,0.0,0.0,0.0,0.0
横浜町字家ノ前川目,10.456644222585627,0.0,38.0,0.0,0.0
むつ市大字奥内字二又道,11.43844809507791,0.0,0.0,0.0,0.0
むつ市大字奥内字浜奥内,11.84832050619105,0.0,0.0,0.0,0.0
むつ市大字奥内字今泉,12.664974227145295,0.0,0.0,0.0,0.0
むつ市大字奥内字金谷沢,13.635516755424474,158.0,0.0,0.0,0.0
むつ市大字奥内字大室平,15.555588325618075,0.0,0.0,0.0,0.0
