TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,六ヶ所村地域家庭医療センター,六ヶ所村立泊診療所,東通地域医療センター 東通村診療所,白糠診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
02208038002,むつ市,大字中野沢字畑沢野,むつ市,大字中野沢字畑沢野,むつ市大字中野沢字畑沢野,青森県,むつ市,大字中野沢,字畑沢野,むつ市大字中野沢字畑沢野,2208,38002,4,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.30254564965628,41.164840158326676,7.266494031241833,0.0,むつ市大字中野沢字畑沢野,むつ市中野沢字畑沢野,code_in_car30
02406001001,横浜町,字林尻,横浜町,字林尻,横浜町字林尻,青森県,横浜町,字林尻,,横浜町字林尻,2406,1001,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.2935252041199,41.14349909413979,7.702457756544294,0.0,横浜町字林尻,横浜町字林尻,code_in_car30
02406001004,横浜町,字獅子沢平,横浜町,字獅子沢平,横浜町字獅子沢平,青森県,横浜町,字獅子沢平,,横浜町字獅子沢平,2406,1004,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.29418633212393,41.1305404329278,7.824504397678533,0.0,横浜町字獅子沢平,横浜町字獅子沢平,code_in_car30
02406001012,横浜町,字梨木平,横浜町,字梨木平,横浜町字梨木平,青森県,横浜町,字梨木平,,横浜町字梨木平,2406,1012,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.29314396357353,41.117798773170456,8.325423489066592,0.0,横浜町字梨木平,横浜町字梨木平,code_in_car30
02208038001,むつ市,大字中野沢字中野沢,むつ市,大字中野沢字中野沢,むつ市大字中野沢字中野沢,青森県,むつ市,大字中野沢,字中野沢,むつ市大字中野沢字中野沢,2208,38001,4,301.0,8.0,4.0,8.0,4.0,5.0,9.0,17.0,11.0,13.0,13.0,20.0,22.0,33.0,35.0,32.0,20.0,29.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,141.29794413791106,41.18160149541253,8.352001073490811,0.0,むつ市大字中野沢字中野沢,むつ市中野沢字中野沢,code_in_car30
02406001003,横浜町,字川太郎川目,横浜町,字川太郎川目,横浜町字川太郎川目,青森県,横浜町,字川太郎川目,,横浜町字川太郎川目,2406,1003,4,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,5.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.28377949441833,41.12861544444538,8.721767128419623,0.0,横浜町字川太郎川目,横浜町字川太郎川目,code_in_car30
02208037009,むつ市,大字奥内字近川,むつ市,大字奥内字近川,むつ市大字奥内字近川,青森県,むつ市,大字奥内,字近川,むつ市大字奥内字近川,2208,37009,4,375.0,2.0,1.0,4.0,21.0,5.0,10.0,10.0,9.0,10.0,14.0,20.0,24.0,23.0,38.0,33.0,26.0,47.0,43.0,21.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,5.0,2.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,141.3057521714011,41.20004867673413,9.013702068872465,0.0,むつ市大字奥内字近川,むつ市奥内字近川,code_in_car30
02406001006,横浜町,字下苗代川目,横浜町,字下苗代川目,横浜町字下苗代川目,青森県,横浜町,字下苗代川目,,横浜町字下苗代川目,2406,1006,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.27898676179623,41.131160242752316,9.059688415014296,0.0,横浜町字下苗代川目,横浜町字下苗代川目,code_in_car30
02406001002,横浜町,字浜田,横浜町,字浜田,横浜町字浜田,青森県,横浜町,字浜田,,横浜町字浜田,2406,1002,4,103.0,6.0,2.0,3.0,0.0,3.0,4.0,2.0,4.0,2.0,8.0,5.0,10.0,7.0,17.0,11.0,7.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,141.2767747703937,41.13971700165964,9.125023285307842,0.0,横浜町字浜田,横浜町字浜田,code_in_car30
02406001005,横浜町,字苗代川目,横浜町,字苗代川目,横浜町字苗代川目,青森県,横浜町,字苗代川目,,横浜町字苗代川目,2406,1005,4,134.0,0.0,0.0,2.0,5.0,7.0,4.0,3.0,4.0,7.0,11.0,13.0,7.0,11.0,17.0,14.0,9.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,141.27606260700276,41.13159468013784,9.292602366667735,0.0,横浜町字苗代川目,横浜町字苗代川目,code_in_car30
02406001008,横浜町,字大畑,横浜町,字大畑,横浜町字大畑,青森県,横浜町,字大畑,,横浜町字大畑,2406,1008,4,80.0,4.0,5.0,4.0,3.0,3.0,7.0,4.0,4.0,3.0,1.0,6.0,4.0,5.0,5.0,7.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,141.27590483249796,41.12852515401563,9.36879419520589,0.0,横浜町字大畑,横浜町字大畑,code_in_car30
02406001011,横浜町,字夷ヶ沢平,横浜町,字夷ヶ沢平,横浜町字夷ヶ沢平,青森県,横浜町,字夷ヶ沢平,,横浜町字夷ヶ沢平,2406,1011,4,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.2773852703998,41.1218166484825,9.428853216533074,0.0,横浜町字夷ヶ沢平,横浜町字夷ヶ沢平,code_in_car30
02406001007,横浜町,字有畑,横浜町,字有畑,横浜町字有畑,青森県,横浜町,字有畑,,横浜町字有畑,2406,1007,4,81.0,0.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,10.0,5.0,5.0,5.0,5.0,8.0,7.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,141.270864121201,41.13164191361068,9.72126137267925,0.0,横浜町字有畑,横浜町字有畑,code_in_car30
02406001009,横浜町,字鶏沢,横浜町,字鶏沢,横浜町字鶏沢,青森県,横浜町,字鶏沢,,横浜町字鶏沢,2406,1009,4,113.0,3.0,4.0,9.0,6.0,2.0,5.0,1.0,11.0,7.0,8.0,8.0,5.0,3.0,13.0,12.0,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,141.2712465150767,41.128234681429404,9.757521694660053,0.0,横浜町字鶏沢,横浜町字鶏沢,code_in_car30
02406001010,横浜町,字中畑,横浜町,字中畑,横浜町字中畑,青森県,横浜町,字中畑,,横浜町字中畑,2406,1010,4,121.0,1.0,2.0,7.0,1.0,0.0,1.0,6.0,7.0,6.0,4.0,11.0,11.0,7.0,13.0,13.0,11.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,141.27078656963104,41.12565100528158,9.855960206661727,0.0,横浜町字中畑,横浜町字中畑,code_in_car30
02406001014,横浜町,字大豆田,横浜町,字大豆田,横浜町字大豆田,青森県,横浜町,字大豆田,,横浜町字大豆田,2406,1014,4,89.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,3.0,7.0,9.0,4.0,7.0,6.0,13.0,11.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,141.27490562133625,41.11222494447367,9.974214865589714,0.0,横浜町字大豆田,横浜町字大豆田,code_in_car30
02208037007,むつ市,大字奥内字奥内,むつ市,大字奥内字奥内,むつ市大字奥内字奥内,青森県,むつ市,大字奥内,字奥内,むつ市大字奥内字奥内,2208,37007,4,216.0,4.0,7.0,9.0,7.0,5.0,1.0,3.0,13.0,9.0,19.0,17.0,9.0,17.0,23.0,25.0,20.0,14.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,98.0,0.0,141.30401889972418,41.215152388300176,10.313557861620463,98.0,むつ市大字奥内字奥内,むつ市奥内字奥内,code_in_car30
02406001013,横浜町,字稲荷平,横浜町,字稲荷平,横浜町字稲荷平,青森県,横浜町,字稲荷平,,横浜町字稲荷平,2406,1013,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.26526434264096,41.12045582523952,10.44678184591647,0.0,横浜町字稲荷平,横浜町字稲荷平,code_in_car30
02406001015,横浜町,字家ノ前川目,横浜町,字家ノ前川目,横浜町字家ノ前川目,青森県,横浜町,字家ノ前川目,,横浜町字家ノ前川目,2406,1015,4,209.0,6.0,9.0,6.0,11.0,5.0,11.0,12.0,3.0,5.0,15.0,17.0,15.0,14.0,12.0,23.0,14.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,13.0,38.0,0.0,0.0,0.0,141.2708740720787,41.10823683248807,10.456644222585627,38.0,横浜町字家ノ前川目,横浜町字家ノ前川目,code_in_car30
02208037006,むつ市,大字奥内字二又道,むつ市,大字奥内字二又道,むつ市大字奥内字二又道,青森県,むつ市,大字奥内,字二又道,むつ市大字奥内字二又道,2208,37006,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.29474733230563,41.222489475403194,11.43844809507791,0.0,むつ市大字奥内字二又道,むつ市奥内字二又道,code_in_car30
02208037008,むつ市,大字奥内字浜奥内,むつ市,大字奥内字浜奥内,むつ市大字奥内字浜奥内,青森県,むつ市,大字奥内,字浜奥内,むつ市大字奥内字浜奥内,2208,37008,4,100.0,2.0,0.0,4.0,8.0,1.0,1.0,0.0,5.0,8.0,9.0,3.0,5.0,6.0,8.0,15.0,9.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,141.2661482261267,41.2028810330239,11.84832050619105,0.0,むつ市大字奥内字浜奥内,むつ市奥内字浜奥内,code_in_car30
02208037005,むつ市,大字奥内字今泉,むつ市,大字奥内字今泉,むつ市大字奥内字今泉,青森県,むつ市,大字奥内,字今泉,むつ市大字奥内字今泉,2208,37005,4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,5.0,6.0,4.0,1.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,141.2654126663953,41.21488696069188,12.664974227145295,0.0,むつ市大字奥内字今泉,むつ市奥内字今泉,code_in_car30
02208037002,むつ市,大字奥内字金谷沢,むつ市,大字奥内字金谷沢,むつ市大字奥内字金谷沢,青森県,むつ市,大字奥内,字金谷沢,むつ市大字奥内字金谷沢,2208,37002,4,243.0,2.0,5.0,8.0,5.0,2.0,2.0,4.0,4.0,12.0,13.0,12.0,15.0,16.0,28.0,23.0,19.0,34.0,19.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,18.0,0.0,0.0,158.0,0.0,141.2731639197664,41.23440045172932,13.635516755424474,158.0,むつ市大字奥内字金谷沢,むつ市奥内字金谷沢,code_in_car30
02208037001,むつ市,大字奥内字大室平,むつ市,大字奥内字大室平,むつ市大字奥内字大室平,青森県,むつ市,大字奥内,字大室平,むつ市大字奥内字大室平,2208,37001,4,134.0,4.0,0.0,1.0,2.0,5.0,6.0,5.0,7.0,13.0,11.0,19.0,10.0,5.0,13.0,9.0,9.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,141.24872296184208,41.24031979656923,15.555588325618075,0.0,むつ市大字奥内字大室平,むつ市奥内字大室平,code_in_car30
