都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
千葉県,千葉市中央区,稲荷町,一丁目,千葉市中央区稲荷町一丁目,12101,005001,4,756.0,千葉市中央区,稲荷町一丁目,千葉市中央区稲荷町一丁目,12101005001,19.0,18.0,25.0,49.0,41.0,27.0,42.0,26.0,41.0,49.0,53.0,55.0,22.0,34.0,42.0,18.0,32.0,23.0,18.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,3.0,2.0,1.0,0.0,36.0
千葉県,千葉市中央区,稲荷町,二丁目,千葉市中央区稲荷町二丁目,12101,005002,4,628.0,千葉市中央区,稲荷町二丁目,千葉市中央区稲荷町二丁目,12101005002,22.0,25.0,11.0,10.0,27.0,47.0,46.0,47.0,35.0,44.0,15.0,23.0,31.0,27.0,33.0,20.0,16.0,12.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,24.0
千葉県,千葉市中央区,稲荷町,三丁目,千葉市中央区稲荷町三丁目,12101,005003,4,638.0,千葉市中央区,稲荷町三丁目,千葉市中央区稲荷町三丁目,12101005003,6.0,16.0,14.0,15.0,34.0,47.0,31.0,35.0,26.0,54.0,35.0,33.0,29.0,32.0,28.0,11.0,9.0,14.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,26.0
千葉県,千葉市中央区,亥鼻,一丁目,千葉市中央区亥鼻一丁目,12101,006001,4,424.0,千葉市中央区,亥鼻一丁目,千葉市中央区亥鼻一丁目,12101006001,2.0,3.0,4.0,14.0,136.0,64.0,18.0,22.0,13.0,9.0,7.0,12.0,9.0,7.0,13.0,13.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0
千葉県,千葉市中央区,亥鼻,二丁目,千葉市中央区亥鼻二丁目,12101,006002,4,393.0,千葉市中央区,亥鼻二丁目,千葉市中央区亥鼻二丁目,12101006002,9.0,12.0,10.0,14.0,43.0,31.0,26.0,24.0,24.0,19.0,19.0,26.0,29.0,22.0,20.0,13.0,13.0,10.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,20.0
千葉県,千葉市中央区,亥鼻,三丁目,千葉市中央区亥鼻三丁目,12101,006003,4,662.0,千葉市中央区,亥鼻三丁目,千葉市中央区亥鼻三丁目,12101006003,14.0,19.0,16.0,22.0,67.0,47.0,48.0,39.0,33.0,52.0,36.0,35.0,30.0,28.0,29.0,37.0,30.0,23.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,36.0
千葉県,千葉市中央区,今井,一丁目,千葉市中央区今井一丁目,12101,007001,4,1442.0,千葉市中央区,今井一丁目,千葉市中央区今井一丁目,12101007001,24.0,20.0,21.0,32.0,113.0,133.0,120.0,76.0,62.0,79.0,93.0,75.0,69.0,71.0,60.0,43.0,51.0,28.0,11.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,3.0,1.0,0.0,0.0,62.0
千葉県,千葉市中央区,今井,二丁目,千葉市中央区今井二丁目,12101,007002,4,1445.0,千葉市中央区,今井二丁目,千葉市中央区今井二丁目,12101007002,28.0,17.0,21.0,60.0,131.0,128.0,93.0,76.0,78.0,89.0,81.0,78.0,51.0,43.0,53.0,30.0,27.0,25.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,52.0
千葉県,千葉市中央区,今井,三丁目,千葉市中央区今井三丁目,12101,007003,4,1495.0,千葉市中央区,今井三丁目,千葉市中央区今井三丁目,12101007003,44.0,34.0,31.0,47.0,119.0,184.0,135.0,112.0,112.0,113.0,97.0,75.0,59.0,47.0,63.0,34.0,35.0,24.0,8.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,3.0,1.0,0.0,0.0,64.0
千葉県,千葉市中央区,院内,一丁目,千葉市中央区院内一丁目,12101,009001,4,733.0,千葉市中央区,院内一丁目,千葉市中央区院内一丁目,12101009001,3.0,10.0,5.0,7.0,33.0,37.0,28.0,21.0,25.0,21.0,19.0,22.0,19.0,18.0,26.0,26.0,34.0,26.0,22.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,25.0
