town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,社会医療法人社団さつき会 かずさアカデミアクリニック,医療法人社団 雄成会 中村医院,サン・ラポール南房総診療所,医療法人社団周晴会 鈴木病院,医療法人社団 慈永会 永峯医院,まえだクリニック,平岡医院,榎本医院,君津サンクリニック,医療法人社団芙蓉会 千葉芙蓉病院,鴨川市立国保病院,君津市国保笹診療所,君津市国保松丘診療所,君津市国保小櫃診療所
君津市広岡,君津市,広岡,12225125000,0.37348876859284297,140.0630235898345,35.2592207999675,0.0,0.0,0.0,0.0,0.0,1306.0,0.0,0.0,0.0,657.0,0.0,108.0,0.0,0.0
君津市大戸見,君津市,大戸見,12225126000,1.4851952495754377,140.06447896770499,35.244873210563114,93.0,0.0,0.0,0.0,47.0,217.0,0.0,77.0,0.0,0.0,0.0,0.0,54.0,0.0
君津市平山,君津市,平山,12225122000,1.8473223948862194,140.07057586434146,35.27148066781767,0.0,0.0,54.0,0.0,54.0,360.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0
君津市大戸見旧名殿,君津市,大戸見旧名殿,12225127000,1.9001696386698221,140.07624554876608,35.24740190508654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市山滝野,君津市,山滝野,12225123000,2.3453952804848752,140.0416156569052,35.27285026055187,180.0,0.0,0.0,0.0,58.0,115.0,0.0,0.0,0.0,72.0,0.0,64.0,0.0,0.0
君津市利根,君津市,利根,12225130000,2.386899988979418,140.07864554553686,35.24292725876909,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市大坂,君津市,大坂,12225124000,2.4620440480539503,140.03798473913469,35.24403618534805,37.0,0.0,0.0,0.0,309.0,122.0,0.0,49.0,0.0,219.0,0.0,0.0,0.0,37.0
君津市芋窪,君津市,芋窪,12225118000,2.569099305691314,140.0570181616932,35.280598910695815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市大中,君津市,大中,12225131000,2.6062319201401256,140.07334759944234,35.23707854301382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市浦田,君津市,浦田,12225111000,2.88519106382711,140.08260272550294,35.27533966943553,0.0,0.0,0.0,0.0,452.0,875.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
