town_name_show,dist_km,社会医療法人社団さつき会 かずさアカデミアクリニック,医療法人社団 雄成会 中村医院,サン・ラポール南房総診療所,医療法人社団周晴会 鈴木病院,医療法人社団 慈永会 永峯医院,まえだクリニック,平岡医院,榎本医院,君津サンクリニック,医療法人社団芙蓉会 千葉芙蓉病院,鴨川市立国保病院,君津市国保笹診療所,君津市国保松丘診療所,君津市国保小櫃診療所
君津市広岡,0.37348876859284297,0.0,0.0,0.0,0.0,0.0,1306.0,0.0,0.0,0.0,657.0,0.0,108.0,0.0,0.0
君津市大戸見,1.4851952495754377,93.0,0.0,0.0,0.0,0.0,217.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市平山,1.8473223948862194,0.0,0.0,0.0,0.0,54.0,360.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0
君津市大戸見旧名殿,1.9001696386698221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市山滝野,2.3453952804848752,180.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
君津市利根,2.386899988979418,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市大坂,2.4620440480539503,0.0,0.0,0.0,0.0,309.0,122.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0
君津市芋窪,2.569099305691314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市大中,2.6062319201401256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市浦田,2.88519106382711,0.0,0.0,0.0,0.0,452.0,875.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市栗坪,2.9248411734019477,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市柳城,3.1334071055499564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市高水,3.258532866126941,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市豊田旧野中,3.361725748143219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市向郷,3.488125324234216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
君津市加名盛,3.5871567303941405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
君津市藤林,3.872487232168188,0.0,0.0,0.0,63.0,0.0,0.0,0.0,1469.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市豊田旧菅間田,3.892132930881057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市愛宕,3.913549870610147,0.0,0.0,0.0,0.0,216.0,137.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0
君津市東猪原,3.9394114694930304,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市久留里大和田,4.148818281014755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市怒田,4.292044875687821,0.0,0.0,0.0,0.0,274.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市富田,4.3480899334972545,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0
君津市川俣旧押込,4.364845453743355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市大野台,4.545391843746536,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市久留里,4.5748601998632585,49.0,0.0,0.0,0.0,287.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市坂畑,4.5862641040721,72.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市久留里市場,4.61208220624902,4902.0,0.0,0.0,0.0,1783.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市東粟倉,4.786987941918234,68.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市川俣旧川俣,4.856993568082301,0.0,0.0,0.0,0.0,91.0,47.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市寺沢,4.955315566240125,2188.0,0.0,0.0,0.0,180.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市川俣旧月毛,5.057900114074736,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
君津市正木,5.060549839321714,0.0,0.0,63.0,39.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
君津市大岩,5.112039678478449,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0
君津市辻森,5.115010020015164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市青柳,5.195852483631796,0.0,0.0,0.0,0.0,233.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市草川原,5.284634703439813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市小市部,5.361419778491134,0.0,19.0,0.0,0.0,204.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市西猪原,5.395183431373634,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市日渡根,5.432194845611085,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市糸川,5.670940503771014,177.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市岩出,5.6952109381960305,145.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0
君津市東日笠,5.760046309208575,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市川谷,5.854981185890675,0.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市二入,5.889955817087963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
市原市石塚,5.894412135318247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市西粟倉,6.058485884974237,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市箕輪,6.082168569934522,0.0,0.0,0.0,237.0,868.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市清和市場,6.096183349709462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市宿原,6.165289804233434,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市滝原,6.1982134055942515,0.0,0.0,0.0,0.0,0.0,90.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
