town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,社会医療法人社団さつき会 袖ケ浦さつき台病院,姉崎駅前クリニックカンティー,医療法人新都市医療研究会「君津」会 玄々堂君津病院,帝京大学ちば総合医療センター,医療法人社団君津あすなろ会 あすなろクリニック,大和クリニック,医療法人社団 邦清会 木更津東邦病院,みるみる内科と在宅クリニック木更津,医療法人知真会 木更津内科クリニック,おかもと医院,社会医療法人社団同仁会 木更津病院,医療法人社団慈協会 市原メディカルキュア,医療法人 鎗田病院,医療法人萩仁会 萩原病院,医療法人社団ほたるの博優会 ほたるのセントラル内科,医療法人社団伍光会 君津在宅診療所,医療法人社団 恒久会 山口医院,千葉県循環器病センター,医療法人社団重光会 君津山の手病院,医療法人社団俊和会 中西整形外科,なかのクリニック,医療法人社団健誠会 Kenクリニック,社会医療法人社団同仁会 木更津メンタルクリニック,医療法人社団緑祐会 永野病院,医療法人社団養真会 上総記念病院,医療法人社団心健会 きみつ心療クリニック,コンフォート君津クリニック,医療法人社団志仁会 薬丸病院,医療法人社団 山田医院,医療法人社団明敬会重城病院,きっかわクリニック,医療法人社団桜周会 谷川クリニック,医療法人社団 健恵生会 酒井医院,医療法人社団がうら会 よしだ胃腸内科クリニック,五味クリニック,医療法人社団健洋会 貝渕クリニック,きさらづ循環器内科・外科,医療法人社団吉祥会 加藤病院,医療法人社団周晴会 鈴木病院,医療法人社団 至誠心会 古賀診療所,医療法人社団総星会 袖ケ浦クリニック,すずらんクリニック,医療法人社団志成会 ロイヤルクリニック,医療法人社団 松清医院,医療法人社団マグノリア会 よこすか医院,医療法人社団 雄成会 中村医院,茂田大和田クリニック,医療法人社団 仁治会 袖ヶ浦どんぐりクリニック,犬丸内科皮膚科クリニック,医療法人社団今城会 君津クリニック,医療法人社団福徳会 福王台外科内科,医療法人社団朗真会 四ツ谷医院,医療法人白百合会 市原メンタルクリニック,有秋台医院,蔵波台ハートクリニック,医療法人社団明竹会竹内基クリニック,吉田メディカルクリニック,医療法人社団 恒久会 さざなみクリニック,君津サンクリニック,君津市国保小櫃診療所
君津市俵田,君津市,俵田,12225103000,0.7468274775770357,140.05636632493326,35.317300760805104,0.0,0.0,42.0,0.0,164.0,0.0,196.0,42.0,115.0,51.0,0.0,0.0,0.0,57.0,0.0,55.0,0.0,0.0,51.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,80.0
君津市賀恵渕,君津市,賀恵渕,12225096000,0.8249150611004855,140.04846936529896,35.32958838917747,0.0,0.0,269.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,174.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市末吉,君津市,末吉,12225104000,0.8658162962561066,140.06246860630037,35.32747660286309,0.0,0.0,51.0,0.0,0.0,21.0,80.0,21.0,0.0,21.0,0.0,0.0,0.0,119.0,27.0,0.0,0.0,0.0,0.0,27.0,26.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,0.0,0.0,0.0,22.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
君津市上新田,君津市,上新田,12225102000,1.3880213111725144,140.06640658708628,35.316354159889464,0.0,0.0,0.0,0.0,0.0,41.0,862.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市西原,君津市,西原,12225095000,1.7216532586708284,140.03930240875079,35.33346279331187,214.0,506.0,0.0,0.0,0.0,98.0,144.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,96.0,0.0,0.0,47.0,0.0,89.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,208.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
君津市岩出,君津市,岩出,12225098000,1.9873018645272005,140.04512350901913,35.30744689089961,47.0,0.0,158.0,0.0,0.0,207.0,257.0,27.0,0.0,70.0,49.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,140.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,32.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,68.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0
君津市三田,君津市,三田,12225105000,2.190438680550514,140.07308610767888,35.3359105764397,28.0,36.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,179.0,0.0,47.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市長谷川,君津市,長谷川,12225106000,2.2018408614027605,140.07835460040621,35.32395411109891,159.0,97.0,25.0,28.0,0.0,0.0,192.0,151.0,61.0,64.0,0.0,0.0,0.0,31.0,226.0,0.0,29.0,0.0,29.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,341.0,0.0,0.0,31.0,0.0,0.0,76.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,29.0
木更津市佐野,木更津市,佐野,12206810000,2.2372733051844693,140.0383919760084,35.33927503210019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市戸崎,君津市,戸崎,12225097000,2.306685133688017,140.0316629329004,35.313977503460144,49.0,90.0,103.0,83.0,0.0,145.0,75.0,28.0,0.0,212.0,77.0,0.0,0.0,30.0,54.0,26.0,0.0,104.0,72.0,77.0,0.0,0.0,0.0,29.0,118.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,171.0,86.0,91.0,0.0,0.0,25.0,74.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,27.0,0.0,0.0
