facility,total_patients,top3_frequency
医療法人社団 雄成会 中村医院,10400.0,10
医療法人社団 邦清会 木更津東邦病院,6060.0,18
社会医療法人社団さつき会 袖ケ浦さつき台病院,4066.0,8
姉崎駅前クリニックカンティー,2949.0,4
大和クリニック,2843.0,6
医療法人社団俊和会 中西整形外科,2812.0,3
おかもと医院,2567.0,6
みるみる内科と在宅クリニック木更津,2407.0,6
医療法人社団ほたるの博優会 ほたるのセントラル内科,2133.0,5
医療法人新都市医療研究会「君津」会 玄々堂君津病院,1806.0,6
帝京大学ちば総合医療センター,1702.0,6
医療法人萩仁会 萩原病院,1652.0,4
医療法人社団養真会 上総記念病院,1351.0,5
医療法人社団伍光会 君津在宅診療所,1284.0,3
医療法人社団 至誠心会 古賀診療所,1097.0,4
社会医療法人社団同仁会 木更津病院,973.0,3
社会医療法人社団同仁会 木更津メンタルクリニック,905.0,2
医療法人知真会 木更津内科クリニック,885.0,3
医療法人社団周晴会 鈴木病院,872.0,3
医療法人社団今城会 君津クリニック,835.0,1
医療法人社団吉祥会 加藤病院,797.0,2
医療法人社団重光会 君津山の手病院,786.0,2
医療法人社団明敬会重城病院,743.0,2
医療法人社団志成会 ロイヤルクリニック,711.0,0
きさらづ循環器内科・外科,704.0,1
医療法人社団志仁会 薬丸病院,661.0,5
医療法人社団 健恵生会 酒井医院,625.0,2
コンフォート君津クリニック,616.0,2
医療法人社団桜周会 谷川クリニック,613.0,2
医療法人社団 山田医院,608.0,4
医療法人社団心健会 きみつ心療クリニック,605.0,0
医療法人社団 恒久会 山口医院,580.0,1
きっかわクリニック,563.0,0
医療法人社団君津あすなろ会 あすなろクリニック,493.0,2
君津サンクリニック,467.0,0
医療法人社団健洋会 貝渕クリニック,425.0,2
吉田メディカルクリニック,321.0,1
医療法人社団明竹会竹内基クリニック,316.0,3
なかのクリニック,297.0,1
医療法人社団 松清医院,287.0,1
五味クリニック,281.0,1
医療法人 鎗田病院,269.0,1
君津市国保小櫃診療所,229.0,0
医療法人社団緑祐会 永野病院,214.0,0
医療法人社団慈協会 市原メディカルキュア,189.0,0
蔵波台ハートクリニック,171.0,0
千葉県循環器病センター,164.0,0
医療法人社団がうら会 よしだ胃腸内科クリニック,157.0,0
医療法人社団 恒久会 さざなみクリニック,149.0,0
医療法人社団 仁治会 袖ヶ浦どんぐりクリニック,124.0,0
医療法人社団健誠会 Kenクリニック,98.0,0
犬丸内科皮膚科クリニック,93.0,0
医療法人社団総星会 袖ケ浦クリニック,92.0,0
医療法人社団朗真会 四ツ谷医院,43.0,0
すずらんクリニック,30.0,0
有秋台医院,22.0,0
医療法人社団福徳会 福王台外科内科,0.0,0
医療法人白百合会 市原メンタルクリニック,0.0,0
医療法人社団マグノリア会 よこすか医院,0.0,0
茂田大和田クリニック,0.0,0
