rank,施設名,利用者数合計,対象施設フラグ
1,社会医療法人社団さつき会 袖ケ浦さつき台病院,103862.0,0
2,姉崎駅前クリニックカンティー,96865.0,0
3,医療法人新都市医療研究会「君津」会 玄々堂君津病院,85032.0,0
4,帝京大学ちば総合医療センター,81234.0,0
5,医療法人社団君津あすなろ会 あすなろクリニック,58529.0,0
6,大和クリニック,56781.0,0
7,医療法人社団 邦清会 木更津東邦病院,48467.0,0
8,みるみる内科と在宅クリニック木更津,42171.0,0
9,医療法人知真会 木更津内科クリニック,34654.0,0
10,おかもと医院,34435.0,0
11,社会医療法人社団同仁会 木更津病院,34098.0,0
12,医療法人社団慈協会 市原メディカルキュア,33231.0,0
13,医療法人 鎗田病院,32697.0,0
14,医療法人萩仁会 萩原病院,32351.0,0
15,医療法人社団ほたるの博優会 ほたるのセントラル内科,31362.0,0
16,医療法人社団伍光会 君津在宅診療所,29598.0,0
17,医療法人社団 恒久会 山口医院,26949.0,0
18,千葉県循環器病センター,26834.0,0
19,医療法人社団重光会 君津山の手病院,26556.0,0
20,医療法人社団俊和会 中西整形外科,26379.0,0
21,なかのクリニック,24114.0,0
22,医療法人社団健誠会 Kenクリニック,23214.0,0
23,社会医療法人社団同仁会 木更津メンタルクリニック,22669.0,0
24,医療法人社団緑祐会 永野病院,22653.0,0
25,医療法人社団養真会 上総記念病院,22359.0,0
26,医療法人社団心健会 きみつ心療クリニック,21770.0,0
27,コンフォート君津クリニック,21242.0,0
28,医療法人社団志仁会 薬丸病院,19656.0,0
29,医療法人社団 山田医院,19583.0,0
30,医療法人社団明敬会重城病院,19057.0,0
31,きっかわクリニック,18541.0,0
32,医療法人社団桜周会 谷川クリニック,18380.0,0
33,医療法人社団 健恵生会 酒井医院,17741.0,0
34,医療法人社団がうら会 よしだ胃腸内科クリニック,17619.0,0
35,五味クリニック,17475.0,0
36,医療法人社団健洋会 貝渕クリニック,17270.0,0
37,きさらづ循環器内科・外科,16922.0,0
38,医療法人社団吉祥会 加藤病院,16236.0,0
39,医療法人社団周晴会 鈴木病院,16132.0,0
40,医療法人社団 至誠心会 古賀診療所,15851.0,0
41,医療法人社団総星会 袖ケ浦クリニック,15611.0,0
42,すずらんクリニック,15216.0,0
43,医療法人社団志成会 ロイヤルクリニック,14644.0,0
44,医療法人社団 松清医院,14555.0,0
45,医療法人社団マグノリア会 よこすか医院,14493.0,0
46,医療法人社団 雄成会 中村医院,14260.0,0
47,茂田大和田クリニック,14224.0,0
48,医療法人社団 仁治会 袖ヶ浦どんぐりクリニック,14135.0,0
49,犬丸内科皮膚科クリニック,14129.0,0
50,医療法人社団今城会 君津クリニック,13968.0,0
51,医療法人社団福徳会 福王台外科内科,13951.0,0
52,医療法人社団朗真会 四ツ谷医院,13851.0,0
53,医療法人白百合会 市原メンタルクリニック,13429.0,0
54,有秋台医院,13009.0,0
55,蔵波台ハートクリニック,12806.0,0
56,医療法人社団明竹会竹内基クリニック,12667.0,0
57,吉田メディカルクリニック,12325.0,0
58,医療法人社団 恒久会 さざなみクリニック,11639.0,0
59,君津サンクリニック,11621.0,0
60,君津市国保小櫃診療所,266.0,1
