town_name_show,dist_km,医療法人社団 雄成会 中村医院,医療法人社団 邦清会 木更津東邦病院,社会医療法人社団さつき会 袖ケ浦さつき台病院,姉崎駅前クリニックカンティー,大和クリニック,医療法人社団俊和会 中西整形外科,おかもと医院,みるみる内科と在宅クリニック木更津,医療法人社団ほたるの博優会 ほたるのセントラル内科,医療法人新都市医療研究会「君津」会 玄々堂君津病院
君津市俵田,0.7468274775770357,0.0,196.0,0.0,0.0,0.0,83.0,51.0,42.0,0.0,42.0
君津市賀恵渕,0.8249150611004855,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0
君津市末吉,0.8658162962561066,24.0,80.0,0.0,0.0,21.0,27.0,21.0,21.0,27.0,51.0
君津市上新田,1.3880213111725144,0.0,862.0,0.0,0.0,41.0,34.0,0.0,39.0,0.0,0.0
君津市西原,1.7216532586708284,211.0,144.0,214.0,506.0,98.0,96.0,94.0,0.0,0.0,0.0
君津市岩出,1.9873018645272005,68.0,257.0,47.0,0.0,207.0,140.0,70.0,27.0,0.0,158.0
君津市三田,2.190438680550514,0.0,95.0,28.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市長谷川,2.2018408614027605,24.0,192.0,159.0,97.0,0.0,392.0,64.0,151.0,226.0,25.0
木更津市佐野,2.2372733051844693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市戸崎,2.306685133688017,0.0,75.0,49.0,90.0,145.0,77.0,212.0,28.0,54.0,103.0
君津市箕輪,2.366655833818012,0.0,150.0,0.0,23.0,97.0,0.0,63.0,51.0,20.0,48.0
君津市寺沢,2.480506094276927,0.0,66.0,156.0,0.0,0.0,0.0,39.0,0.0,0.0,31.0
君津市青柳,2.597430518574552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市山本,2.600144318118733,53.0,143.0,0.0,0.0,0.0,130.0,62.0,55.0,0.0,0.0
木更津市田川,2.796076041061071,291.0,203.0,0.0,0.0,67.0,39.0,121.0,154.0,36.0,0.0
君津市富田,3.1029638794159964,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市愛宕,3.514095833331842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
木更津市下郡,3.5542354727592005,1435.0,165.0,208.0,154.0,308.0,301.0,300.0,109.0,189.0,0.0
木更津市山本七曲,3.561383177818477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市小市部,3.6562503377122972,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
君津市久留里大和田,3.694792534514291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市吉野,3.7102407104808623,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市小櫃台,3.8012080549444085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
