都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
岐阜県,岐阜市,大宮町,一丁目,岐阜市大宮町一丁目,21201,010001,4,46.0,岐阜市,大宮町一丁目,岐阜市大宮町一丁目,21201010001,5.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
岐阜県,岐阜市,大宮町,二丁目,岐阜市大宮町二丁目,21201,010002,4,20.0,岐阜市,大宮町二丁目,岐阜市大宮町二丁目,21201010002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
岐阜県,岐阜市,本町,一丁目,岐阜市本町一丁目,21201,024001,4,81.0,岐阜市,本町一丁目,岐阜市本町一丁目,21201024001,1.0,1.0,5.0,0.0,1.0,4.0,2.0,3.0,5.0,2.0,7.0,3.0,7.0,4.0,15.0,6.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
岐阜県,岐阜市,本町,二丁目,岐阜市本町二丁目,21201,024002,4,63.0,岐阜市,本町二丁目,岐阜市本町二丁目,21201024002,0.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
岐阜県,岐阜市,本町,三丁目,岐阜市本町三丁目,21201,024003,4,43.0,岐阜市,本町三丁目,岐阜市本町三丁目,21201024003,1.0,0.0,3.0,2.0,1.0,1.0,6.0,1.0,0.0,1.0,4.0,6.0,1.0,5.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
岐阜県,岐阜市,本町,四丁目,岐阜市本町四丁目,21201,024004,4,62.0,岐阜市,本町四丁目,岐阜市本町四丁目,21201024004,4.0,2.0,0.0,1.0,2.0,2.0,5.0,5.0,2.0,2.0,3.0,4.0,7.0,6.0,5.0,6.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
岐阜県,岐阜市,本町,五丁目,岐阜市本町五丁目,21201,024005,4,65.0,岐阜市,本町五丁目,岐阜市本町五丁目,21201024005,4.0,8.0,4.0,1.0,0.0,0.0,1.0,4.0,5.0,5.0,4.0,2.0,1.0,7.0,8.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
岐阜県,岐阜市,本町,六丁目,岐阜市本町六丁目,21201,024006,4,23.0,岐阜市,本町六丁目,岐阜市本町六丁目,21201024006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
岐阜県,岐阜市,本町,七丁目,岐阜市本町七丁目,21201,024007,4,16.0,岐阜市,本町七丁目,岐阜市本町七丁目,21201024007,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
岐阜県,岐阜市,今町,一丁目,岐阜市今町一丁目,21201,040001,4,49.0,岐阜市,今町一丁目,岐阜市今町一丁目,21201040001,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,6.0,3.0,4.0,6.0,3.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
