town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,医療法人徳洲会 大垣徳洲会病院,岐阜清流病院,ふじい内科クリニック,大垣中央病院,医療法人静風会 大垣病院,網代診療所,大垣市民病院,ほづみ耳鼻咽喉科クリニック,医療法人社団誠広会 平野総合病院,大垣バイパス医院,医療法人社団幸紀会 安江病院,野口整形外科内科医院,のだ医院,医療法人社団橘会 新生病院,赤坂あきたクリニック,国枝医院 瑞穂市,さくらクリニック,かんべ内科クリニック,まくわクリニック,いろは在宅ケアクリニック,はやかわクリニック,大垣セントラルクリニック,しまメンタルクリニック,シブヤ皮フ科・内科クリニック,三城クリニック,井口クリニック,しずさと診療所,沼口医院,田辺内科医院,まつながファミリークリニック,医療法人守田クリニック,名和病院,岐北クリニック,梅田クリニック,なかしま医院,小林医院,和田医院,福田内科医院,えさきクリニック,のぎの森クリニック,堀部クリニック,社会福祉法人和光会 和光会在宅クリニック大垣,朝日大学医科歯科医療センター,大橋医院,医療法人和光会 山田病院,大井内科クリニック,サンシャインM&Dクリニック,森外科医院,北方ひまわりクリニック,いかわクリニック,しま医院,東堀クリニック,おおくま内科クリニック,むらせファミリークリニック,またまるこどもアレルギークリニック,野原クリニック,国枝医院 本巣市,こじま内科クリニック,かわごえクリニック,揖斐川町春日診療所
揖斐川町三輪,揖斐川町,三輪,21401006000,0.3906613423062943,136.57378780112538,35.4863832427931,400.0,0.0,309.0,0.0,88.0,159.0,174.0,0.0,0.0,0.0,103.0,94.0,3458.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,689.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,841.0,0.0,0.0,0.0,375.0
揖斐川町下岡島,揖斐川町,下岡島,21401012000,0.49859466020959675,136.57268509446138,35.47852215522462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上岡島,揖斐川町,上岡島,21401013001,0.6345786478081427,136.5674698740775,35.480821714030434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
揖斐川町上ミ野,揖斐川町,上ミ野,21401011000,0.6733726097175682,136.57968028222518,35.478957218626434,0.0,114.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町極楽寺,揖斐川町,極楽寺,21401002000,1.0868900552424752,136.5700729394865,35.492108816945375,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上東野,揖斐川町,上東野,21401019000,1.12655410693531,136.5616321344348,35.48184120174897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0
揖斐川町上岡島,揖斐川町,上岡島,21401013002,1.1477244847691535,136.56225303274977,35.47901525674263,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町大光寺,揖斐川町,大光寺,21401007000,1.2150701763530305,136.57860231517122,35.49314200138638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0
揖斐川町和田,揖斐川町,和田,21401028000,1.218813867623253,136.56409722586085,35.47545869057872,0.0,0.0,0.0,0.0,1619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0
揖斐川町志津山,揖斐川町,志津山,21401010000,1.2910496639448665,136.5882475602366,35.48349324714163,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0
