facility,total_patients,top3_frequency
ふじい内科クリニック,30358.0,33
のだ医院,19824.0,19
医療法人社団橘会 新生病院,9359.0,14
小林医院,8524.0,14
医療法人徳洲会 大垣徳洲会病院,7835.0,10
野原クリニック,5872.0,14
医療法人静風会 大垣病院,5063.0,9
むらせファミリークリニック,4279.0,6
網代診療所,2645.0,4
岐阜清流病院,1964.0,5
野口整形外科内科医院,1445.0,1
揖斐川町春日診療所,1395.0,1
大垣市民病院,1364.0,1
岐北クリニック,1241.0,5
いろは在宅ケアクリニック,1058.0,0
ほづみ耳鼻咽喉科クリニック,831.0,0
医療法人守田クリニック,808.0,0
医療法人社団幸紀会 安江病院,788.0,1
えさきクリニック,773.0,1
赤坂あきたクリニック,749.0,0
北方ひまわりクリニック,701.0,1
梅田クリニック,650.0,1
国枝医院 本巣市,617.0,2
まくわクリニック,576.0,1
なかしま医院,565.0,1
朝日大学医科歯科医療センター,564.0,1
シブヤ皮フ科・内科クリニック,551.0,1
大垣バイパス医院,515.0,1
のぎの森クリニック,497.0,0
いかわクリニック,462.0,0
大垣中央病院,460.0,0
東堀クリニック,458.0,0
三城クリニック,398.0,1
井口クリニック,392.0,0
医療法人和光会 山田病院,381.0,2
しまメンタルクリニック,379.0,0
堀部クリニック,363.0,0
医療法人社団誠広会 平野総合病院,360.0,0
大井内科クリニック,352.0,1
かんべ内科クリニック,338.0,0
まつながファミリークリニック,323.0,1
サンシャインM&Dクリニック,315.0,0
こじま内科クリニック,300.0,0
社会福祉法人和光会 和光会在宅クリニック大垣,231.0,0
大橋医院,223.0,1
名和病院,178.0,1
はやかわクリニック,147.0,1
かわごえクリニック,95.0,0
和田医院,77.0,0
田辺内科医院,64.0,0
またまるこどもアレルギークリニック,58.0,0
福田内科医院,44.0,0
しま医院,44.0,0
さくらクリニック,43.0,0
国枝医院 瑞穂市,41.0,0
おおくま内科クリニック,0.0,0
大垣セントラルクリニック,0.0,0
沼口医院,0.0,0
森外科医院,0.0,0
しずさと診療所,0.0,0
