rank,施設名,利用者数合計,対象施設フラグ
1,医療法人徳洲会 大垣徳洲会病院,133796.0,0
2,岐阜清流病院,47251.0,0
3,ふじい内科クリニック,44933.0,0
4,大垣中央病院,31887.0,0
5,医療法人静風会 大垣病院,30466.0,0
6,網代診療所,30212.0,0
7,大垣市民病院,26811.0,0
8,ほづみ耳鼻咽喉科クリニック,26191.0,0
9,医療法人社団誠広会 平野総合病院,24285.0,0
10,大垣バイパス医院,23595.0,0
11,医療法人社団幸紀会 安江病院,23208.0,0
12,野口整形外科内科医院,22607.0,0
13,のだ医院,22080.0,0
14,医療法人社団橘会 新生病院,21443.0,0
15,赤坂あきたクリニック,21170.0,0
16,国枝医院 瑞穂市,21078.0,0
17,さくらクリニック,20346.0,0
18,かんべ内科クリニック,19562.0,0
19,まくわクリニック,19114.0,0
20,いろは在宅ケアクリニック,18160.0,0
21,はやかわクリニック,16902.0,0
22,大垣セントラルクリニック,15722.0,0
23,しまメンタルクリニック,15647.0,0
24,シブヤ皮フ科・内科クリニック,15151.0,0
25,三城クリニック,14799.0,0
26,井口クリニック,14635.0,0
27,しずさと診療所,14623.0,0
28,沼口医院,14588.0,0
29,田辺内科医院,14504.0,0
30,まつながファミリークリニック,14084.0,0
31,医療法人守田クリニック,13867.0,0
32,名和病院,13704.0,0
33,岐北クリニック,13620.0,0
34,梅田クリニック,13091.0,0
35,なかしま医院,12935.0,0
36,小林医院,12567.0,0
37,和田医院,12250.0,0
38,福田内科医院,12079.0,0
39,えさきクリニック,11994.0,0
40,のぎの森クリニック,11674.0,0
41,堀部クリニック,11367.0,0
42,社会福祉法人和光会 和光会在宅クリニック大垣,10649.0,0
43,朝日大学医科歯科医療センター,10355.0,0
44,大橋医院,10261.0,0
45,医療法人和光会 山田病院,10152.0,0
46,大井内科クリニック,9443.0,0
47,サンシャインM&Dクリニック,9319.0,0
48,森外科医院,8767.0,0
49,北方ひまわりクリニック,8614.0,0
50,いかわクリニック,8603.0,0
51,しま医院,8471.0,0
52,東堀クリニック,8276.0,0
53,おおくま内科クリニック,8240.0,0
54,むらせファミリークリニック,8229.0,0
55,またまるこどもアレルギークリニック,7928.0,0
56,野原クリニック,7919.0,0
57,国枝医院 本巣市,7850.0,0
58,こじま内科クリニック,7627.0,0
59,かわごえクリニック,7619.0,0
60,揖斐川町春日診療所,7429.0,0
