town_name_show,dist_km,ふじい内科クリニック,のだ医院,医療法人社団橘会 新生病院,小林医院,医療法人徳洲会 大垣徳洲会病院,野原クリニック,医療法人静風会 大垣病院,むらせファミリークリニック,網代診療所,岐阜清流病院
揖斐川町三輪,0.3906613423062943,309.0,3458.0,0.0,689.0,400.0,841.0,88.0,175.0,159.0,0.0
揖斐川町下岡島,0.49859466020959675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上岡島,0.6345786478081427,0.0,176.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
揖斐川町上ミ野,0.6733726097175682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,114.0
揖斐川町極楽寺,1.0868900552424752,73.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上東野,1.12655410693531,0.0,662.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上岡島,1.1477244847691535,58.0,273.0,39.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
揖斐川町大光寺,1.2150701763530305,0.0,0.0,0.0,59.0,0.0,321.0,0.0,0.0,0.0,0.0
揖斐川町和田,1.218813867623253,0.0,136.0,0.0,136.0,0.0,161.0,1619.0,0.0,0.0,0.0
揖斐川町志津山,1.2910496639448665,125.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0
揖斐川町脛永,1.5965496483286241,932.0,1103.0,760.0,0.0,1093.0,274.0,0.0,0.0,0.0,0.0
揖斐川町小野,1.6338529767347312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町長良,1.6419961375067107,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0
揖斐川町小谷,1.7161665905576275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町岡,1.90690968146597,162.0,93.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
池田町沓井,2.0129286476566737,1874.0,1098.0,57.0,290.0,861.0,0.0,0.0,321.0,0.0,0.0
揖斐川町新宮,2.068970162353977,74.0,1377.0,0.0,538.0,413.0,0.0,0.0,0.0,0.0,0.0
揖斐川町房島,2.1396321077090676,297.0,1601.0,0.0,258.0,55.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上南方,2.156796557305634,133.0,2755.0,593.0,55.0,925.0,225.0,0.0,0.0,94.0,0.0
揖斐川町島,2.271156766157529,83.0,0.0,0.0,0.0,117.0,317.0,0.0,0.0,0.0,0.0
池田町粕ケ原,2.36779173146916,986.0,124.0,421.0,67.0,0.0,82.0,398.0,68.0,210.0,0.0
揖斐川町小島,2.3873322383450777,165.0,0.0,0.0,168.0,0.0,119.0,0.0,0.0,141.0,0.0
揖斐川町黒田,2.487832552977959,1148.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字牛洞,2.711483695102256,0.0,47.0,99.0,0.0,0.0,140.0,0.0,0.0,52.0,0.0
大野町大字松山,2.7951761823087504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町清水,2.79806457074486,175.0,475.0,0.0,66.0,234.0,1418.0,0.0,0.0,0.0,0.0
池田町田中,2.8105088518363903,286.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0
揖斐川町福島,3.0182778414604,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町杉野,3.059569468046168,271.0,0.0,134.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
揖斐川町若松,3.2244836459404533,64.0,714.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0
揖斐川町谷汲深坂,3.3355212477610023,0.0,67.0,0.0,75.0,56.0,124.0,199.0,0.0,0.0,0.0
池田町萩原,3.349180197585392,948.0,0.0,1380.0,51.0,66.0,0.0,0.0,303.0,105.0,0.0
池田町段,3.3569044676441644,40.0,0.0,64.0,476.0,169.0,0.0,0.0,0.0,0.0,0.0
池田町宮地,3.3880371459269853,1205.0,87.0,404.0,145.0,123.0,0.0,630.0,0.0,0.0,0.0
池田町舟子,3.5359337208489583,487.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0
池田町上田,3.560712944267649,876.0,129.0,393.0,0.0,144.0,0.0,326.0,148.0,0.0,0.0
揖斐川町市場,3.5645798600327123,940.0,357.0,96.0,1514.0,0.0,399.0,0.0,0.0,0.0,0.0
池田町砂畑,3.658751627739611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町小牛,3.690791145024796,1203.0,0.0,55.0,160.0,51.0,0.0,0.0,0.0,0.0,429.0
大野町大字瀬古,3.6954846350402937,158.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,76.0,0.0
池田町般若畑,3.7550749435968305,956.0,0.0,116.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町本郷,3.8431496914780086,7635.0,605.0,1401.0,302.0,192.0,0.0,169.0,606.0,138.0,0.0
揖斐川町白樫,3.9699717018001768,305.0,443.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字中之元,4.057922727141914,77.0,43.0,0.0,0.0,311.0,113.0,0.0,0.0,304.0,35.0
池田町白鳥,4.176433335166055,804.0,208.0,71.0,0.0,64.0,0.0,0.0,170.0,0.0,0.0
大野町大字公郷,4.30823770403494,404.0,128.0,139.0,0.0,220.0,64.0,466.0,0.0,136.0,346.0
揖斐川町北方,4.315913750746614,0.0,2142.0,0.0,0.0,109.0,177.0,0.0,0.0,0.0,0.0
揖斐川町谷汲大洞,4.458629834560201,0.0,0.0,0.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町下東野,4.484746858795868,916.0,0.0,551.0,105.0,48.0,44.0,384.0,209.0,0.0,247.0
大野町大字野,4.505702049529201,132.0,0.0,0.0,0.0,94.0,0.0,0.0,39.0,105.0,236.0
池田町願成寺,4.520751263584995,1098.0,0.0,0.0,172.0,88.0,0.0,0.0,0.0,93.0,0.0
池田町草深,4.537239346276281,499.0,0.0,331.0,0.0,159.0,0.0,0.0,0.0,249.0,0.0
池田町六之井,4.647196841302388,2640.0,230.0,1732.0,280.0,630.0,0.0,247.0,1903.0,177.0,52.0
大野町大字西方,4.725140717603012,0.0,0.0,0.0,0.0,489.0,158.0,0.0,0.0,154.0,0.0
揖斐川町谷汲有鳥,4.736987684030186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字大野,4.772749499077174,0.0,0.0,47.0,0.0,253.0,219.0,200.0,0.0,241.0,505.0
大野町大字領家,4.833892903743054,0.0,0.0,0.0,0.0,23.0,0.0,48.0,0.0,0.0,0.0
池田町青柳,4.8378542023021645,901.0,141.0,258.0,361.0,147.0,0.0,289.0,111.0,65.0,0.0
揖斐川町上野,4.897183771922634,868.0,489.0,218.0,93.0,137.0,184.0,0.0,0.0,0.0,0.0
揖斐川町谷汲名礼,4.919763425987556,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
