facility,total_patients,top3_frequency
ふじい内科クリニック,34977.0,36
のだ医院,19080.0,17
医療法人社団橘会 新生病院,15011.0,20
小林医院,8947.0,21
むらせファミリークリニック,5676.0,9
野原クリニック,3006.0,8
今村医院,1974.0,1
揖斐川町春日診療所,1966.0,6
クリニック ラポール,1217.0,1
ゆり形成内科整形おおの,927.0,1
黒川胃腸科外科クリニック,908.0,1
クリニックIB(アイビー),698.0,2
いび漢方クリニック,485.0,0
おおのクリニック,399.0,0
神田外科医院,392.0,1
たしろクリニック,386.0,0
谷汲中央診療所,292.0,1
まつながファミリークリニック,218.0,0
揖斐川町久瀬診療所,168.0,1
高田医院,154.0,0
岐阜県厚生農業協同組合連合会 岐阜・西濃医療センター 揖斐厚生病院,113.0,0
大久保医院,63.0,0
下野内科,0.0,0
小森内科クリニック,0.0,0
田中医院,0.0,0
国枝医院,0.0,0
