rank,施設名,利用者数合計,対象施設フラグ
1,ふじい内科クリニック,42954.0,0
2,医療法人社団橘会 新生病院,21283.0,0
3,のだ医院,21257.0,0
4,まつながファミリークリニック,11421.0,0
5,小林医院,10934.0,0
6,むらせファミリークリニック,7461.0,0
7,野原クリニック,6820.0,0
8,大久保医院,6525.0,0
9,小森内科クリニック,5906.0,0
10,黒川胃腸科外科クリニック,5383.0,0
11,たしろクリニック,4563.0,0
12,クリニック ラポール,3726.0,0
13,谷汲中央診療所,2885.0,0
14,国枝医院,2645.0,0
15,揖斐川町春日診療所,2554.0,1
16,今村医院,2202.0,0
17,ゆり形成内科整形おおの,1810.0,0
18,高田医院,1696.0,0
19,おおのクリニック,1324.0,0
20,クリニックIB(アイビー),1108.0,0
21,いび漢方クリニック,560.0,0
22,下野内科,428.0,0
23,神田外科医院,392.0,0
24,田中医院,358.0,0
25,揖斐川町久瀬診療所,277.0,0
26,岐阜県厚生農業協同組合連合会 岐阜・西濃医療センター 揖斐厚生病院,113.0,0
