TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,いび漢方クリニック,おおのクリニック,たしろクリニック,のだ医院,ふじい内科クリニック,まつながファミリークリニック,むらせファミリークリニック,ゆり形成内科整形おおの,クリニック ラポール,クリニックIB(アイビー),下野内科,今村医院,医療法人社団橘会 新生病院,国枝医院,大久保医院,小林医院,小森内科クリニック,岐阜県厚生農業協同組合連合会 岐阜・西濃医療センター 揖斐厚生病院,揖斐川町久瀬診療所,揖斐川町春日診療所,田中医院,神田外科医院,谷汲中央診療所,野原クリニック,高田医院,黒川胃腸科外科クリニック,LON,LAT,dist_km,total_patients,town,town_norm,match_type
21401039004,揖斐川町,春日六合,揖斐川町,春日六合,揖斐川町春日六合,岐阜県,揖斐川町,春日六合,,揖斐川町春日六合,21401.0,39004.0,4.0,51.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0,6.0,5.0,7.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.48805668172713,35.472695297483924,0.5337144477473301,0.0,揖斐川町春日六合,揖斐川町春日六合,code_in_car30
21401039003,揖斐川町,春日六合,揖斐川町,春日六合,揖斐川町春日六合,岐阜県,揖斐川町,春日六合,,揖斐川町春日六合,21401.0,39003.0,4.0,129.0,1.0,0.0,3.0,9.0,5.0,2.0,4.0,1.0,5.0,7.0,9.0,10.0,5.0,18.0,13.0,13.0,10.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,136.49525599625775,35.47064339056909,0.7376052898849553,739.0,揖斐川町春日六合,揖斐川町春日六合,code_in_car30
21401040000,揖斐川町,春日香六,揖斐川町,春日香六,揖斐川町春日香六,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.46637040383843,35.473413704434584,2.038763733037252,527.0,揖斐川町春日香六,揖斐川町春日香六,code_in_car30
21401039006,揖斐川町,春日六合,揖斐川町,春日六合,揖斐川町春日六合,岐阜県,揖斐川町,春日六合,,揖斐川町春日六合,21401.0,39006.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.5002879832477,35.45132807870905,2.1600841640468156,0.0,揖斐川町春日六合,揖斐川町春日六合,code_in_car30
21401039007,揖斐川町,春日六合,揖斐川町,春日六合,揖斐川町春日六合,岐阜県,揖斐川町,春日六合,,揖斐川町春日六合,21401.0,39007.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.4825207071472,35.44794250611809,2.2707499303026153,0.0,揖斐川町春日六合,揖斐川町春日六合,code_in_car30
21401041000,揖斐川町,春日小宮神,揖斐川町,春日小宮神,揖斐川町春日小宮神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.46137770846778,35.46687317516521,2.3992901567519747,0.0,揖斐川町春日小宮神,揖斐川町春日小宮神,code_in_car30
21401039002,揖斐川町,春日六合,揖斐川町,春日六合,揖斐川町春日六合,岐阜県,揖斐川町,春日六合,,揖斐川町春日六合,21401.0,39002.0,4.0,40.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,136.50006271148033,35.48760359143842,2.4547114133889805,415.0,揖斐川町春日六合,揖斐川町春日六合,code_in_car30
21401039001,揖斐川町,春日六合,揖斐川町,春日六合,揖斐川町春日六合,岐阜県,揖斐川町,春日六合,,揖斐川町春日六合,21401.0,39001.0,4.0,55.0,4.0,3.0,0.0,5.0,2.0,1.0,1.0,3.0,3.0,6.0,3.0,5.0,2.0,3.0,5.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,136.51793482978272,35.47368298370688,2.800123321359432,364.0,揖斐川町春日六合,揖斐川町春日六合,code_in_car30
21401024000,揖斐川町,瑞岩寺,揖斐川町,瑞岩寺,揖斐川町瑞岩寺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.5180905505467,35.460394246408256,2.8638488407670746,294.0,揖斐川町瑞岩寺,揖斐川町瑞岩寺,code_in_car30
21401039005,揖斐川町,春日六合,揖斐川町,春日六合,揖斐川町春日六合,岐阜県,揖斐川町,春日六合,,揖斐川町春日六合,21401.0,39005.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.47749349589228,35.49427810933429,3.0792625519696912,0.0,揖斐川町春日六合,揖斐川町春日六合,code_in_car30
