facility,total_patients,top3_frequency
のだ医院,13611.0,11
大久保医院,5950.0,7
野原クリニック,5025.0,13
小森内科クリニック,4740.0,7
長瀬診療所,3347.0,8
クリニック ラポール,3317.0,5
網代診療所,3196.0,9
谷汲中央診療所,2806.0,6
ふじい内科クリニック,2305.0,7
野口整形外科内科医院,2303.0,3
なかしま医院,2257.0,3
小林医院,2099.0,4
国枝医院 本巣市,1937.0,8
国枝医院 揖斐郡大野町,1805.0,5
たしろクリニック,1792.0,1
岐北クリニック,1746.0,6
東堀クリニック,1412.0,1
揖斐川町春日診療所,822.0,0
えさきクリニック,759.0,3
まくわクリニック,667.0,2
梅田クリニック,595.0,2
サンシャインM&Dクリニック,560.0,1
福富医院,526.0,0
堀部クリニック,501.0,2
むらせファミリークリニック,478.0,1
北方ひまわりクリニック,442.0,1
糸貫内科クリニック,430.0,1
赤坂あきたクリニック,378.0,0
かわごえクリニック,319.0,1
いかわクリニック,275.0,1
医療法人和光会 山田病院,218.0,1
なわ医院・乳腺クリニック,198.0,0
黒川胃腸科外科クリニック,197.0,0
鹿野クリニック,193.0,1
北方在宅クリニック,149.0,0
こじま内科クリニック,138.0,0
医療法人若園医院,136.0,0
医療法人社団橘会 新生病院,136.0,0
三輪クリニック,135.0,0
医療法人社団誠広会 平野総合病院,127.0,1
野々村医院,125.0,1
宇土医院,88.0,0
しま医院,82.0,0
北方医院,76.0,0
鳥澤医院,73.0,0
みながわ内科・循環器科クリニック,62.0,0
またまるこどもアレルギークリニック,58.0,0
岐阜清流病院,53.0,0
いのうえクリニック,53.0,0
医療法人幸仁会 白木医院,46.0,0
鳥沢クリニック,46.0,0
石黒クリニック,45.0,0
高木クリニック,42.0,0
河田医院,0.0,0
かさい内科クリニック,0.0,0
立山クリニック,0.0,0
おのぎクリニック,0.0,0
青木内科・眼科,0.0,0
岐阜大学医学部附属病院,0.0,0
さぎ山クリニック,0.0,0
