rank,施設名,利用者数合計,対象施設フラグ
1,ふじい内科クリニック,43466.0,0
2,網代診療所,30836.0,0
3,のだ医院,21794.0,0
4,野口整形外科内科医院,18279.0,0
5,まくわクリニック,17762.0,0
6,岐北クリニック,14223.0,0
7,赤坂あきたクリニック,13741.0,0
8,なかしま医院,12572.0,0
9,みながわ内科・循環器科クリニック,11973.0,0
10,梅田クリニック,11687.0,0
11,えさきクリニック,11574.0,0
12,小林医院,11472.0,0
13,堀部クリニック,11448.0,0
14,さぎ山クリニック,9523.0,0
15,石黒クリニック,8572.0,0
16,しま医院,8231.0,0
17,北方ひまわりクリニック,8222.0,0
18,東堀クリニック,8161.0,0
19,サンシャインM&Dクリニック,8158.0,0
20,またまるこどもアレルギークリニック,7986.0,0
21,かわごえクリニック,7961.0,0
22,国枝医院 本巣市,7739.0,0
23,むらせファミリークリニック,7508.0,0
24,こじま内科クリニック,7484.0,0
25,鳥澤医院,7154.0,0
26,野原クリニック,7138.0,0
27,医療法人和光会 山田病院,7125.0,0
28,青木内科・眼科,6996.0,0
29,鳥沢クリニック,6924.0,0
30,大久保医院,6852.0,0
31,いのうえクリニック,6779.0,0
32,おのぎクリニック,6261.0,0
33,揖斐川町春日診療所,6044.0,0
34,福富医院,5987.0,0
35,高木クリニック,5985.0,0
36,小森内科クリニック,5954.0,0
37,黒川胃腸科外科クリニック,5904.0,0
38,医療法人社団誠広会 平野総合病院,5792.0,0
39,医療法人幸仁会 白木医院,5125.0,0
40,宇土医院,5087.0,0
41,たしろクリニック,4925.0,0
42,長瀬診療所,4553.0,0
43,なわ医院・乳腺クリニック,4504.0,0
44,三輪クリニック,4453.0,0
45,かさい内科クリニック,4200.0,0
46,北方在宅クリニック,4183.0,0
47,河田医院,4079.0,0
48,クリニック ラポール,3758.0,0
49,鹿野クリニック,3537.0,0
50,医療法人若園医院,3509.0,0
51,糸貫内科クリニック,3470.0,0
52,立山クリニック,3179.0,0
53,野々村医院,3058.0,0
54,谷汲中央診療所,3042.0,0
55,医療法人社団橘会 新生病院,3014.0,0
56,いかわクリニック,3004.0,0
57,北方医院,2991.0,0
58,岐阜大学医学部附属病院,2981.0,0
59,岐阜清流病院,2817.0,0
60,国枝医院 揖斐郡大野町,2794.0,0
