town_name_show,dist_km,のだ医院,大久保医院,野原クリニック,小森内科クリニック,長瀬診療所,クリニック ラポール,網代診療所,谷汲中央診療所,ふじい内科クリニック,野口整形外科内科医院
揖斐川町谷汲徳積,0.40544774922462035,80.0,0.0,83.0,0.0,276.0,0.0,0.0,569.0,0.0,0.0
揖斐川町谷汲名礼,1.90278913349575,51.0,0.0,0.0,0.0,253.0,0.0,0.0,1051.0,51.0,0.0
揖斐川町谷汲長瀬,2.2760924447195645,0.0,0.0,0.0,0.0,1343.0,0.0,58.0,69.0,0.0,223.0
揖斐川町谷汲大洞,2.4324433430336216,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲深坂,2.780445402943293,67.0,0.0,124.0,0.0,189.0,0.0,0.0,203.0,0.0,0.0
本巣市神海,3.450919021062992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲岐礼,3.7583363614064136,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0
揖斐川町小谷,4.159552945673219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲木曽屋,4.200369613290867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲有鳥,4.26386620147491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字寺内,4.3562847873010355,0.0,0.0,201.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字野,4.364425744286091,0.0,119.0,0.0,491.0,0.0,0.0,105.0,0.0,132.0,0.0
揖斐川町上南方,4.425735749915682,2755.0,0.0,225.0,0.0,0.0,80.0,94.0,0.0,133.0,0.0
揖斐川町小野,4.464575072864304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲高科,4.477277043800764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町若松,4.495311761244125,714.0,0.0,117.0,0.0,0.0,0.0,0.0,117.0,64.0,0.0
本巣市木知原,4.626163576761002,0.0,0.0,0.0,0.0,160.0,0.0,81.0,0.0,0.0,0.0
大野町大字牛洞,4.683516714549643,47.0,0.0,140.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
揖斐川町大光寺,4.704927379940519,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
本巣市佐原,4.982119245897102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字古川,5.0422263498026245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
本巣市木知原,5.055740176050128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
本巣市神海,5.096063904874999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町志津山,5.2011640581781,0.0,0.0,87.0,0.0,0.0,294.0,0.0,247.0,125.0,0.0
揖斐川町極楽寺,5.294193029970414,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0
本巣市山口,5.301518200641029,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
大野町大字稲富,5.304507558027209,0.0,490.0,60.0,409.0,0.0,0.0,245.0,40.0,0.0,86.0
本巣市山口,5.349180735443083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字松山,5.5426755816922,0.0,42.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町三輪,5.567608889512388,3458.0,0.0,841.0,0.0,0.0,0.0,159.0,175.0,309.0,94.0
大野町大字桜大門,5.722296327570238,0.0,1259.0,75.0,0.0,0.0,83.0,114.0,94.0,297.0,525.0
大野町大字西方,5.755827392822922,0.0,0.0,158.0,126.0,0.0,567.0,154.0,0.0,0.0,47.0
本巣市山口,5.798401596057728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字上秋,5.9460600354152495,0.0,807.0,0.0,150.0,0.0,0.0,213.0,0.0,0.0,111.0
揖斐川町上ミ野,5.987154936860477,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0
本巣市根尾宇津志,5.990251660278403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大野町大字稲畑,6.037178446772426,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0
揖斐川町長良,6.050996007767673,0.0,0.0,92.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0
揖斐川町谷汲神原,6.077454667264274,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町北方,6.0797014486402565,2142.0,0.0,177.0,0.0,0.0,1086.0,0.0,0.0,0.0,0.0
本巣市曽井中島,6.121482854657973,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
大野町大字瀬古,6.163789759077365,0.0,536.0,145.0,119.0,470.0,0.0,76.0,0.0,158.0,76.0
大野町大字大野,6.341629178977882,0.0,873.0,219.0,921.0,0.0,368.0,241.0,0.0,0.0,318.0
揖斐川町下岡島,6.345824318299825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
本巣市石神,6.3780376520592545,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0
揖斐川町上岡島,6.405462284474626,176.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町清水,6.453606532202301,475.0,0.0,1418.0,0.0,0.0,91.0,0.0,195.0,175.0,0.0
揖斐川町房島,6.5601298971827005,1601.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,297.0,113.0
本巣市曽井中島,6.6342815810986115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
本巣市外山,6.6479605843791,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0
揖斐川町上東野,6.652791225642677,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
