town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,林医院,おおすが内科クリニック,安田内科クリニック,ウェルネス高井クリニック,みのかも西クリニック,医療法人香徳会 関中央病院,岐阜県厚生農業協同組合連合会 中濃厚生病院,藤井クリニック,土屋クリニック,中部国際医療センター,医療法人社団秀洋会 阿知波医院,下條内科クリニック,なかの内科クリニック,臼井ハツラツクリニック,堀部医院,林クリニック,美濃市立美濃病院,山手クリニック,てらしまクリニック,いとしろクリニック,小島内科,さぐち内科,石木クリニック,真鍋内科,西田醫院,関市国民健康保険津保川診療所,こくぼクリニック,竹内医院,杉山クリニック,大矢クリニック,青山内科,カブチ山田クリニック,みの長村医院,医療法人清仁会 のぞみの丘ホスピタル,医療法人春陽会 慈恵中央病院,明星診療所,滝谷医院,みうら内科・糖尿病クリニック,一般財団法人岐阜健康管理センター すこやかクリニック,大前医院おぜ診療所,いこまファミリークリニック
関市富之保,関市,富之保,21205950010,0.22455016724041424,137.01292791709105,35.58152024981884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,関市,富之保,21205950006,0.40491105446627423,137.01352226596913,35.587048887549905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,関市,富之保,21205950005,0.4178780650597528,137.0091893535533,35.583763206751115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,関市,富之保,21205950009,0.9046483467820319,137.02367845746147,35.582181527769315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,関市,富之保,21205950007,0.9323175848199045,137.02125017002825,35.58920152565173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,関市,中之保,21205949002,1.5655798913110284,137.01059525661339,35.56957628483497,0.0,32.0,0.0,0.0,43.0,68.0,32.0,0.0,43.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,関市,富之保,21205950008,2.0160657681845917,137.0302655727294,35.59562985509676,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,関市,下之保,21205948002,2.085470795097451,136.99442042819362,35.57323721425838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市富之保,関市,富之保,21205950004,2.2090714945694176,136.99009659950036,35.58825104146796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,関市,中之保,21205949001,2.246064209074489,137.00801254135936,35.56376893471231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
