facility,total_patients,top3_frequency
藤井クリニック,1845.0,6
なかの内科クリニック,1586.0,9
関市国民健康保険津保川診療所,1452.0,7
林医院,1415.0,4
竹内医院,1217.0,7
岐阜県厚生農業協同組合連合会 中濃厚生病院,1115.0,7
美濃市立美濃病院,425.0,3
下條内科クリニック,403.0,2
おおすが内科クリニック,385.0,2
安田内科クリニック,381.0,1
医療法人香徳会 関中央病院,334.0,4
ウェルネス高井クリニック,290.0,3
小島内科,281.0,1
臼井ハツラツクリニック,243.0,2
土屋クリニック,216.0,2
カブチ山田クリニック,200.0,3
滝谷医院,150.0,2
中部国際医療センター,139.0,1
いとしろクリニック,132.0,0
みのかも西クリニック,127.0,1
大矢クリニック,125.0,2
医療法人社団秀洋会 阿知波医院,125.0,1
てらしまクリニック,41.0,1
石木クリニック,34.0,1
みの長村医院,0.0,0
大前医院おぜ診療所,0.0,0
一般財団法人岐阜健康管理センター すこやかクリニック,0.0,0
みうら内科・糖尿病クリニック,0.0,0
林クリニック,0.0,0
明星診療所,0.0,0
医療法人春陽会 慈恵中央病院,0.0,0
医療法人清仁会 のぞみの丘ホスピタル,0.0,0
青山内科,0.0,0
さぐち内科,0.0,0
杉山クリニック,0.0,0
堀部医院,0.0,0
こくぼクリニック,0.0,0
山手クリニック,0.0,0
西田醫院,0.0,0
真鍋内科,0.0,0
いこまファミリークリニック,0.0,0
