rank,施設名,利用者数合計,対象施設フラグ
1,林医院,19334.0,0
2,おおすが内科クリニック,12659.0,0
3,安田内科クリニック,11999.0,0
4,ウェルネス高井クリニック,11369.0,0
5,みのかも西クリニック,10689.0,0
6,医療法人香徳会 関中央病院,10457.0,0
7,岐阜県厚生農業協同組合連合会 中濃厚生病院,10144.0,0
8,藤井クリニック,10034.0,0
9,土屋クリニック,9028.0,0
10,中部国際医療センター,8691.0,0
11,医療法人社団秀洋会 阿知波医院,8137.0,0
12,下條内科クリニック,8136.0,0
13,なかの内科クリニック,7997.0,0
14,臼井ハツラツクリニック,6984.0,0
15,堀部医院,6142.0,0
16,林クリニック,5175.0,0
17,美濃市立美濃病院,5085.0,0
18,山手クリニック,4099.0,0
19,てらしまクリニック,3986.0,0
20,いとしろクリニック,3520.0,0
21,小島内科,3449.0,0
22,さぐち内科,3388.0,0
23,石木クリニック,3379.0,0
24,真鍋内科,3145.0,0
25,西田醫院,3131.0,0
26,関市国民健康保険津保川診療所,2490.0,1
27,こくぼクリニック,1660.0,0
28,竹内医院,1550.0,0
29,杉山クリニック,1381.0,0
30,大矢クリニック,940.0,0
31,青山内科,894.0,0
32,カブチ山田クリニック,756.0,0
33,みの長村医院,696.0,0
34,医療法人清仁会 のぞみの丘ホスピタル,675.0,0
35,医療法人春陽会 慈恵中央病院,659.0,0
36,明星診療所,572.0,0
37,滝谷医院,398.0,0
38,みうら内科・糖尿病クリニック,315.0,0
39,一般財団法人岐阜健康管理センター すこやかクリニック,293.0,0
40,大前医院おぜ診療所,127.0,0
41,いこまファミリークリニック,41.0,0
