town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,澤﨑内科クリニック,セオ医院,東濃中央クリニック,河上クリニック,広瀬クリニック,岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,NexWel恵那地域笑顔共創クリニック,道しるべ,陶生堂医院,恵那ファミリークリニック,明生クリニック,おおさわ医院,大湫病院附属恵那診療所,岩島医院,こせき醫院,安部医院,虹いろ在宅ケアクリニック,中部クリニック,度会医院,タチ医院,加藤クリニック,おがわ医院,蜂谷医院,恵那市国民健康保険山岡診療所,中津川市国民健康保険阿木診療所,瑞岐会診療所,勝股医院,国民健康保険上矢作病院,田中クリニック,森川クリニック,恵那市国民健康保険三郷診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 土岐市国民健康保険駄知診療所,恵那市国民健康保険串原診療所,医療法人社団仁愛会 瑞浪病院,山田診療所,医療法人恵雄会 井口ハートクリニック,嶋崎内科医院,近藤クリニック,さつき内科・小児科クリニック,長谷川皮膚科,恵那市国民健康保険岩村診療所,林外科内科,尾崎医院,石田医院,わだ内科外科クリニック,学校法人廣池学園診療所
恵那市山岡町上手向,恵那市,山岡町上手向,21210082003,0.4596911046065267,137.3777760301876,35.356525730662085,164.0,22.0,33.0,76.0,0.0,143.0,0.0,0.0,0.0,30.0,0.0,111.0,79.0,0.0,0.0,27.0,0.0,0.0,0.0,59.0,0.0,0.0,28.0,774.0,0.0,29.0,22.0,0.0,128.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町釜屋,恵那市,山岡町釜屋,21210082006,1.808608371493548,137.37409135479618,35.3377520347002,225.0,122.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町下手向,恵那市,山岡町下手向,21210082005,2.3778052221277455,137.35442700060173,35.35268414783608,607.0,215.0,56.0,0.0,0.0,422.0,0.0,162.0,0.0,109.0,0.0,199.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,56.0,148.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町久保原,恵那市,山岡町久保原,21210082004,2.855877613293389,137.38557136229855,35.378481741924,434.0,595.0,0.0,216.0,0.0,0.0,61.0,73.0,0.0,0.0,0.0,81.0,0.0,0.0,268.0,0.0,0.0,0.0,81.0,217.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町田沢,恵那市,山岡町田沢,21210082002,2.915679369521347,137.40647602016293,35.337511788680196,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町野志,恵那市,明智町野志,21210083014,3.1142452363646553,137.38590283470603,35.32543888246385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町原,恵那市,山岡町原,21210082007,3.634338791433451,137.3541129899166,35.32861973526454,121.0,0.0,307.0,0.0,86.0,210.0,0.0,98.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,116.0,47.0,0.0,156.0,0.0,75.0,0.0,196.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町一区,恵那市,岩村町一区,21210081022,3.676033928294169,137.4077649585685,35.37768422865647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町馬場山田,恵那市,山岡町馬場山田,21210082001,3.9101544973270177,137.42293870539876,35.34630960531401,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,352.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市三郷町椋実,恵那市,三郷町椋実,21210040000,3.9968440903786493,137.35114811145473,35.37982828876899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町一色,恵那市,岩村町一色,21210081004,4.1648305414182865,137.4253299919091,35.361746862066674,0.0,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町大泉,恵那市,明智町大泉,21210083005,4.244180305209019,137.37079284645992,35.315801203470336,95.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町新井町,恵那市,明智町新井町,21210083002,4.304525121439811,137.38383720295573,35.3144914556778,300.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町二区,恵那市,岩村町二区,21210081023,4.503603924489013,137.41875686933375,35.37908138734208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町蕨平,恵那市,岩村町蕨平,21210081008,4.508794403273292,137.43000990484663,35.35790447978804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町緑ケ丘,恵那市,岩村町緑ケ丘,21210081007,4.5539981077319736,137.4301422146299,35.36000072387672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町杉野,恵那市,明智町杉野,21210083010,4.637905026899257,137.41263250711017,35.32057909638308,0.0,0.0,0.0,0.0,196.0,118.0,0.0,0.0,0.0,0.0,0.0,629.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町山上,恵那市,岩村町山上,21210081009,4.654724531047496,137.42660036226934,35.371757182298865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,318.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
