facility,total_patients,top3_frequency
おおさわ医院,7012.0,16
澤﨑内科クリニック,4784.0,16
恵那市国民健康保険山岡診療所,3249.0,8
岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,2382.0,9
東濃中央クリニック,1587.0,3
河上クリニック,1462.0,1
セオ医院,1405.0,3
広瀬クリニック,1385.0,5
瑞岐会診療所,1157.0,1
道しるべ,1094.0,4
山田診療所,1021.0,5
恵那ファミリークリニック,973.0,2
田中クリニック,906.0,3
勝股医院,878.0,1
恵那市国民健康保険三郷診療所,813.0,1
中部クリニック,727.0,2
こせき醫院,683.0,2
国民健康保険上矢作病院,547.0,1
タチ医院,545.0,1
岩島医院,541.0,0
おがわ医院,527.0,1
大湫病院附属恵那診療所,419.0,3
安部医院,413.0,3
恵那市国民健康保険串原診療所,294.0,2
虹いろ在宅ケアクリニック,265.0,0
明生クリニック,253.0,1
加藤クリニック,211.0,0
NexWel恵那地域笑顔共創クリニック,179.0,2
度会医院,163.0,1
尾崎医院,139.0,2
医療法人社団仁愛会 瑞浪病院,63.0,0
石田医院,47.0,0
林外科内科,34.0,0
中津川市国民健康保険阿木診療所,31.0,1
森川クリニック,28.0,1
蜂谷医院,28.0,0
恵那市国民健康保険岩村診療所,21.0,1
岐阜県厚生農業協同組合連合会 東濃中部医療センター 土岐市国民健康保険駄知診療所,0.0,0
医療法人恵雄会 井口ハートクリニック,0.0,0
嶋崎内科医院,0.0,0
近藤クリニック,0.0,0
さつき内科・小児科クリニック,0.0,0
長谷川皮膚科,0.0,0
陶生堂医院,0.0,0
わだ内科外科クリニック,0.0,0
学校法人廣池学園診療所,0.0,0
