rank,施設名,利用者数合計,対象施設フラグ
1,澤﨑内科クリニック,38504.0,0
2,セオ医院,21579.0,0
3,東濃中央クリニック,16753.0,0
4,河上クリニック,15999.0,0
5,広瀬クリニック,13684.0,0
6,岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,13411.0,0
7,NexWel恵那地域笑顔共創クリニック,13411.0,0
8,道しるべ,12234.0,0
9,陶生堂医院,10990.0,0
10,恵那ファミリークリニック,10119.0,0
11,明生クリニック,9743.0,0
12,おおさわ医院,9277.0,0
13,大湫病院附属恵那診療所,8704.0,0
14,岩島医院,8279.0,0
15,こせき醫院,7203.0,0
16,安部医院,6647.0,0
17,虹いろ在宅ケアクリニック,6368.0,0
18,中部クリニック,5843.0,0
19,度会医院,5564.0,0
20,タチ医院,5005.0,0
21,加藤クリニック,4242.0,0
22,おがわ医院,4027.0,0
23,蜂谷医院,3902.0,0
24,恵那市国民健康保険山岡診療所,3751.0,1
25,中津川市国民健康保険阿木診療所,3323.0,0
26,瑞岐会診療所,3248.0,0
27,勝股医院,3238.0,0
28,国民健康保険上矢作病院,3107.0,0
29,田中クリニック,2183.0,0
30,森川クリニック,2121.0,0
31,恵那市国民健康保険三郷診療所,1518.0,0
32,岐阜県厚生農業協同組合連合会 東濃中部医療センター 土岐市国民健康保険駄知診療所,1196.0,0
33,恵那市国民健康保険串原診療所,1152.0,0
34,医療法人社団仁愛会 瑞浪病院,1067.0,0
35,山田診療所,1021.0,0
36,医療法人恵雄会 井口ハートクリニック,938.0,0
37,嶋崎内科医院,869.0,0
38,近藤クリニック,712.0,0
39,さつき内科・小児科クリニック,375.0,0
40,長谷川皮膚科,256.0,0
41,恵那市国民健康保険岩村診療所,244.0,0
42,林外科内科,239.0,0
43,尾崎医院,226.0,0
44,石田医院,212.0,0
45,わだ内科外科クリニック,187.0,0
46,学校法人廣池学園診療所,76.0,0
