TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,おおさわ医院,おがわ医院,こせき醫院,さつき内科・小児科クリニック,わだ内科外科クリニック,セオ医院,タチ医院,中津川市国民健康保険阿木診療所,中部クリニック,加藤クリニック,勝股医院,医療法人恵雄会 井口ハートクリニック,医療法人社団仁愛会 瑞浪病院,国民健康保険上矢作病院,大湫病院附属恵那診療所,学校法人廣池学園診療所,安部医院,尾崎医院,山田診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 土岐市国民健康保険駄知診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,岩島医院,嶋崎内科医院,広瀬クリニック,度会医院,恵那ファミリークリニック,恵那市国民健康保険三郷診療所,恵那市国民健康保険串原診療所,恵那市国民健康保険山岡診療所,恵那市国民健康保険岩村診療所,明生クリニック,東濃中央クリニック,林外科内科,森川クリニック,河上クリニック,澤﨑内科クリニック,瑞岐会診療所,田中クリニック,石田医院,虹いろ在宅ケアクリニック,蜂谷医院,近藤クリニック,道しるべ,長谷川皮膚科,陶生堂医院,NexWel恵那地域笑顔共創クリニック,LON,LAT,dist_km,total_patients,town,town_norm,match_type
21210082003,恵那市,山岡町上手向,恵那市,山岡町上手向,恵那市山岡町上手向,岐阜県,恵那市,山岡町,上手向,恵那市山岡町上手向,21210.0,82003.0,4.0,521.0,12.0,21.0,27.0,33.0,12.0,18.0,7.0,31.0,35.0,42.0,39.0,28.0,37.0,39.0,45.0,31.0,24.0,27.0,10.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,31.0,111.0,0.0,0.0,0.0,0.0,22.0,59.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,79.0,0.0,27.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,30.0,24.0,0.0,774.0,0.0,0.0,33.0,0.0,0.0,76.0,164.0,29.0,128.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,137.3777760301876,35.356525730662085,0.4596911046065267,1749.0,恵那市山岡町上手向,恵那市山岡町上手向,code_in_car30
21210082006,恵那市,山岡町釜屋,恵那市,山岡町釜屋,恵那市山岡町釜屋,岐阜県,恵那市,山岡町,釜屋,恵那市山岡町釜屋,21210.0,82006.0,4.0,300.0,8.0,14.0,13.0,11.0,6.0,11.0,16.0,18.0,17.0,14.0,9.0,20.0,36.0,37.0,19.0,13.0,18.0,14.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.37409135479618,35.3377520347002,1.808608371493548,413.0,恵那市山岡町釜屋,恵那市山岡町釜屋,code_in_car30
21210082005,恵那市,山岡町下手向,恵那市,山岡町下手向,恵那市山岡町下手向,岐阜県,恵那市,山岡町,下手向,恵那市山岡町下手向,21210.0,82005.0,4.0,595.0,11.0,9.0,15.0,21.0,22.0,23.0,20.0,20.0,26.0,34.0,34.0,38.0,54.0,57.0,59.0,40.0,52.0,41.0,14.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,4.0,6.0,5.0,1.0,0.0,0.0,41.0,199.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,106.0,0.0,0.0,0.0,109.0,0.0,0.0,251.0,0.0,0.0,56.0,0.0,0.0,0.0,607.0,56.0,57.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,137.35442700060173,35.35268414783608,2.3778052221277455,2388.0,恵那市山岡町下手向,恵那市山岡町下手向,code_in_car30
21210082004,恵那市,山岡町久保原,恵那市,山岡町久保原,恵那市山岡町久保原,岐阜県,恵那市,山岡町,久保原,恵那市山岡町久保原,21210.0,82004.0,4.0,413.0,10.0,16.0,11.0,15.0,12.0,9.0,7.0,18.0,25.0,32.0,22.0,30.0,23.0,37.0,53.0,24.0,34.0,18.0,13.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,0.0,0.0,26.0,81.0,0.0,268.0,0.0,0.0,595.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,216.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,61.0,137.38557136229855,35.378481741924,2.855877613293389,2278.0,恵那市山岡町久保原,恵那市山岡町久保原,code_in_car30
21210082002,恵那市,山岡町田沢,恵那市,山岡町田沢,恵那市山岡町田沢,岐阜県,恵那市,山岡町,田沢,恵那市山岡町田沢,21210.0,82002.0,4.0,306.0,6.0,11.0,20.0,18.0,6.0,6.0,7.0,13.0,13.0,21.0,20.0,21.0,21.0,32.0,34.0,12.0,22.0,10.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,270.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.40647602016293,35.337511788680196,2.915679369521347,1329.0,恵那市山岡町田沢,恵那市山岡町田沢,code_in_car30
21210083014,恵那市,明智町野志,恵那市,明智町野志,恵那市明智町野志,岐阜県,恵那市,明智町,野志,恵那市明智町野志,21210.0,83014.0,4.0,142.0,7.0,3.0,9.0,4.0,5.0,1.0,2.0,6.0,6.0,8.0,14.0,13.0,2.0,9.0,14.0,15.0,14.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.38590283470603,35.32543888246385,3.1142452363646553,93.0,恵那市明智町野志,恵那市明智町野志,code_in_car30
21210082007,恵那市,山岡町原,恵那市,山岡町原,恵那市山岡町原,岐阜県,恵那市,山岡町,原,恵那市山岡町原,21210.0,82007.0,4.0,895.0,16.0,26.0,24.0,34.0,29.0,26.0,26.0,39.0,47.0,38.0,75.0,66.0,77.0,82.0,103.0,61.0,61.0,43.0,17.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,7.0,10.0,7.0,7.0,5.0,2.0,1.0,0.0,62.0,221.0,75.0,0.0,0.0,0.0,0.0,156.0,0.0,47.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,307.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,116.0,0.0,0.0,98.0,0.0,0.0,0.0,137.3541129899166,35.32861973526454,3.634338791433451,1698.0,恵那市山岡町原,恵那市山岡町原,code_in_car30
21210081022,恵那市,岩村町一区,恵那市,岩村町一区,恵那市岩村町一区,岐阜県,恵那市,岩村町,一区,恵那市岩村町一区,21210.0,81022.0,4.0,107.0,2.0,3.0,5.0,0.0,1.0,4.0,3.0,5.0,8.0,0.0,5.0,9.0,9.0,19.0,9.0,6.0,9.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4077649585685,35.37768422865647,3.676033928294169,0.0,恵那市岩村町一区,恵那市岩村町一区,code_in_car30
21210082001,恵那市,山岡町馬場山田,恵那市,山岡町馬場山田,恵那市山岡町馬場山田,岐阜県,恵那市,山岡町,馬場山田,恵那市山岡町馬場山田,21210.0,82001.0,4.0,496.0,11.0,16.0,30.0,22.0,16.0,17.0,15.0,24.0,28.0,32.0,21.0,20.0,39.0,44.0,47.0,33.0,32.0,25.0,19.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,0.0,0.0,31.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,1054.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.42293870539876,35.34630960531401,3.9101544973270177,2857.0,恵那市山岡町馬場山田,恵那市山岡町馬場山田,code_in_car30
21210040000,恵那市,三郷町椋実,恵那市,三郷町椋実,恵那市三郷町椋実,岐阜県,恵那市,三郷町,椋実,恵那市三郷町椋実,21210.0,40000.0,4.0,117.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,1.0,4.0,4.0,7.0,8.0,17.0,10.0,8.0,9.0,12.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.35114811145473,35.37982828876899,3.9968440903786493,0.0,恵那市三郷町椋実,恵那市三郷町椋実,code_in_car30
