town_name_show,dist_km,おおさわ医院,澤﨑内科クリニック,恵那市国民健康保険山岡診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,東濃中央クリニック,河上クリニック,セオ医院,広瀬クリニック,瑞岐会診療所,道しるべ
恵那市山岡町上手向,0.4596911046065267,111.0,164.0,774.0,143.0,33.0,76.0,22.0,0.0,29.0,0.0
恵那市山岡町釜屋,1.808608371493548,0.0,225.0,0.0,66.0,0.0,0.0,122.0,0.0,0.0,0.0
恵那市山岡町下手向,2.3778052221277455,199.0,607.0,251.0,422.0,56.0,0.0,215.0,0.0,56.0,162.0
恵那市山岡町久保原,2.855877613293389,81.0,434.0,252.0,0.0,0.0,216.0,595.0,0.0,0.0,73.0
恵那市山岡町田沢,2.915679369521347,0.0,0.0,270.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町野志,3.1142452363646553,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町原,3.634338791433451,221.0,121.0,196.0,210.0,307.0,0.0,0.0,86.0,0.0,98.0
恵那市岩村町一区,3.676033928294169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町馬場山田,3.9101544973270177,352.0,0.0,1054.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0
恵那市三郷町椋実,3.9968440903786493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町一色,4.1648305414182865,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0
恵那市明智町大泉,4.244180305209019,103.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
恵那市明智町新井町,4.304525121439811,419.0,300.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0
恵那市岩村町二区,4.503603924489013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町蕨平,4.508794403273292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町緑ケ丘,4.5539981077319736,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町杉野,4.637905026899257,629.0,0.0,0.0,118.0,0.0,0.0,0.0,196.0,0.0,0.0
恵那市岩村町山上,4.654724531047496,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町滝坂住宅,4.72428846875969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町大根洞,4.727070044926218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町上平,4.955895021664448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町市場町,5.038013213404465,743.0,107.0,48.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町向町,5.050456980456268,163.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町東山町,5.053015912301919,1131.0,94.0,0.0,0.0,148.0,86.0,0.0,0.0,0.0,171.0
恵那市岩村町領家,5.118735365506053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町石畑,5.150291351861045,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町新町二丁目,5.234736529107111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町駅前町,5.262680998194772,208.0,176.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町宮町,5.263335304711847,275.0,90.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町新町一丁目,5.337139183485598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町田代,5.376932827520028,0.0,225.0,194.0,76.0,0.0,0.0,0.0,274.0,0.0,0.0
恵那市岩村町西町二丁目,5.432247642170409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町三区,5.4521947075101975,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
恵那市岩村町柳町,5.474639141026702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町本町,5.49764037871677,37.0,233.0,0.0,0.0,307.0,0.0,0.0,0.0,1072.0,40.0
恵那市岩村町高松,5.516048407545114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町朝日町,5.527403025957306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町大通寺,5.537597406257523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町西町一丁目,5.543740432279622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0
恵那市明智町徳間町,5.55059578811875,180.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
