都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
群馬県,前橋市,岩神町,一丁目,前橋市岩神町一丁目,10201,001001,4,374.0,前橋市,岩神町一丁目,前橋市岩神町一丁目,10201001001,8.0,18.0,17.0,16.0,6.0,13.0,11.0,21.0,39.0,30.0,28.0,33.0,21.0,17.0,31.0,20.0,19.0,13.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,18.0
群馬県,前橋市,岩神町,二丁目,前橋市岩神町二丁目,10201,001002,4,847.0,前橋市,岩神町二丁目,前橋市岩神町二丁目,10201001002,28.0,27.0,29.0,30.0,54.0,36.0,34.0,39.0,32.0,47.0,47.0,58.0,47.0,50.0,67.0,51.0,52.0,66.0,34.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,6.0,8.0,3.0,1.0,0.0,53.0
群馬県,前橋市,岩神町,三丁目,前橋市岩神町三丁目,10201,001003,4,1188.0,前橋市,岩神町三丁目,前橋市岩神町三丁目,10201001003,42.0,59.0,56.0,59.0,40.0,33.0,64.0,56.0,70.0,99.0,81.0,75.0,70.0,76.0,79.0,82.0,61.0,44.0,25.0,3.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,7.0,9.0,7.0,5.0,3.0,0.0,0.0,69.0
群馬県,前橋市,岩神町,四丁目,前橋市岩神町四丁目,10201,001004,4,803.0,前橋市,岩神町四丁目,前橋市岩神町四丁目,10201001004,27.0,34.0,36.0,39.0,38.0,26.0,39.0,33.0,47.0,59.0,60.0,68.0,53.0,45.0,61.0,50.0,41.0,21.0,8.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,6.0,6.0,5.0,2.0,1.0,0.0,0.0,47.0
群馬県,前橋市,昭和町,一丁目,前橋市昭和町一丁目,10201,006001,4,708.0,前橋市,昭和町一丁目,前橋市昭和町一丁目,10201006001,11.0,24.0,25.0,16.0,31.0,27.0,28.0,33.0,34.0,42.0,51.0,57.0,48.0,47.0,59.0,32.0,41.0,51.0,23.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,4.0,5.0,6.0,2.0,0.0,0.0,44.0
群馬県,前橋市,昭和町,二丁目,前橋市昭和町二丁目,10201,006002,4,824.0,前橋市,昭和町二丁目,前橋市昭和町二丁目,10201006002,16.0,19.0,26.0,45.0,44.0,24.0,35.0,27.0,46.0,52.0,39.0,55.0,72.0,52.0,72.0,51.0,41.0,36.0,25.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,4.0,7.0,6.0,5.0,4.0,3.0,1.0,0.0,52.0
群馬県,前橋市,昭和町,三丁目,前橋市昭和町三丁目,10201,006003,4,1335.0,前橋市,昭和町三丁目,前橋市昭和町三丁目,10201006003,37.0,50.0,34.0,44.0,81.0,69.0,52.0,60.0,56.0,66.0,60.0,73.0,68.0,80.0,80.0,86.0,76.0,82.0,57.0,14.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,8.0,10.0,9.0,9.0,6.0,1.0,0.0,79.0
群馬県,前橋市,平和町,一丁目,前橋市平和町一丁目,10201,009001,4,616.0,前橋市,平和町一丁目,前橋市平和町一丁目,10201009001,15.0,20.0,22.0,34.0,36.0,31.0,21.0,21.0,32.0,45.0,31.0,52.0,45.0,33.0,53.0,31.0,29.0,27.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,36.0
群馬県,前橋市,平和町,二丁目,前橋市平和町二丁目,10201,009002,4,468.0,前橋市,平和町二丁目,前橋市平和町二丁目,10201009002,9.0,9.0,23.0,25.0,13.0,16.0,9.0,12.0,22.0,26.0,44.0,26.0,39.0,29.0,41.0,41.0,31.0,29.0,12.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,3.0,1.0,0.0,0.0,28.0
群馬県,前橋市,国領町,一丁目,前橋市国領町一丁目,10201,011001,4,673.0,前橋市,国領町一丁目,前橋市国領町一丁目,10201011001,9.0,18.0,33.0,34.0,21.0,19.0,9.0,26.0,31.0,57.0,53.0,51.0,33.0,39.0,92.0,70.0,32.0,12.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,9.0,8.0,4.0,1.0,1.0,0.0,0.0,41.0
