town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,草津こまくさ病院,草津外科内科クリニック,布施医院,六合診療所 小雨出張所,六合診療所 湯久保出張所,長生病院
中之条町大字入山,中之条町,大字入山,10421025000,3.203550171271856,138.64165279320693,36.67720317796747,0.0,0.0,0.0,367.0,0.0,0.0
中之条町大字小雨,中之条町,大字小雨,10421020000,5.811642968174646,138.62473294358128,36.601909768681345,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字生須,中之条町,大字生須,10421021000,5.9161564272824245,138.63963737683864,36.597188211496864,0.0,0.0,0.0,0.0,0.0,0.0
草津町大字草津,草津町,大字草津,10426001000,7.1118133480497905,138.57734694210626,36.62626990796309,2387.0,1563.0,758.0,0.0,0.0,0.0
中之条町大字上沢渡,中之条町,大字上沢渡,10421007003,7.137780428041049,138.7305031493223,36.63890944807998,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字太子,中之条町,大字太子,10421022000,7.318763605130132,138.61333917090454,36.59130353707762,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字赤岩,中之条町,大字赤岩,10421024000,7.601772153565166,138.6543917190577,36.58119244844237,296.0,0.0,0.0,0.0,0.0,0.0
中之条町大字日影,中之条町,大字日影,10421023000,8.662184119354388,138.61478500515128,36.57744158867192,0.0,0.0,0.0,0.0,60.0,0.0
中之条町大字上沢渡,中之条町,大字上沢渡,10421007001,8.945709982501924,138.7335933070605,36.60323561293424,0.0,0.0,0.0,0.0,0.0,0.0
草津町大字前口,草津町,大字前口,10426002000,9.50196588256405,138.57070073356437,36.5939641179128,254.0,488.0,0.0,0.0,0.0,0.0
中之条町大字上沢渡,中之条町,大字上沢渡,10421007002,9.764738532490844,138.75692039232132,36.625656853975194,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字大津,長野原町,大字大津,10424006000,10.178642891237951,138.6061380560256,36.565570609999035,0.0,0.0,56.0,0.0,0.0,0.0
長野原町大字林,長野原町,大字林,10424004000,10.847840005740906,138.6774096672527,36.55418889449229,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字長野原,長野原町,大字長野原,10424005000,11.100893175741875,138.6489605806699,36.54970989771516,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字上沢渡,中之条町,大字上沢渡,10421007004,11.449001760087546,138.77462306813607,36.62026748062151,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字羽根尾,長野原町,大字羽根尾,10424007100,11.453662930774563,138.59905783903403,36.55554728021252,219.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字今井,嬬恋村,大字今井,10425011000,12.025589121809693,138.55786245589252,36.57183796300442,253.0,66.0,0.0,0.0,0.0,0.0
長野原町大字川原湯,長野原町,大字川原湯,10424002000,12.665173241582455,138.7039273563653,36.54365035220626,53.0,0.0,0.0,0.0,0.0,0.0
長野原町大字古森,長野原町,大字古森,10424007200,12.903451817552337,138.60279903474466,36.54029122367921,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字横壁,長野原町,大字横壁,10424003000,13.23135749704289,138.66919283572338,36.531369106322664,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字与喜屋,長野原町,大字与喜屋,10424008000,13.271608810753452,138.62605700206137,36.53194095151101,0.0,0.0,0.0,0.0,0.0,0.0
