TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,六合診療所 小雨出張所,六合診療所 湯久保出張所,布施医院,草津こまくさ病院,草津外科内科クリニック,長生病院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
10421025000,中之条町,大字入山,中之条町,大字入山,中之条町大字入山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.0,0.0,0.0,0.0,0.0,0.0,138.64165279320693,36.67720317796747,3.203550171271856,367.0,中之条町大字入山,中之条町入山,code_in_car30
10421020000,中之条町,大字小雨,中之条町,大字小雨,中之条町大字小雨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,138.62473294358128,36.601909768681345,5.811642968174646,0.0,中之条町大字小雨,中之条町小雨,code_in_car30
10421021000,中之条町,大字生須,中之条町,大字生須,中之条町大字生須,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,138.63963737683864,36.597188211496864,5.9161564272824245,0.0,中之条町大字生須,中之条町生須,code_in_car30
10426001000,草津町,大字草津,草津町,大字草津,草津町大字草津,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,758.0,2387.0,1563.0,0.0,138.57734694210626,36.62626990796309,7.1118133480497905,4708.0,草津町大字草津,草津町草津,code_in_car30
10421007003,中之条町,大字上沢渡,中之条町,大字上沢渡,中之条町大字上沢渡,群馬県,中之条町,大字上沢渡,,中之条町大字上沢渡,10421.0,7003.0,4.0,154.0,2.0,4.0,10.0,10.0,1.0,3.0,3.0,9.0,12.0,13.0,7.0,6.0,11.0,12.0,18.0,11.0,9.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,138.7305031493223,36.63890944807998,7.137780428041049,0.0,中之条町大字上沢渡,中之条町上沢渡,code_in_car30
10421022000,中之条町,大字太子,中之条町,大字太子,中之条町大字太子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,138.61333917090454,36.59130353707762,7.318763605130132,0.0,中之条町大字太子,中之条町太子,code_in_car30
10421024000,中之条町,大字赤岩,中之条町,大字赤岩,中之条町大字赤岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,296.0,0.0,0.0,138.6543917190577,36.58119244844237,7.601772153565166,296.0,中之条町大字赤岩,中之条町赤岩,code_in_car30
10421023000,中之条町,大字日影,中之条町,大字日影,中之条町大字日影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,0.0,0.0,0.0,0.0,138.61478500515128,36.57744158867192,8.662184119354388,60.0,中之条町大字日影,中之条町日影,code_in_car30
10421007001,中之条町,大字上沢渡,中之条町,大字上沢渡,中之条町大字上沢渡,群馬県,中之条町,大字上沢渡,,中之条町大字上沢渡,10421.0,7001.0,4.0,110.0,3.0,3.0,6.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,7.0,6.0,14.0,14.0,9.0,8.0,4.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,138.7335933070605,36.60323561293424,8.945709982501924,0.0,中之条町大字上沢渡,中之条町上沢渡,code_in_car30
10426002000,草津町,大字前口,草津町,大字前口,草津町大字前口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,254.0,488.0,0.0,138.57070073356437,36.5939641179128,9.50196588256405,742.0,草津町大字前口,草津町前口,code_in_car30
