town_name_show,dist_km,草津こまくさ病院,草津外科内科クリニック,布施医院,六合診療所 小雨出張所,六合診療所 湯久保出張所,長生病院
中之条町大字入山,3.203550171271856,0.0,0.0,0.0,367.0,0.0,0.0
中之条町大字小雨,5.811642968174646,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字生須,5.9161564272824245,0.0,0.0,0.0,0.0,0.0,0.0
草津町大字草津,7.1118133480497905,2387.0,1563.0,758.0,0.0,0.0,0.0
中之条町大字上沢渡,7.137780428041049,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字太子,7.318763605130132,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字赤岩,7.601772153565166,296.0,0.0,0.0,0.0,0.0,0.0
中之条町大字日影,8.662184119354388,0.0,0.0,0.0,0.0,60.0,0.0
中之条町大字上沢渡,8.945709982501924,0.0,0.0,0.0,0.0,0.0,0.0
草津町大字前口,9.50196588256405,254.0,488.0,0.0,0.0,0.0,0.0
中之条町大字上沢渡,9.764738532490844,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字大津,10.178642891237951,0.0,0.0,56.0,0.0,0.0,0.0
長野原町大字林,10.847840005740906,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字長野原,11.100893175741875,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字上沢渡,11.449001760087546,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字羽根尾,11.453662930774563,219.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字今井,12.025589121809693,253.0,66.0,0.0,0.0,0.0,0.0
長野原町大字川原湯,12.665173241582455,53.0,0.0,0.0,0.0,0.0,0.0
長野原町大字古森,12.903451817552337,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字横壁,13.23135749704289,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字与喜屋,13.271608810753452,0.0,0.0,0.0,0.0,0.0,0.0
