town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,草津こまくさ病院,桜井クリニック,草津外科内科クリニック,嬬恋村国民健康保険診療所,布施医院,六合診療所 小雨出張所,長野原町へき地診療所,六合診療所 湯久保出張所,長生病院,長野原町へき地診療所栗平出張所
嬬恋村大字三原,嬬恋村,大字三原,10425007000,0.27559303932539175,138.54974202015634,36.53749802646876,69.0,114.0,0.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字鎌原,嬬恋村,大字鎌原,10425008002,0.7344762646862799,138.54646166759056,36.52898390224402,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字芦生田,嬬恋村,大字芦生田,10425009000,1.2471287086320793,138.56318544804085,36.53820178835494,0.0,271.0,102.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字西窪,嬬恋村,大字西窪,10425005000,1.8142825083895513,138.53721428594238,36.522216153624036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字門貝,嬬恋村,大字門貝,10425006000,2.9854456874503517,138.52677634064105,36.55448057330346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字袋倉,嬬恋村,大字袋倉,10425010000,3.0536163863111367,138.58391958478455,36.53662985840231,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
嬬恋村大字大前,嬬恋村,大字大前,10425004000,3.580220581558144,138.52603176999867,36.50909997068684,0.0,50.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字今井,嬬恋村,大字今井,10425011000,4.156835232534286,138.55786245589252,36.57183796300442,253.0,379.0,66.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字古森,長野原町,大字古森,10424007200,4.771150068932765,138.60279903474466,36.54029122367921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字羽根尾,長野原町,大字羽根尾,10424007100,4.957103632728269,138.59905783903403,36.55554728021252,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字応桑,長野原町,大字応桑,10424009000,5.463417805537846,138.6010274346947,36.50820010098445,269.0,364.0,0.0,91.0,0.0,0.0,157.0,0.0,0.0,0.0
長野原町大字大津,長野原町,大字大津,10424006000,6.071753554427261,138.6061380560256,36.565570609999035,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
草津町大字前口,草津町,大字前口,10426002000,6.814923985349048,138.57070073356437,36.5939641179128,254.0,0.0,488.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字与喜屋,長野原町,大字与喜屋,10424008000,6.821874965841883,138.62605700206137,36.53194095151101,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字日影,中之条町,大字日影,10421023000,7.479472290822005,138.61478500515128,36.57744158867192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
嬬恋村大字大笹,嬬恋村,大字大笹,10425003000,7.53269356144031,138.49364737020812,36.48450134586674,0.0,712.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字干俣,嬬恋村,大字干俣,10425002000,8.214587811805128,138.46114108164394,36.55462061517485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字太子,中之条町,大字太子,10421022000,8.448175179940216,138.61333917090454,36.59130353707762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字長野原,長野原町,大字長野原,10424005000,9.007946155538937,138.6489605806699,36.54970989771516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字鎌原,嬬恋村,大字鎌原,10425008001,9.38407409221672,138.5317165108727,36.45188869886416,386.0,400.0,28.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字干俣,嬬恋村,大字干俣,10425012000,9.433671574332905,138.49743642080986,36.60870262303479,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字小雨,中之条町,大字小雨,10421020000,10.005159997065114,138.62473294358128,36.601909768681345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字北軽井沢,長野原町,大字北軽井沢,10424010000,10.392793772906677,138.60960191339754,36.45486777160818,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
草津町大字草津,草津町,大字草津,10426001000,10.44042542258196,138.57734694210626,36.62626990796309,2387.0,37.0,1563.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0
中之条町大字生須,中之条町,大字生須,10421021000,10.590526875266603,138.63963737683864,36.597188211496864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字赤岩,中之条町,大字赤岩,10421024000,10.659766119389127,138.6543917190577,36.58119244844237,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字横壁,長野原町,大字横壁,10424003000,10.67506444566915,138.66919283572338,36.531369106322664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東吾妻町大字須賀尾須賀尾一区,東吾妻町,大字須賀尾須賀尾一区,10429017001,11.391526420584816,138.66837026473465,36.497411649660286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字林,長野原町,大字林,10424004000,11.597362110147332,138.6774096672527,36.55418889449229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
嬬恋村大字田代,嬬恋村,大字田代,10425001000,12.21166118546757,138.43724745234695,36.47276442564935,0.0,336.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字川原畑,長野原町,大字川原畑,10424001000,13.740111724718908,138.70003173061664,36.561534394219045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
長野原町大字川原湯,長野原町,大字川原湯,10424002000,13.803059477115056,138.7039273563653,36.54365035220626,53.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東吾妻町大字松谷大平,東吾妻町,大字松谷大平,10429011003,15.743704658879274,138.71616478649133,36.58180728094755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中之条町大字入山,中之条町,大字入山,10421025000,17.809594261739115,138.64165279320693,36.67720317796747,0.0,0.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0
東吾妻町大字三島,東吾妻町,大字三島,10429012010,17.895018876682176,138.74944636268887,36.54810294948063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
