town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,十勝いけだ地域医療センター,浦幌町立診療所,医療法人 蒼生 くりばやし医院,医療法人社団 藤田クリニック,医療法人社団 景山医院,豊頃町立大津診療所,豊頃町立豊頃医院,池田桜通診療所,駒畠診療所,糠内診療所,緑町クリニック
豊頃町牛首別牛首別一,豊頃町,牛首別牛首別一,01645010001,0.5009295662752717,143.51233771686435,42.79001509375248,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
豊頃町幌岡上幌岡,豊頃町,幌岡上幌岡,01645021001,2.045942244548482,143.53743354542715,42.7996498550106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町育素多北誉,豊頃町,育素多北誉,01645016202,3.1412984112636884,143.51073849262792,42.82263876225347,0.0,0.0,96.0,18.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
豊頃町農野牛下農野牛,豊頃町,農野牛下農野牛,01645008001,3.3135887117245293,143.47542270917785,42.80505910574316,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
豊頃町牛首別牛首別二,豊頃町,牛首別牛首別二,01645010002,3.37546751171523,143.4869644414551,42.77109492316482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮石神一,豊頃町,二宮石神一,01645009005,4.663854190991305,143.46184605356353,42.77631949644007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町礼作別礼作別,豊頃町,礼作別礼作別,01645007002,4.740107977062318,143.46367358425715,42.81653210070551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町幌岡下幌岡,豊頃町,幌岡下幌岡,01645021002,4.858574035190713,143.56950137047858,42.77986911749785,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町豊頃豊頃昭和,豊頃町,豊頃豊頃昭和,01645020001,4.943932944760568,143.54897127193823,42.83044232276019,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
豊頃町豊頃豊頃第一,豊頃町,豊頃豊頃第一,01645020002,5.113493315564568,143.57289660407847,42.80886915825061,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町育素多育素多,豊頃町,育素多育素多,01645016201,5.378964563408721,143.50095843663604,42.84196343187806,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町礼文内礼文内三,豊頃町,礼文内礼文内三,01645019003,5.954866725980641,143.53811705850023,42.84484025864693,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0
豊頃町北栄新星,豊頃町,北栄新星,01645016102,5.985913869685522,143.48373723780287,42.84370159509178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町礼文内礼文内一,豊頃町,礼文内礼文内一,01645019001,6.345641988386508,143.51259953329694,42.85151967273364,86.0,0.0,0.0,0.0,0.0,62.0,0.0,14.0,0.0,0.0,0.0
豊頃町二宮石神二,豊頃町,二宮石神二,01645009006,6.4436101566116335,143.43808551466302,42.77699950696538,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
