town_name_show,dist_km,浦幌町立診療所,十勝いけだ地域医療センター,医療法人社団 藤田クリニック,豊頃町立豊頃医院,医療法人 蒼生 くりばやし医院,豊頃町立大津診療所,駒畠診療所,池田桜通診療所,医療法人社団 景山医院,糠内診療所
豊頃町牛首別牛首別一,0.5009295662752717,0.0,169.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
豊頃町幌岡上幌岡,2.045942244548482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町育素多北誉,3.1412984112636884,0.0,0.0,18.0,17.0,96.0,0.0,0.0,0.0,0.0,0.0
豊頃町農野牛下農野牛,3.3135887117245293,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町牛首別牛首別二,3.37546751171523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮石神一,4.663854190991305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町礼作別礼作別,4.740107977062318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町幌岡下幌岡,4.858574035190713,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
豊頃町豊頃豊頃昭和,4.943932944760568,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町豊頃豊頃第一,5.113493315564568,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町育素多育素多,5.378964563408721,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町礼文内礼文内三,5.954866725980641,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町北栄新星,5.985913869685522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町礼文内礼文内一,6.345641988386508,0.0,86.0,0.0,0.0,0.0,62.0,0.0,14.0,0.0,0.0
豊頃町二宮石神二,6.4436101566116335,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町礼作別仁徳,6.982771705253961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町農野牛保栄,7.161996060327104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町吉野一区,7.52271798132534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮上石神,7.882022792262342,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町吉野二区,8.015189929777081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町統内統内,8.15941217051255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町吉野三区,8.288725955666777,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町礼文内礼文内二,8.401728008000617,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮小川一,8.639315809807751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町北栄北星,8.678527779104654,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮久保,8.928760040952874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町統内二里塚,9.091138851212074,0.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町農野牛上農野牛,10.633268788142093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮大川二,10.70159938894391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町統内平和,10.71841294433074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町住吉町二区,11.034223497643179,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町長節長節二,11.10402007022147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町栄町,11.456064953161356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町栄町,11.60287785613636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町住吉町一区,11.663801339523502,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町宝町,11.708781795575076,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町南町二区,11.786975057386355,279.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町宝町一区,11.852396602737842,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町宝町,11.93769019264896,740.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町北町二区,12.069251931738087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町東山町,12.076813400498084,335.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0
浦幌町北栄一区,12.177373778991347,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町南町一区,12.272865656528033,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町北栄二区,12.492854880648503,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町北町一区,12.50604802721887,281.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
浦幌町北町三区,12.530733893777692,418.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町東山町,12.852302908726111,514.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮小川,14.039726870523465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字大通一丁目,14.941226841402434,0.0,290.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町長節長節一,15.021182140280706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西一条一丁目,15.03412010382302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字大通二丁目,15.1540912330098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西一条二丁目,15.182543068982678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西二条二丁目,15.204257228339898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字大通三丁目,15.27690725694433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西一条三丁目,15.302930681478125,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西二条三丁目,15.338182455066875,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮大川,15.400208916227884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字大通四丁目,15.403368441950503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西一条四丁目,15.424279779671085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
