TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,医療法人 蒼生 くりばやし医院,医療法人社団 景山医院,医療法人社団 藤田クリニック,十勝いけだ地域医療センター,池田桜通診療所,浦幌町立診療所,糠内診療所,緑町クリニック,豊頃町立大津診療所,豊頃町立豊頃医院,駒畠診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
01645010001,豊頃町,牛首別牛首別一,豊頃町,牛首別牛首別一,豊頃町牛首別牛首別一,北海道,豊頃町,牛首別,牛首別一,豊頃町牛首別牛首別一,1645,10001,4,49.0,3.0,0.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,6.0,2.0,2.0,3.0,3.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,143.51233771686435,42.79001509375248,0.5009295662752717,224.0,豊頃町牛首別牛首別一,豊頃町牛首別牛首別一,code_in_car30
01645021001,豊頃町,幌岡上幌岡,豊頃町,幌岡上幌岡,豊頃町幌岡上幌岡,北海道,豊頃町,幌岡,上幌岡,豊頃町幌岡上幌岡,1645,21001,4,41.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,10.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.53743354542715,42.7996498550106,2.045942244548482,0.0,豊頃町幌岡上幌岡,豊頃町幌岡上幌岡,code_in_car30
01645016202,豊頃町,育素多北誉,豊頃町,育素多北誉,豊頃町育素多北誉,北海道,豊頃町,育素多,北誉,豊頃町育素多北誉,1645,16202,4,22.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,143.51073849262792,42.82263876225347,3.1412984112636884,131.0,豊頃町育素多北誉,豊頃町育素多北誉,code_in_car30
01645008001,豊頃町,農野牛下農野牛,豊頃町,農野牛下農野牛,豊頃町農野牛下農野牛,北海道,豊頃町,農野牛,下農野牛,豊頃町農野牛下農野牛,1645,8001,4,38.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,3.0,4.0,7.0,5.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,143.47542270917785,42.80505910574316,3.3135887117245293,28.0,豊頃町農野牛下農野牛,豊頃町農野牛下農野牛,code_in_car30
01645010002,豊頃町,牛首別牛首別二,豊頃町,牛首別牛首別二,豊頃町牛首別牛首別二,北海道,豊頃町,牛首別,牛首別二,豊頃町牛首別牛首別二,1645,10002,4,41.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,3.0,4.0,3.0,1.0,3.0,6.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4869644414551,42.77109492316482,3.37546751171523,0.0,豊頃町牛首別牛首別二,豊頃町牛首別牛首別二,code_in_car30
01645009005,豊頃町,二宮石神一,豊頃町,二宮石神一,豊頃町二宮石神一,北海道,豊頃町,二宮,石神一,豊頃町二宮石神一,1645,9005,4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.46184605356353,42.77631949644007,4.663854190991305,0.0,豊頃町二宮石神一,豊頃町二宮石神一,code_in_car30
01645007002,豊頃町,礼作別礼作別,豊頃町,礼作別礼作別,豊頃町礼作別礼作別,北海道,豊頃町,礼作別,礼作別,豊頃町礼作別礼作別,1645,7002,4,56.0,3.0,2.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,0.0,2.0,4.0,9.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.46367358425715,42.81653210070551,4.740107977062318,0.0,豊頃町礼作別礼作別,豊頃町礼作別礼作別,code_in_car30
01645021002,豊頃町,幌岡下幌岡,豊頃町,幌岡下幌岡,豊頃町幌岡下幌岡,北海道,豊頃町,幌岡,下幌岡,豊頃町幌岡下幌岡,1645,21002,4,49.0,1.0,0.0,3.0,1.0,1.0,0.0,8.0,0.0,1.0,2.0,1.0,6.0,4.0,8.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.56950137047858,42.77986911749785,4.858574035190713,35.0,豊頃町幌岡下幌岡,豊頃町幌岡下幌岡,code_in_car30
01645020001,豊頃町,豊頃豊頃昭和,豊頃町,豊頃豊頃昭和,豊頃町豊頃豊頃昭和,北海道,豊頃町,豊頃,豊頃昭和,豊頃町豊頃豊頃昭和,1645,20001,4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,143.54897127193823,42.83044232276019,4.943932944760568,35.0,豊頃町豊頃豊頃昭和,豊頃町豊頃豊頃昭和,code_in_car30
01645020002,豊頃町,豊頃豊頃第一,豊頃町,豊頃豊頃第一,豊頃町豊頃豊頃第一,北海道,豊頃町,豊頃,豊頃第一,豊頃町豊頃豊頃第一,1645,20002,4,46.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,6.0,2.0,1.0,2.0,5.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.57289660407847,42.80886915825061,5.113493315564568,57.0,豊頃町豊頃豊頃第一,豊頃町豊頃豊頃第一,code_in_car30
