rank,施設名,利用者数合計,対象施設フラグ
1,小田原市立病院,82014.0,0
2,医療法人 同愛会 小澤病院,61224.0,0
3,山近記念クリニック,52599.0,0
4,小田原市休日夜間急患診療所,35362.0,0
5,久保クリニック,31185.0,0
6,杏林堂クリニック,29716.0,0
7,医療法人 高見澤クリニック,29400.0,0
8,医療法人邦友会 湯河原循環器クリニック,29267.0,0
9,鴨宮クリニック,26190.0,0
10,医療法人尽誠会 山近記念総合病院,21977.0,0
11,国際医療福祉大学熱海病院,20897.0,0
12,独立行政法人地域医療機能推進機構 湯河原病院,20595.0,0
13,医療法人社団 帰陽会 丹羽病院,17803.0,0
14,湯河原胃腸病院,16751.0,0
15,さかわ内科クリニック,16501.0,0
16,森本内科医院,16102.0,0
17,こまつクリニック,15666.0,0
18,真鶴町国民健康保険診療所,15172.0,1
19,城山クリニック,14517.0,0
20,小田原銀座クリニック,13190.0,0
21,しみず扇町クリニック,10866.0,0
22,訪問診療めじろクリニック,10839.0,0
23,本多記念青野クリニック,10308.0,0
24,クリニック山田,10166.0,0
25,漢和クリニック,10106.0,0
26,小島クリニック,9051.0,0
27,医療法人社団 福井内科消化器科クリニック,8263.0,0
28,扇町しらさぎ内科クリニック,7762.0,0
29,YKいわさきクリニック,7717.0,0
30,おだわら泌尿器科・内科クリニック,6275.0,0
31,菊地医院,6079.0,0
32,古藤内科小児科クリニック,5691.0,0
33,鴨宮さとう内科クリニック,5613.0,0
34,清水内科クリニック,5540.0,0
35,医療法人社団 雨宮内科医院,5160.0,0
36,特定医療法人社団研精会 箱根リハビリテーション病院附属ゆい小田原クリニック,4903.0,0
37,ひまわりメンタルクリニック,4817.0,0
38,独立行政法人国立病院機構 箱根病院,4723.0,0
39,五十子内科医院,4584.0,0
40,医療法人社団 川_内科医院,3924.0,0
41,河西クリニック,3767.0,0
42,医療法人 武井内科医院,3552.0,0
43,安間医院,3485.0,0
44,窪倉医院,3398.0,0
45,いがらし胃腸科内科クリニック,2923.0,0
46,循環器中町クリニック,2762.0,0
47,医療法人社団湘星会 小田原腎内科クリニック,2562.0,0
48,医療法人 小林病院,2334.0,0
49,湯河原ホームクリニック,2270.0,0
50,医療法人社団ちとせ会 熱海ちとせ病院,2057.0,0
51,医療法人山田クリニック,2049.0,0
52,浜辺の診療所,1933.0,0
53,あおぞらクリニック,1932.0,0
54,西湘診療所,1915.0,0
55,川邊小児科内科医院,1855.0,0
56,小田原レディスクリニック,1801.0,0
57,医療法人社団伊豆七海会 熱海所記念病院,1797.0,0
58,朝倉医院,1740.0,0
59,仁天堂医院,1633.0,0
60,医療法人財団報徳会 西湘病院,1559.0,0
