town_name_show,dist_km,小田原市立病院,医療法人 同愛会 小澤病院,山近記念クリニック,小田原市休日夜間急患診療所,久保クリニック,杏林堂クリニック,医療法人 高見澤クリニック,医療法人邦友会 湯河原循環器クリニック,鴨宮クリニック,医療法人尽誠会 山近記念総合病院,国際医療福祉大学熱海病院,独立行政法人地域医療機能推進機構 湯河原病院,医療法人社団 帰陽会 丹羽病院,湯河原胃腸病院,さかわ内科クリニック,森本内科医院,こまつクリニック,真鶴町国民健康保険診療所,城山クリニック,小田原銀座クリニック,しみず扇町クリニック,訪問診療めじろクリニック,本多記念青野クリニック,クリニック山田,漢和クリニック,小島クリニック,医療法人社団 福井内科消化器科クリニック,扇町しらさぎ内科クリニック,YKいわさきクリニック,おだわら泌尿器科・内科クリニック,菊地医院,古藤内科小児科クリニック,鴨宮さとう内科クリニック,清水内科クリニック,医療法人社団 雨宮内科医院,特定医療法人社団研精会 箱根リハビリテーション病院附属ゆい小田原クリニック,ひまわりメンタルクリニック,独立行政法人国立病院機構 箱根病院,五十子内科医院,医療法人社団 川_内科医院,河西クリニック,医療法人 武井内科医院,安間医院,窪倉医院,いがらし胃腸科内科クリニック,循環器中町クリニック,医療法人社団湘星会 小田原腎内科クリニック,医療法人 小林病院,湯河原ホームクリニック,医療法人社団ちとせ会 熱海ちとせ病院,医療法人山田クリニック,浜辺の診療所,あおぞらクリニック,西湘診療所,川邊小児科内科医院,小田原レディスクリニック,医療法人社団伊豆七海会 熱海所記念病院,朝倉医院,仁天堂医院,医療法人財団報徳会 西湘病院
真鶴町岩,0.17405757441757636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.0,1240.0,0.0,0.0,0.0,0.0,0.0,4451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町福浦,0.6272442929272602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,0.0,0.0,0.0,1091.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
真鶴町真鶴,1.0668855988871966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3627.0,0.0,0.0,2965.0,0.0,0.0,0.0,0.0,0.0,0.0,8772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町吉浜,1.5096112229393868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484.0,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町中央四丁目,2.088544390145496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,0.0,0.0,887.0,0.0,0.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町中央五丁目,2.129631508394164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,427.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町中央三丁目,2.285068721576417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,0.0,0.0,296.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町中央二丁目,2.405119373877127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町中央一丁目,2.483481438823315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.0,0.0,0.0,0.0,835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町門川,2.6060233934824772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
