都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
三重県,津市,白塚町,,津市白塚町,24201,001001,4,679.0,津市,白塚町,津市白塚町,24201001001,13.0,8.0,17.0,16.0,28.0,25.0,21.0,29.0,25.0,38.0,29.0,64.0,88.0,92.0,62.0,48.0,42.0,23.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,7.0,6.0,5.0,5.0,3.0,1.0,0.0,0.0,45.0
三重県,津市,白塚町,,津市白塚町,24201,001002,4,233.0,津市,白塚町,津市白塚町,24201001002,10.0,13.0,15.0,12.0,11.0,7.0,12.0,17.0,12.0,15.0,21.0,14.0,15.0,12.0,16.0,19.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,13.0
三重県,津市,白塚町,,津市白塚町,24201,001003,4,253.0,津市,白塚町,津市白塚町,24201001003,5.0,17.0,19.0,17.0,8.0,7.0,11.0,10.0,20.0,16.0,17.0,15.0,21.0,13.0,26.0,13.0,14.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0
三重県,津市,白塚町,,津市白塚町,24201,001004,4,6473.0,津市,白塚町,津市白塚町,24201001004,177.0,177.0,216.0,270.0,396.0,345.0,321.0,299.0,401.0,501.0,453.0,425.0,419.0,458.0,443.0,419.0,308.0,173.0,63.0,12.0,0.0,7.0,9.0,8.0,7.0,9.0,10.0,10.0,10.0,14.0,20.0,20.0,24.0,26.0,37.0,42.0,47.0,37.0,20.0,6.0,1.0,0.0,364.0
三重県,津市,栗真小川町,,津市栗真小川町,24201,002001,4,265.0,津市,栗真小川町,津市栗真小川町,24201002001,6.0,7.0,11.0,6.0,11.0,6.0,7.0,5.0,14.0,18.0,28.0,17.0,8.0,12.0,25.0,31.0,31.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,16.0
三重県,津市,栗真小川町,,津市栗真小川町,24201,002002,4,609.0,津市,栗真小川町,津市栗真小川町,24201002002,29.0,34.0,28.0,24.0,19.0,15.0,21.0,45.0,38.0,56.0,32.0,30.0,31.0,51.0,54.0,42.0,26.0,23.0,6.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,1.0,0.0,0.0,37.0
三重県,津市,一身田町,,津市一身田町,24201,005001,4,1222.0,津市,一身田町,津市一身田町,24201005001,28.0,31.0,41.0,51.0,46.0,50.0,46.0,46.0,71.0,83.0,69.0,77.0,75.0,65.0,90.0,77.0,105.0,81.0,50.0,19.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,8.0,9.0,13.0,9.0,5.0,2.0,1.0,80.0
三重県,津市,一身田町,,津市一身田町,24201,005002,4,220.0,津市,一身田町,津市一身田町,24201005002,9.0,7.0,9.0,9.0,10.0,5.0,13.0,8.0,7.0,17.0,13.0,24.0,8.0,12.0,10.0,18.0,21.0,11.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,13.0
三重県,津市,一身田町,,津市一身田町,24201,005003,4,464.0,津市,一身田町,津市一身田町,24201005003,8.0,13.0,23.0,22.0,29.0,13.0,7.0,21.0,21.0,37.0,34.0,26.0,14.0,38.0,48.0,53.0,36.0,15.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,4.0,2.0,1.0,0.0,0.0,31.0
三重県,津市,一身田豊野,,津市一身田豊野,24201,008001,4,1433.0,津市,一身田豊野,津市一身田豊野,24201008001,48.0,59.0,49.0,83.0,61.0,25.0,40.0,41.0,81.0,144.0,102.0,60.0,66.0,83.0,157.0,173.0,96.0,53.0,9.0,3.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,3.0,4.0,7.0,15.0,19.0,12.0,6.0,1.0,0.0,0.0,93.0
