town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,町立南伊勢病院,おかむらクリニック,医療法人(社団)医心会齋木内科,三重県立志摩病院,近藤医院,関岡クリニック,別當クリニック,宿田曽診療所,志摩市休日夜間応急診療所,豊和病院,林クリニック,服部内科,志摩市立国民健康保険浜島診療所,在宅・総合診療スマイルクリニック,池田ファミリークリニック,医療法人日比クリニック,伊勢志摩腎クリニック志摩分院,おかむね医院,西岡記念セントラルクリニック,医療法人社団中瀬外科整形外科,尾崎内科
志摩市浜島町浜島,志摩市,浜島町浜島,24215008000,0.7218308477750388,136.7502748941288,34.30466144061477,1330.0,1883.0,816.0,1440.0,889.0,285.0,1955.0,92.0,104.0,437.0,840.0,49.0,3172.0,2164.0,0.0,60.0,0.0,0.0,0.0,110.0,0.0
志摩市浜島町南張,志摩市,浜島町南張,24215009000,2.5098411794399684,136.72729041814512,34.312084176705554,0.0,60.0,64.0,0.0,61.0,0.0,1140.0,0.0,63.0,0.0,137.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町塩屋,志摩市,浜島町塩屋,24215011000,3.094979266670913,136.7653420545131,34.322565551731465,59.0,127.0,118.0,0.0,61.0,211.0,0.0,0.0,0.0,0.0,49.0,0.0,24.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町田曽浦,南伊勢町,田曽浦,24472014000,3.2073316890432655,136.71454553435407,34.293125019247576,1788.0,76.0,350.0,905.0,486.0,0.0,2877.0,2397.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町檜山路,志摩市,浜島町檜山路,24215010000,3.265606310942989,136.754136504901,34.327318019137536,133.0,87.0,0.0,0.0,0.0,24.0,34.0,0.0,451.0,0.0,93.0,0.0,26.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町迫子,志摩市,浜島町迫子,24215013000,3.7333207124611447,136.78919886962564,34.3026266735776,18.0,53.0,73.0,0.0,40.0,73.0,0.0,0.0,0.0,0.0,18.0,151.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町下津浦,南伊勢町,下津浦,24472018000,3.8502462418297663,136.73500253693447,34.33093807749971,1074.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町迫子,志摩市,浜島町迫子,24215012000,4.405806479378774,136.77846823995802,34.32947067557295,77.0,0.0,382.0,269.0,127.0,0.0,60.0,0.0,0.0,0.0,30.0,0.0,0.0,82.0,0.0,247.0,28.0,0.0,0.0,82.0,0.0
志摩市阿児町鵜方,志摩市,阿児町鵜方,24215001000,4.902813194860711,136.80056209367032,34.309354255693414,849.0,4674.0,4903.0,3800.0,4692.0,196.0,95.0,0.0,2351.0,2269.0,2233.0,1187.0,47.0,313.0,2086.0,513.0,1273.0,91.0,0.0,235.0,0.0
南伊勢町泉,南伊勢町,泉,24472016000,5.238239171064083,136.7167763993676,34.337196692340214,545.0,0.0,49.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
