town_name_show,dist_km,町立南伊勢病院,おかむらクリニック,医療法人(社団)医心会齋木内科,三重県立志摩病院,近藤医院,関岡クリニック,別當クリニック,宿田曽診療所,志摩市休日夜間応急診療所,豊和病院,林クリニック,服部内科,志摩市立国民健康保険浜島診療所,在宅・総合診療スマイルクリニック,池田ファミリークリニック,医療法人日比クリニック,伊勢志摩腎クリニック志摩分院,おかむね医院,西岡記念セントラルクリニック,医療法人社団中瀬外科整形外科,尾崎内科
志摩市浜島町浜島,0.7218308477750388,0.0,0.0,0.0,0.0,0.0,0.0,1955.0,0.0,0.0,0.0,0.0,0.0,3172.0,2164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町南張,2.5098411794399684,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.0,0.0,0.0,137.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町塩屋,3.094979266670913,0.0,127.0,118.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町田曽浦,3.2073316890432655,1788.0,0.0,0.0,0.0,0.0,0.0,2877.0,2397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町檜山路,3.265606310942989,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町迫子,3.7333207124611447,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町下津浦,3.8502462418297663,1074.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市浜島町迫子,4.405806479378774,0.0,0.0,382.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0
志摩市阿児町鵜方,4.902813194860711,0.0,4674.0,4903.0,0.0,4692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町泉,5.238239171064083,545.0,0.0,49.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
