town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,小林内科クリニック,鳥羽市休日・夜間応急診療所,赤坂クリニック,中村クリニック,医療法人(社団)医心会齋木内科,おかむらクリニック,三重県立志摩病院,医療法人山﨑整形外科,近藤医院,でぐち内科クリニック,志摩市休日夜間応急診療所,服部内科,豊和病院,林クリニック,二見浦内科 アレルギー科・皮フ科・小児科,池田ファミリークリニック,医療法人日比クリニック,鳥羽市立長岡診療所,伊勢志摩腎クリニック志摩分院,おかむね医院,西岡記念セントラルクリニック,医療法人社団中瀬外科整形外科,近藤内科,鳥羽市立鏡浦診療所今浦分室,鳥羽市立鏡浦診療所,尾崎内科,鳥羽市立鏡浦診療所石鏡分室,谷岡医院
鳥羽市相差町,鳥羽市,相差町,24211021000,0.8019314893752836,136.90198522021393,34.39680600588377,1481.0,0.0,0.0,399.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市畔蛸町,鳥羽市,畔蛸町,24211023000,1.4605742125114496,136.8879524037416,34.395288157004444,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市千賀町,鳥羽市,千賀町,24211024000,2.293721938589762,136.877789990969,34.393654670723095,87.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市堅子町,鳥羽市,堅子町,24211025000,2.90821685983189,136.87063345593577,34.390694098018606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市国崎町,鳥羽市,国崎町,24211022000,3.382967421243859,136.91354403054473,34.41857339839848,234.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町的矢,志摩市,磯部町的矢,24215038000,3.84705728847043,136.86361203929127,34.376273122160924,503.0,0.0,0.0,0.0,0.0,154.0,234.0,141.0,0.0,0.0,108.0,0.0,108.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
志摩市磯部町三ケ所,志摩市,磯部町三ケ所,24215039000,5.436917392432701,136.85888790441206,34.35632893360098,127.0,0.0,0.0,0.0,115.0,191.0,75.0,156.0,75.0,0.0,104.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町山田,志摩市,磯部町山田,24215025000,5.622997245289572,136.84102842968224,34.39044385354885,785.0,0.0,0.0,135.0,91.0,0.0,310.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,60.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市松尾町,鳥羽市,松尾町,24211019000,5.709262771901115,136.85078775971044,34.41840711257437,5841.0,828.0,1534.0,819.0,39.0,0.0,78.0,1196.0,0.0,40.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
鳥羽市石鏡町,鳥羽市,石鏡町,24211026000,5.796278847331547,136.91793853616494,34.44010403472151,3225.0,54.0,434.0,298.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
