facility,total_patients,top3_frequency
小林内科クリニック,105051.0,50
鳥羽市休日・夜間応急診療所,23970.0,20
赤坂クリニック,11972.0,13
中村クリニック,11969.0,12
医療法人(社団)医心会齋木内科,11236.0,9
おかむらクリニック,11220.0,10
三重県立志摩病院,10798.0,6
医療法人山﨑整形外科,8936.0,6
近藤医院,7873.0,3
でぐち内科クリニック,5818.0,8
志摩市休日夜間応急診療所,4626.0,2
服部内科,4149.0,3
豊和病院,3970.0,0
林クリニック,3180.0,1
二見浦内科 アレルギー科・皮フ科・小児科,2974.0,5
池田ファミリークリニック,2838.0,0
医療法人日比クリニック,2764.0,3
鳥羽市立長岡診療所,2048.0,1
伊勢志摩腎クリニック志摩分院,1909.0,0
おかむね医院,1591.0,4
西岡記念セントラルクリニック,1418.0,3
医療法人社団中瀬外科整形外科,705.0,0
近藤内科,488.0,0
鳥羽市立鏡浦診療所今浦分室,202.0,0
鳥羽市立鏡浦診療所,201.0,0
尾崎内科,55.0,0
鳥羽市立鏡浦診療所石鏡分室,51.0,0
谷岡医院,31.0,0
