rank,施設名,利用者数合計,対象施設フラグ
1,小林内科クリニック,105051.0,0
2,鳥羽市休日・夜間応急診療所,23970.0,0
3,赤坂クリニック,11972.0,0
4,中村クリニック,11969.0,0
5,医療法人(社団)医心会齋木内科,11236.0,0
6,おかむらクリニック,11220.0,0
7,三重県立志摩病院,10798.0,0
8,医療法人山﨑整形外科,8936.0,0
9,近藤医院,7873.0,0
10,でぐち内科クリニック,5818.0,0
11,志摩市休日夜間応急診療所,4626.0,0
12,服部内科,4149.0,0
13,豊和病院,3970.0,0
14,林クリニック,3180.0,0
15,二見浦内科 アレルギー科・皮フ科・小児科,2974.0,0
16,池田ファミリークリニック,2838.0,0
17,医療法人日比クリニック,2764.0,0
18,鳥羽市立長岡診療所,2048.0,1
19,伊勢志摩腎クリニック志摩分院,1909.0,0
20,おかむね医院,1591.0,0
21,西岡記念セントラルクリニック,1418.0,0
22,医療法人社団中瀬外科整形外科,705.0,0
23,近藤内科,488.0,0
24,鳥羽市立鏡浦診療所今浦分室,202.0,0
25,鳥羽市立鏡浦診療所,201.0,0
26,尾崎内科,55.0,0
27,鳥羽市立鏡浦診療所石鏡分室,51.0,0
28,谷岡医院,31.0,0
