town_name_show,dist_km,小林内科クリニック,鳥羽市休日・夜間応急診療所,赤坂クリニック,中村クリニック,医療法人(社団)医心会齋木内科,おかむらクリニック,三重県立志摩病院,医療法人山﨑整形外科,近藤医院,でぐち内科クリニック
鳥羽市相差町,0.8019314893752836,1481.0,0.0,0.0,399.0,0.0,0.0,0.0,201.0,0.0,0.0
鳥羽市畔蛸町,1.4605742125114496,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市千賀町,2.293721938589762,87.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0
鳥羽市堅子町,2.90821685983189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市国崎町,3.382967421243859,234.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町的矢,3.84705728847043,503.0,0.0,0.0,0.0,0.0,154.0,234.0,141.0,0.0,0.0
志摩市磯部町三ケ所,5.436917392432701,127.0,0.0,0.0,0.0,115.0,191.0,75.0,156.0,75.0,0.0
志摩市磯部町山田,5.622997245289572,785.0,0.0,0.0,135.0,91.0,0.0,310.0,328.0,0.0,0.0
鳥羽市松尾町,5.709262771901115,5841.0,828.0,1534.0,819.0,39.0,0.0,78.0,1196.0,0.0,40.0
鳥羽市石鏡町,5.796278847331547,3225.0,54.0,434.0,298.0,0.0,0.0,0.0,64.0,0.0,0.0
志摩市阿児町国府,6.347662578447596,629.0,0.0,0.0,99.0,462.0,918.0,1106.0,52.0,381.0,0.0
志摩市磯部町飯浜,6.772235867179924,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0
鳥羽市浦村町,7.066660615778768,4140.0,878.0,716.0,214.0,0.0,0.0,0.0,514.0,0.0,0.0
志摩市磯部町坂崎,7.222916675393073,0.0,0.0,0.0,0.0,56.0,246.0,135.0,0.0,39.0,0.0
鳥羽市岩倉町,7.588141878844432,3561.0,1316.0,917.0,76.0,0.0,0.0,0.0,467.0,0.0,0.0
志摩市磯部町沓掛,7.864284030744305,287.0,37.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
志摩市磯部町下之郷,8.048019555009118,754.0,0.0,36.0,40.0,368.0,51.0,144.0,0.0,315.0,0.0
志摩市阿児町甲賀,8.255603339542393,1077.0,0.0,0.0,114.0,851.0,1451.0,692.0,96.0,252.0,0.0
鳥羽市白木町,8.264405869632947,1529.0,110.0,75.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
志摩市磯部町上之郷,8.370957444770196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市若杉町,8.923469703291495,576.0,73.0,54.0,610.0,0.0,0.0,0.0,237.0,0.0,0.0
鳥羽市高丘町,9.091729791207074,4557.0,1725.0,652.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市安楽島町,9.160060121266588,20508.0,8102.0,3064.0,2092.0,185.0,0.0,187.0,827.0,45.0,186.0
志摩市磯部町迫間,9.219403710697057,339.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,41.0,0.0
鳥羽市幸丘,9.247983233161598,1303.0,203.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町五知,9.691880964201214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町穴川,9.887167832145524,531.0,0.0,0.0,0.0,429.0,95.0,248.0,0.0,304.0,0.0
鳥羽市大明東町,9.958074970600345,3496.0,977.0,130.0,130.0,0.0,0.0,0.0,81.0,0.0,0.0
鳥羽市大明西町,10.035571614952781,3056.0,526.0,522.0,507.0,0.0,0.0,0.0,464.0,0.0,0.0
