都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
奈良県,奈良市,青山,一丁目,奈良市青山一丁目,29201,040001,4,586.0,奈良市,青山一丁目,奈良市青山一丁目,29201040001,11.0,13.0,15.0,14.0,24.0,22.0,18.0,16.0,27.0,36.0,41.0,57.0,67.0,51.0,73.0,46.0,28.0,15.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,7.0,5.0,3.0,2.0,1.0,0.0,0.0,39.0
奈良県,奈良市,青山,二丁目,奈良市青山二丁目,29201,040002,4,371.0,奈良市,青山二丁目,奈良市青山二丁目,29201040002,1.0,9.0,8.0,9.0,9.0,17.0,14.0,11.0,17.0,23.0,13.0,36.0,35.0,63.0,52.0,21.0,19.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,22.0
奈良県,奈良市,青山,三丁目,奈良市青山三丁目,29201,040003,4,487.0,奈良市,青山三丁目,奈良市青山三丁目,29201040003,15.0,14.0,11.0,21.0,25.0,22.0,18.0,23.0,29.0,44.0,41.0,33.0,29.0,30.0,56.0,39.0,21.0,7.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,31.0
奈良県,奈良市,青山,四丁目,奈良市青山四丁目,29201,040004,4,342.0,奈良市,青山四丁目,奈良市青山四丁目,29201040004,4.0,7.0,11.0,20.0,26.0,15.0,4.0,11.0,11.0,15.0,34.0,38.0,25.0,36.0,37.0,25.0,11.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,19.0
奈良県,奈良市,青山,五丁目,奈良市青山五丁目,29201,040005,4,336.0,奈良市,青山五丁目,奈良市青山五丁目,29201040005,1.0,6.0,8.0,21.0,19.0,10.0,9.0,8.0,9.0,25.0,30.0,31.0,39.0,33.0,45.0,23.0,7.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,19.0
奈良県,奈良市,青山,六丁目,奈良市青山六丁目,29201,040006,4,428.0,奈良市,青山六丁目,奈良市青山六丁目,29201040006,5.0,5.0,8.0,16.0,11.0,17.0,20.0,17.0,22.0,20.0,13.0,24.0,33.0,61.0,79.0,34.0,23.0,11.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,29.0
奈良県,奈良市,青山,七丁目,奈良市青山七丁目,29201,040007,4,603.0,奈良市,青山七丁目,奈良市青山七丁目,29201040007,6.0,9.0,11.0,11.0,12.0,11.0,10.0,22.0,28.0,27.0,28.0,31.0,41.0,87.0,120.0,74.0,43.0,20.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,11.0,8.0,5.0,2.0,1.0,0.0,0.0,43.0
奈良県,奈良市,青山,八丁目,奈良市青山八丁目,29201,040008,4,616.0,奈良市,青山八丁目,奈良市青山八丁目,29201040008,5.0,10.0,10.0,14.0,21.0,18.0,12.0,21.0,22.0,30.0,35.0,50.0,49.0,81.0,108.0,69.0,35.0,17.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,7.0,10.0,8.0,4.0,2.0,1.0,0.0,0.0,45.0
奈良県,奈良市,青山,九丁目,奈良市青山九丁目,29201,040009,4,0.0,奈良市,青山九丁目,奈良市青山九丁目,29201040009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良県,奈良市,佐保台,一丁目,奈良市佐保台一丁目,29201,049001,4,434.0,奈良市,佐保台一丁目,奈良市佐保台一丁目,29201049001,91.0,48.0,29.0,11.0,8.0,15.0,54.0,77.0,36.0,21.0,18.0,9.0,2.0,7.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
奈良県,奈良市,佐保台,二丁目,奈良市佐保台二丁目,29201,049002,4,1045.0,奈良市,佐保台二丁目,奈良市佐保台二丁目,29201049002,12.0,22.0,19.0,32.0,28.0,26.0,35.0,45.0,41.0,66.0,54.0,66.0,102.0,130.0,153.0,99.0,63.0,28.0,12.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,6.0,11.0,14.0,11.0,8.0,3.0,1.0,1.0,0.0,73.0
