town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,奈良県立医科大学附属病院30,大和高田市立病院30,平成記念病院30,南和広域医療企業団 南奈良総合医療センター30,酢谷内科30,ましたに内科クリニック30,医療法人山村クリニック30,武田内科医院30,医療法人田中医院30,よもぎクリニック30,神宮前こころのクリニック30,上田医院30_2,医療法人友愛会 しらかしクリニック30,医療法人 松谷医院30,井上クリニック30,社会医療法人健生会土庫病院30,奈良県医療福祉生活協同組合 みみなし診療所30,医療法人 橿原友紘会 大和橿原病院30,橿原神宮前すぎもと内科クリニック30,中谷医院30,医療法人社団憲仁会中井記念病院30,徳岡クリニック30,もりたクリニック30,医療法人植松クリニック 八木植松クリニック30,まつおかクリニック30,医療法人一路会錦織病院30,医療法人ひのうえ会ひがみリウマチ・糖尿病内科クリニック30,Rこころのクリニック30,明日香村国民健康保険診療所30,はしもと婦人科クリニック30,さくらクリニック30,医療法人中島医院30,医療法人 さくら会 うねび内科クリニック30,医療法人友愛会 かつらぎクリニック30,辻本内科医院30,一般社団法人 葛城メディカルセンター30,医療法人友愛会沢田医院30,医療法人翠悠会高田診療所30,医療法人芳隆会八嶌医院30,橿原市休日夜間応急診療所30,南和広域医療企業団 吉野病院30,医療法人黄クリニック30,医療法人新和会 岡本内科こどもクリニック30,社会福祉法人綜合施設 美吉野園診療所30,医療法人下河辺医院30,奈良こころとからだのクリニック30,よしだクリニック30,水野医院30,医療法人髙宮会 髙宮病院30,ますだ診療所30,笠原内科医院30,医療法人たなせ医院30,医療法人 きむクリニック30,クリニック神宮前30,南和病院30,あさくらクリニック30,医療法人 竹川内科クリニック30,松本クリニック30,医療法人康成会藤原京クリニック30,橋本クリニック30
明日香村大字橘,明日香村,大字橘,29402028000,0.27017720430659553,135.81717562331403,34.46841964122682,124.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,28.0,0.0,64.0,0.0,26.0,0.0,56.0,0.0,92.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字立部,明日香村,大字立部,29402029000,0.29000057231136256,135.81396485846193,34.46535216937572,57.0,0.0,0.0,0.0,90.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字野口,明日香村,大字野口,29402030000,0.5271528912865836,135.80856931269014,34.46846782759514,75.0,0.0,30.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,0.0,0.0,197.0,16.0,0.0,153.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字川原,明日香村,大字川原,29402031000,0.6369144603994001,135.81333470382512,34.47362092355225,221.0,87.0,0.0,0.0,294.0,110.0,0.0,63.0,0.0,0.0,73.0,0.0,311.0,0.0,0.0,586.0,0.0,87.0,54.0,54.0,0.0,87.0,0.0,0.0,0.0,0.0,86.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字平田,明日香村,大字平田,29402008000,0.7616119437748139,135.8075747224392,34.463908514259714,1031.0,0.0,383.0,0.0,502.0,0.0,112.0,46.0,219.0,0.0,369.0,0.0,217.0,0.0,0.0,0.0,147.0,410.0,139.0,79.0,0.0,43.0,0.0,114.0,0.0,202.0,0.0,0.0,1518.0,50.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,44.0,0.0,100.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,253.0,0.0,90.0,49.0
明日香村大字祝戸,明日香村,大字祝戸,29402027000,0.9199422805333325,135.82365648276354,34.464989354322164,0.0,0.0,0.0,21.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市菖蒲町四丁目,橿原市,菖蒲町四丁目,29205082004,0.9908465277309588,135.8068419129922,34.47440851653261,1773.0,0.0,802.0,0.0,1062.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,58.0,0.0,0.0,514.0,830.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,226.0,0.0,1301.0,0.0,39.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字島庄,明日香村,大字島庄,29402016000,1.0163568090710728,135.82535434398972,34.46845476804802,324.0,25.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字岡,明日香村,大字岡,29402015000,1.1639477595650751,135.8252689188993,34.47319745623057,844.0,60.0,306.0,0.0,103.0,0.0,116.0,0.0,53.0,35.0,375.0,0.0,55.0,47.0,168.0,0.0,0.0,302.0,847.0,35.0,0.0,72.0,387.0,125.0,95.0,0.0,145.0,0.0,1352.0,0.0,102.0,310.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市五条野町,橿原市,五条野町,29205024000,1.2609226438690289,135.8021476836234,34.47328244013034,3957.0,276.0,1491.0,219.0,3274.0,73.0,405.0,673.0,29.0,172.0,2116.0,168.0,1219.0,96.0,479.0,77.0,249.0,1422.0,2657.0,33.0,68.0,78.0,137.0,211.0,170.0,283.0,242.0,0.0,647.0,135.0,224.0,517.0,464.0,0.0,34.0,113.0,0.0,62.0,267.0,605.0,102.0,0.0,365.0,110.0,0.0,214.0,0.0,0.0,189.0,31.0,909.0,77.0,0.0,70.0,102.0,179.0,36.0,0.0,147.0,121.0
明日香村大字豊浦,明日香村,大字豊浦,29402033000,1.3216681039152975,135.81215983515324,34.479703060455066,63.0,0.0,48.0,0.0,503.0,0.0,62.0,60.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,318.0,79.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市菖蒲町三丁目,橿原市,菖蒲町三丁目,29205082003,1.3430289276489098,135.80615250326068,34.47799346343558,1018.0,0.0,177.0,141.0,213.0,40.0,0.0,194.0,0.0,0.0,0.0,0.0,455.0,0.0,43.0,0.0,99.0,512.0,472.0,102.0,37.0,0.0,52.0,39.0,93.0,85.0,0.0,0.0,845.0,0.0,0.0,52.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,91.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,43.0
明日香村大字御園,明日香村,大字御園,29402001000,1.350146346700307,135.80143998070665,34.46200719088452,309.0,0.0,122.0,72.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,48.0,0.0,0.0,0.0,67.0,0.0,49.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字栗原,明日香村,大字栗原,29402007000,1.4588785263898143,135.81041754206478,34.455220198025856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0
明日香村大字飛鳥,明日香村,大字飛鳥,29402032000,1.4937490245452185,135.8210718321966,34.48015977591143,255.0,0.0,175.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,58.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
