facility,total_patients,top3_frequency
奈良県立医科大学附属病院30,48451.0,40
酢谷内科30,31378.0,16
医療法人友愛会 しらかしクリニック30,28067.0,11
橿原神宮前すぎもと内科クリニック30,19895.0,14
神宮前こころのクリニック30,19351.0,6
平成記念病院30,19324.0,12
医療法人 橿原友紘会 大和橿原病院30,18598.0,10
明日香村国民健康保険診療所30,16061.0,24
笠原内科医院30,13720.0,3
医療法人たなせ医院30,8564.0,2
医療法人 さくら会 うねび内科クリニック30,7705.0,2
橿原市休日夜間応急診療所30,5796.0,0
医療法人山村クリニック30,5287.0,2
武田内科医院30,4622.0,1
井上クリニック30,3983.0,2
医療法人中島医院30,3480.0,7
医療法人康成会藤原京クリニック30,3192.0,1
まつおかクリニック30,3148.0,0
よもぎクリニック30,3031.0,1
大和高田市立病院30,3015.0,1
医療法人一路会錦織病院30,3002.0,0
医療法人芳隆会八嶌医院30,2929.0,1
奈良県医療福祉生活協同組合 みみなし診療所30,2896.0,1
もりたクリニック30,2760.0,2
奈良こころとからだのクリニック30,2648.0,2
医療法人植松クリニック 八木植松クリニック30,2405.0,1
さくらクリニック30,2299.0,0
南和広域医療企業団 南奈良総合医療センター30,2247.0,0
医療法人ひのうえ会ひがみリウマチ・糖尿病内科クリニック30,1886.0,0
社会医療法人健生会土庫病院30,1626.0,3
ましたに内科クリニック30,1466.0,0
医療法人新和会 岡本内科こどもクリニック30,1463.0,0
クリニック神宮前30,1398.0,0
徳岡クリニック30,1288.0,0
医療法人 竹川内科クリニック30,1276.0,0
辻本内科医院30,1267.0,0
Rこころのクリニック30,1169.0,0
橋本クリニック30,1166.0,0
中谷医院30,1076.0,0
医療法人田中医院30,1046.0,0
上田医院30_2,977.0,0
はしもと婦人科クリニック30,909.0,0
医療法人社団憲仁会中井記念病院30,890.0,0
よしだクリニック30,799.0,0
南和広域医療企業団 吉野病院30,768.0,0
一般社団法人 葛城メディカルセンター30,730.0,0
南和病院30,571.0,0
医療法人翠悠会高田診療所30,558.0,0
医療法人 松谷医院30,546.0,0
社会福祉法人綜合施設 美吉野園診療所30,518.0,0
あさくらクリニック30,342.0,0
医療法人 きむクリニック30,280.0,0
水野医院30,256.0,0
医療法人髙宮会 髙宮病院30,248.0,0
医療法人下河辺医院30,235.0,0
医療法人黄クリニック30,199.0,0
医療法人友愛会 かつらぎクリニック30,140.0,0
医療法人友愛会沢田医院30,77.0,0
ますだ診療所30,31.0,0
松本クリニック30,0.0,0
