rank,施設名,利用者数合計,対象施設フラグ
1,奈良県立医科大学附属病院30,340948.0,0
2,大和高田市立病院30,133033.0,0
3,平成記念病院30,109348.0,0
4,南和広域医療企業団 南奈良総合医療センター30,79501.0,0
5,酢谷内科30,73460.0,0
6,ましたに内科クリニック30,72439.0,0
7,医療法人山村クリニック30,63817.0,0
8,武田内科医院30,54560.0,0
9,医療法人田中医院30,49388.0,0
10,よもぎクリニック30,45460.0,0
11,神宮前こころのクリニック30,45402.0,0
12,上田医院30_2,45373.0,0
13,医療法人友愛会 しらかしクリニック30,45004.0,0
14,医療法人 松谷医院30,43008.0,0
15,井上クリニック30,38828.0,0
16,社会医療法人健生会土庫病院30,38795.0,0
17,奈良県医療福祉生活協同組合 みみなし診療所30,37720.0,0
18,医療法人 橿原友紘会 大和橿原病院30,37468.0,0
19,橿原神宮前すぎもと内科クリニック30,34048.0,0
20,中谷医院30,31978.0,0
21,医療法人社団憲仁会中井記念病院30,29962.0,0
22,徳岡クリニック30,29691.0,0
23,もりたクリニック30,28725.0,0
24,医療法人植松クリニック 八木植松クリニック30,25993.0,0
25,まつおかクリニック30,25297.0,0
26,医療法人一路会錦織病院30,25180.0,0
27,医療法人ひのうえ会ひがみリウマチ・糖尿病内科クリニック30,25161.0,0
28,Rこころのクリニック30,24850.0,0
29,明日香村国民健康保険診療所30,22351.0,1
30,はしもと婦人科クリニック30,22324.0,0
31,さくらクリニック30,22036.0,0
32,医療法人中島医院30,21794.0,0
33,医療法人 さくら会 うねび内科クリニック30,21347.0,0
34,医療法人友愛会 かつらぎクリニック30,21218.0,0
35,辻本内科医院30,20166.0,0
36,一般社団法人 葛城メディカルセンター30,19708.0,0
37,医療法人友愛会沢田医院30,19653.0,0
38,医療法人翠悠会高田診療所30,19614.0,0
39,医療法人芳隆会八嶌医院30,19431.0,0
40,橿原市休日夜間応急診療所30,19385.0,0
41,南和広域医療企業団 吉野病院30,19364.0,0
42,医療法人黄クリニック30,19262.0,0
43,医療法人新和会 岡本内科こどもクリニック30,19075.0,0
44,社会福祉法人綜合施設 美吉野園診療所30,19013.0,0
45,医療法人下河辺医院30,18710.0,0
46,奈良こころとからだのクリニック30,18393.0,0
47,よしだクリニック30,17762.0,0
48,水野医院30,17671.0,0
49,医療法人髙宮会 髙宮病院30,16946.0,0
50,ますだ診療所30,16723.0,0
51,笠原内科医院30,16181.0,0
52,医療法人たなせ医院30,16023.0,0
53,医療法人 きむクリニック30,15504.0,0
54,クリニック神宮前30,14960.0,0
55,南和病院30,14763.0,0
56,あさくらクリニック30,14573.0,0
57,医療法人 竹川内科クリニック30,13792.0,0
58,松本クリニック30,13539.0,0
59,医療法人康成会藤原京クリニック30,13377.0,0
60,橋本クリニック30,13298.0,0
