town_name_show,dist_km,奈良県立医科大学附属病院30,酢谷内科30,医療法人友愛会 しらかしクリニック30,橿原神宮前すぎもと内科クリニック30,神宮前こころのクリニック30,平成記念病院30,医療法人 橿原友紘会 大和橿原病院30,明日香村国民健康保険診療所30,笠原内科医院30,医療法人たなせ医院30
明日香村大字橘,0.27017720430659553,124.0,0.0,64.0,92.0,28.0,0.0,0.0,692.0,0.0,0.0
明日香村大字立部,0.29000057231136256,57.0,90.0,0.0,0.0,0.0,0.0,25.0,298.0,23.0,0.0
明日香村大字野口,0.5271528912865836,75.0,17.0,36.0,153.0,0.0,30.0,0.0,101.0,0.0,0.0
明日香村大字川原,0.6369144603994001,221.0,294.0,311.0,54.0,73.0,0.0,87.0,326.0,108.0,0.0
明日香村大字平田,0.7616119437748139,1031.0,502.0,217.0,139.0,369.0,383.0,410.0,1518.0,0.0,0.0
明日香村大字祝戸,0.9199422805333325,0.0,0.0,0.0,145.0,0.0,0.0,21.0,159.0,0.0,0.0
橿原市菖蒲町四丁目,0.9908465277309588,1773.0,1062.0,0.0,830.0,430.0,802.0,514.0,1301.0,48.0,0.0
明日香村大字島庄,1.0163568090710728,324.0,0.0,0.0,0.0,37.0,87.0,0.0,178.0,0.0,0.0
明日香村大字岡,1.1639477595650751,844.0,103.0,55.0,847.0,375.0,306.0,302.0,1352.0,0.0,0.0
橿原市五条野町,1.2609226438690289,3957.0,3274.0,1219.0,2657.0,2116.0,1491.0,1422.0,647.0,909.0,77.0
明日香村大字豊浦,1.3216681039152975,63.0,503.0,0.0,318.0,146.0,48.0,79.0,63.0,0.0,0.0
橿原市菖蒲町三丁目,1.3430289276489098,1018.0,213.0,455.0,472.0,0.0,177.0,512.0,845.0,200.0,205.0
明日香村大字御園,1.350146346700307,309.0,46.0,83.0,0.0,0.0,122.0,0.0,48.0,0.0,0.0
明日香村大字栗原,1.4588785263898143,0.0,0.0,0.0,0.0,369.0,0.0,0.0,270.0,0.0,0.0
明日香村大字飛鳥,1.4937490245452185,255.0,0.0,0.0,0.0,0.0,175.0,0.0,153.0,0.0,0.0
明日香村大字阪田,1.6339416580007642,147.0,0.0,0.0,42.0,0.0,0.0,0.0,188.0,0.0,0.0
橿原市菖蒲町一丁目,1.6392718648151385,1553.0,510.0,200.0,1268.0,39.0,602.0,891.0,363.0,0.0,0.0
明日香村大字檜前,1.640375545903391,1576.0,73.0,934.0,118.0,198.0,624.0,949.0,909.0,68.0,0.0
橿原市菖蒲町二丁目,1.6473303191511641,1561.0,434.0,0.0,220.0,93.0,256.0,244.0,390.0,0.0,0.0
明日香村大字越,1.7107058151819694,554.0,291.0,337.0,183.0,0.0,0.0,151.0,96.0,0.0,0.0
明日香村大字上居,1.719112425402728,0.0,0.0,0.0,65.0,0.0,38.0,0.0,282.0,0.0,0.0
橿原市白橿町七丁目,1.7560363160534826,370.0,910.0,872.0,78.0,444.0,66.0,226.0,0.0,392.0,139.0
明日香村大字東山,1.7573981105102432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字小原,1.8177165204561136,37.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
橿原市大軽町,1.8536561545354013,849.0,807.0,0.0,446.0,525.0,371.0,703.0,0.0,39.0,35.0
明日香村大字八釣,1.8540949858589113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字稲渕,1.860335906172788,46.0,42.0,41.0,126.0,94.0,0.0,65.0,316.0,0.0,0.0
橿原市和田町,1.860872616024325,395.0,299.0,0.0,547.0,58.0,343.0,497.0,0.0,0.0,132.0
明日香村大字雷,1.9800813526967755,115.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市和田町,2.0198819856784245,14.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
橿原市白橿町八丁目,2.078407799297181,878.0,825.0,943.0,31.0,414.0,666.0,273.0,0.0,1442.0,388.0
橿原市白橿町六丁目,2.0810534174659714,653.0,571.0,1095.0,627.0,224.0,360.0,479.0,56.0,1173.0,145.0
明日香村大字奥山,2.1356374960114333,377.0,0.0,91.0,463.0,39.0,175.0,0.0,273.0,0.0,0.0
明日香村大字大根田,2.137002123784685,27.0,0.0,496.0,0.0,0.0,27.0,33.0,186.0,0.0,0.0
橿原市石川町,2.155518104278957,2622.0,1792.0,520.0,1747.0,660.0,1264.0,1932.0,347.0,0.0,73.0
