facility,total_patients,top3_frequency
医療法人岡谷会高畑診療所32,3982.0,21
はしもと内科32,3503.0,17
塩田医院32,2762.0,15
医療法人 西脇クリニック32,2598.0,4
しらい内科医院32,2341.0,5
医療法人 つかもと整形外科32,2198.0,4
たけもとクリニック32,2034.0,9
市立奈良病院32,1521.0,7
医療法人博愛会松倉病院(社団)32,1363.0,8
医療法人 祥風会 奈良みどりクリニック32,1294.0,6
石崎内科天満診療所32,1189.0,6
一般財団法人沢井病院32,880.0,4
東谷医院32,857.0,3
甲斐 内科 消化器内科 クリニック32,793.0,1
つくだクリニック32,725.0,3
かづきクリニック32,679.0,0
医療法人坂口医院32,675.0,2
奈良やよいクリニック32,650.0,2
寺崎クリニック32,633.0,1
佐野内科医院32,622.0,4
吉富クリニック32,618.0,2
おうとくクリニック32,592.0,1
医療法人うえしげクリニック32,569.0,3
なかがわメディカル32,546.0,2
三条通り整形外科32,493.0,1
岩井内科クリニック32,456.0,2
内科神経科精神科水原診療所32,319.0,0
やまがた内科医院32,303.0,1
医療法人岡谷会新大宮診療所32,294.0,2
斉藤医院32,279.0,0
あそだ内科クリニック32,279.0,1
医療法人前田医院32,260.0,0
村嶋小児科医院32,241.0,0
奈良市立興東診療所32,238.0,1
医療法人竹村内科医院32,221.0,0
金田内科医院32,209.0,0
金田内科クリニック32,206.0,0
クリニック 青い鳥32,200.0,0
森田医院32,198.0,2
医療法人岡谷会おかたに病院32,190.0,1
西村クリニック32,186.0,2
近鉄奈良駅前クリニック32,182.0,0
高木医院32,177.0,0
医療法人岡谷会 さくら診療所32,156.0,0
わかくさ会診療所32,142.0,1
しき地診療所32,123.0,1
医療法人吉本医院32,120.0,1
藤原クリニック32,113.0,0
飯田医院32,104.0,1
奥医院32,98.0,0
医療法人 須基内科医院32,91.0,0
医療法人 中井医院32,91.0,0
医療法人まえだ医院32,56.0,0
医療法人塩谷内科診療所32,55.0,0
清水内科医院32,51.0,0
なら内視鏡クリニック32,46.0,0
大和診療所32,15.0,0
植山医院32,0.0,0
医療法人坪村診療所32,0.0,0
なかがわ呼吸器科アレルギー科医院32,0.0,0
