rank,施設名,利用者数合計,対象施設フラグ
1,はしもと内科32,35499.0,0
2,甲斐 内科 消化器内科 クリニック32,24371.0,0
3,内科神経科精神科水原診療所32,21199.0,0
4,クリニック 青い鳥32,18021.0,0
5,おうとくクリニック32,16316.0,0
6,つくだクリニック32,15491.0,0
7,村嶋小児科医院32,14364.0,0
8,岩井内科クリニック32,13636.0,0
9,医療法人 祥風会 奈良みどりクリニック32,13494.0,0
10,佐野内科医院32,12666.0,0
11,医療法人 つかもと整形外科32,11520.0,0
12,市立奈良病院32,10435.0,0
13,寺崎クリニック32,10236.0,0
14,医療法人博愛会松倉病院(社団)32,9900.0,0
15,東谷医院32,9584.0,0
16,一般財団法人沢井病院32,9216.0,0
17,医療法人岡谷会高畑診療所32,8834.0,0
18,医療法人 中井医院32,8831.0,0
19,医療法人 西脇クリニック32,8585.0,0
20,吉富クリニック32,8466.0,0
21,奈良やよいクリニック32,7921.0,0
22,石崎内科天満診療所32,7734.0,0
23,なかがわ呼吸器科アレルギー科医院32,7121.0,0
24,たけもとクリニック32,7092.0,0
25,あそだ内科クリニック32,6988.0,0
26,医療法人うえしげクリニック32,6955.0,0
27,医療法人前田医院32,6799.0,0
28,医療法人竹村内科医院32,6041.0,0
29,かづきクリニック32,5805.0,0
30,医療法人塩谷内科診療所32,5643.0,0
31,医療法人坂口医院32,5453.0,0
32,三条通り整形外科32,5075.0,0
33,西村クリニック32,4938.0,0
34,奥医院32,4916.0,0
35,なら内視鏡クリニック32,4907.0,0
36,金田内科医院32,4715.0,0
37,医療法人岡谷会おかたに病院32,4613.0,0
38,植山医院32,4541.0,0
39,森田医院32,4494.0,0
40,高木医院32,4432.0,0
41,医療法人岡谷会 さくら診療所32,4071.0,0
42,医療法人吉本医院32,3964.0,0
43,医療法人 須基内科医院32,3889.0,0
44,しき地診療所32,3695.0,0
45,医療法人坪村診療所32,3566.0,0
46,しらい内科医院32,3500.0,0
47,大和診療所32,3302.0,0
48,わかくさ会診療所32,3249.0,0
49,なかがわメディカル32,3198.0,0
50,藤原クリニック32,3192.0,0
51,医療法人岡谷会新大宮診療所32,3091.0,0
52,塩田医院32,3026.0,0
53,金田内科クリニック32,2961.0,0
54,医療法人まえだ医院32,2914.0,0
55,斉藤医院32,2726.0,0
56,やまがた内科医院32,2647.0,0
57,飯田医院32,2603.0,0
58,清水内科医院32,2596.0,0
59,近鉄奈良駅前クリニック32,2385.0,0
60,奈良市立興東診療所32,238.0,1
