town_name_show,dist_km,医療法人岡谷会高畑診療所32,はしもと内科32,塩田医院32,医療法人 西脇クリニック32,しらい内科医院32,医療法人 つかもと整形外科32,たけもとクリニック32,市立奈良病院32,医療法人博愛会松倉病院(社団)32,医療法人 祥風会 奈良みどりクリニック32
奈良市須川町,1.10275072191114,0.0,57.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0
奈良市狭川東町,1.2183049949022524,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
奈良市大柳生町,1.5475209653116344,0.0,168.0,0.0,0.0,0.0,0.0,225.0,55.0,0.0,0.0
奈良市阪原町,1.707714248247282,35.0,0.0,164.0,0.0,0.0,355.0,40.0,0.0,43.0,0.0
奈良市狭川両町,1.8151390721222598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市北村町,2.039525018263748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市西狭川町,2.3786034772649467,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
奈良市南庄町,2.479786737894307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市忍辱山町,2.5132717796765416,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0
奈良市下狭川町,2.5181684851822146,0.0,204.0,0.0,0.0,0.0,729.0,53.0,0.0,0.0,0.0
奈良市園田町,2.731632591939625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市大保町,3.023483855482345,40.0,0.0,218.0,13.0,0.0,0.0,30.0,31.0,21.0,0.0
奈良市柳生町,3.165827921517349,0.0,0.0,0.0,0.0,0.0,19.0,61.0,0.0,85.0,0.0
奈良市平清水町,3.1829811345321852,0.0,41.0,0.0,0.0,0.0,0.0,16.0,69.0,23.0,0.0
奈良市法用町,3.5389233553196737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市柳生下町,3.6903726760014224,0.0,37.0,0.0,0.0,0.0,43.0,68.0,0.0,150.0,0.0
奈良市大平尾町,3.7834271699708775,29.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
奈良市大慈仙町,3.863013839118844,0.0,16.0,29.0,0.0,0.0,0.0,83.0,0.0,0.0,12.0
奈良市東鳴川町,4.003557151708193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
奈良市広岡町,4.0159592604653405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市生琉里町,4.285939076318203,0.0,0.0,0.0,0.0,0.0,0.0,76.0,30.0,0.0,0.0
奈良市丹生町,4.422689784827062,124.0,0.0,18.0,0.0,0.0,0.0,0.0,108.0,0.0,114.0
奈良市誓多林町,4.511516704024733,36.0,17.0,127.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
奈良市興ヶ原町,4.639430271743116,46.0,84.0,0.0,0.0,0.0,0.0,17.0,49.0,0.0,0.0
奈良市邑地町,4.7396399584285716,63.0,84.0,0.0,24.0,0.0,0.0,25.0,17.0,17.0,23.0
奈良市沓掛町,5.094916180203379,70.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市北野山町,5.192983646539965,58.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字室津,5.233443026420202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市此瀬町,5.3026565587513135,61.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
奈良市水間町,5.329250873808239,16.0,36.0,47.0,0.0,0.0,49.0,0.0,40.0,76.0,0.0
奈良市日笠町,5.643317724585447,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市中ノ川町,5.696365718022637,0.0,51.0,0.0,0.0,0.0,0.0,42.0,16.0,17.0,40.0
山添村大字桐山,5.858232119987783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字松尾,5.8930565883487676,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市須山町,6.084235361462093,98.0,17.0,47.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
奈良市大野町,6.196265125640417,49.0,25.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,49.0
奈良市和田町,6.398696279011443,69.0,36.0,172.0,0.0,0.0,0.0,0.0,16.0,13.0,30.0
奈良市横田町,6.510348861537205,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
奈良市中貫町,6.576895516180619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市中之庄町,6.855414569578744,171.0,35.0,159.0,0.0,0.0,0.0,0.0,72.0,32.0,32.0
