town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,はしもと内科,甲斐 内科 消化器内科 クリニック,内科神経科精神科水原診療所,奈良みあとクリニック,おうとくクリニック,クリニック 青い鳥,医療法人 祥風会 奈良みどりクリニック,岩井内科クリニック,村嶋小児科医院,佐野内科医院,医療法人 つかもと整形外科,東谷医院,市立奈良病院,寺崎クリニック,医療法人博愛会松倉病院(社団),医療法人岡谷会高畑診療所,吉富クリニック,しらやま医院,奈良やよいクリニック,医療法人 中井医院,医療法人うえしげクリニック,石崎内科天満診療所,医療法人 西脇クリニック,あそだ内科クリニック,医療法人社団谷掛整形外科診療所,もりもとクリニック,医療法人双福会伊藤医院,たけもとクリニック,医療法人前田医院,かづきクリニック,奈良東九条病院,一般財団法人沢井病院,医療法人岡谷会おかたに病院,医療法人坂口医院,西村クリニック,医療法人竹村内科医院,医療法人宮城会宮城医院,三条通り整形外科,医療法人正和会野村医院,医療法人 須基内科医院,奥医院,医療法人岡谷会 さくら診療所,医療法人三谷医院,なら内視鏡クリニック,金田内科医院,医療法人吉本医院,奈良市立都祁診療所,高木医院,森田医院,医療法人宝山会 奈良小南病院,藤原クリニック,医療法人坪村診療所,わかくさ会診療所,金田内科クリニック,医療法人岡谷会新大宮診療所,くわた在宅クリニック,しらい内科医院,原医院,ささきクリニック,奈良市立田原診療所
奈良市横田町,奈良市,横田町,29201816000,0.03711441781934808,135.91064088933294,34.658480757747014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,99.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0
奈良市茗荷町,奈良市,茗荷町,29201817000,0.5605599038177868,135.9065860407377,34.65427836044173,89.0,51.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市和田町,奈良市,和田町,29201828000,0.7325803540953719,135.90301322758714,34.66097113021379,36.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,15.0,16.0,0.0,13.0,69.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0
奈良市中之庄町,奈良市,中之庄町,29201822000,0.8660161992669849,135.9186772706078,34.654612447388644,35.0,45.0,0.0,26.0,0.0,0.0,32.0,0.0,47.0,0.0,0.0,0.0,72.0,0.0,32.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,25.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
奈良市大野町,奈良市,大野町,29201824000,1.1046837606899205,135.92210613003417,34.660450577068886,25.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市日笠町,奈良市,日笠町,29201825000,1.135579830575348,135.91908190099383,34.665511894255474,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市中貫町,奈良市,中貫町,29201823000,1.2184381424890638,135.92355621780752,34.6570281248869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市此瀬町,奈良市,此瀬町,29201827000,1.329134145300964,135.90795616393078,34.67006878191449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
奈良市南田原町,奈良市,南田原町,29201821000,1.3509289727493003,135.9179437059965,34.64786885995595,0.0,0.0,0.0,0.0,16.0,0.0,15.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,10.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0
奈良市矢田原町,奈良市,矢田原町,29201818000,1.563641027711025,135.89844015366367,34.64816457481711,168.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,23.0,0.0,27.0,33.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,29.0,88.0,0.0,0.0,25.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市須山町,奈良市,須山町,29201829000,1.6601881655419843,135.89510305669785,34.666413334601856,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,98.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市沓掛町,奈良市,沓掛町,29201826000,1.716057141309915,135.92199549736588,34.670357028807665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市田原春日野町,奈良市,田原春日野町,29201831000,2.062488140022337,135.8893935653612,34.65136968067857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
