facility,total_patients,top3_frequency
医療法人岡谷会高畑診療所,5299.0,24
医療法人 西脇クリニック,4562.0,7
はしもと内科,2502.0,13
市立奈良病院,2232.0,9
甲斐 内科 消化器内科 クリニック,1857.0,2
医療法人 祥風会 奈良みどりクリニック,1836.0,6
医療法人博愛会松倉病院(社団),1574.0,6
石崎内科天満診療所,1437.0,5
もりもとクリニック,1298.0,1
おうとくクリニック,1277.0,4
たけもとクリニック,1087.0,7
医療法人坂口医院,1025.0,2
医療法人 つかもと整形外科,968.0,2
東谷医院,960.0,4
寺崎クリニック,956.0,2
佐野内科医院,949.0,4
奈良市立都祁診療所,941.0,5
医療法人うえしげクリニック,831.0,2
医療法人社団谷掛整形外科診療所,776.0,2
かづきクリニック,600.0,0
岩井内科クリニック,588.0,2
医療法人竹村内科医院,546.0,0
内科神経科精神科水原診療所,522.0,1
奈良東九条病院,499.0,1
奈良市立田原診療所,450.0,3
吉富クリニック,408.0,1
医療法人岡谷会 さくら診療所,350.0,0
金田内科医院,334.0,2
藤原クリニック,331.0,1
一般財団法人沢井病院,318.0,3
医療法人岡谷会新大宮診療所,294.0,3
奥医院,290.0,0
奈良やよいクリニック,265.0,0
村嶋小児科医院,262.0,0
医療法人宮城会宮城医院,252.0,1
医療法人三谷医院,251.0,0
三条通り整形外科,244.0,0
医療法人前田医院,232.0,0
あそだ内科クリニック,225.0,1
しらやま医院,224.0,0
高木医院,218.0,1
西村クリニック,214.0,2
森田医院,199.0,1
奈良みあとクリニック,191.0,0
医療法人 中井医院,179.0,1
なら内視鏡クリニック,177.0,0
医療法人岡谷会おかたに病院,176.0,0
クリニック 青い鳥,149.0,0
医療法人宝山会 奈良小南病院,140.0,1
医療法人 須基内科医院,133.0,0
くわた在宅クリニック,123.0,0
医療法人正和会野村医院,85.0,2
医療法人坪村診療所,79.0,0
医療法人双福会伊藤医院,68.0,0
金田内科クリニック,65.0,0
わかくさ会診療所,24.0,0
ささきクリニック,13.0,1
医療法人吉本医院,0.0,0
しらい内科医院,0.0,0
原医院,0.0,0
