rank,施設名,利用者数合計,対象施設フラグ
1,はしもと内科,38081.0,0
2,甲斐 内科 消化器内科 クリニック,29091.0,0
3,内科神経科精神科水原診療所,23656.0,0
4,奈良みあとクリニック,22553.0,0
5,おうとくクリニック,19726.0,0
6,クリニック 青い鳥,19220.0,0
7,医療法人 祥風会 奈良みどりクリニック,19035.0,0
8,岩井内科クリニック,16166.0,0
9,村嶋小児科医院,16042.0,0
10,佐野内科医院,14178.0,0
11,医療法人 つかもと整形外科,13200.0,0
12,東谷医院,12363.0,0
13,市立奈良病院,12098.0,0
14,寺崎クリニック,11212.0,0
15,医療法人博愛会松倉病院(社団),11172.0,0
16,医療法人岡谷会高畑診療所,10442.0,0
17,吉富クリニック,9578.0,0
18,しらやま医院,9525.0,0
19,奈良やよいクリニック,9519.0,0
20,医療法人 中井医院,9423.0,0
21,医療法人うえしげクリニック,9398.0,0
22,石崎内科天満診療所,9129.0,0
23,医療法人 西脇クリニック,9085.0,0
24,あそだ内科クリニック,8251.0,0
25,医療法人社団谷掛整形外科診療所,8207.0,0
26,もりもとクリニック,7703.0,0
27,医療法人双福会伊藤医院,7218.0,0
28,たけもとクリニック,6969.0,0
29,医療法人前田医院,6910.0,0
30,かづきクリニック,6671.0,0
31,奈良東九条病院,6318.0,0
32,一般財団法人沢井病院,6027.0,0
33,医療法人岡谷会おかたに病院,6013.0,0
34,医療法人坂口医院,5971.0,0
35,西村クリニック,5959.0,0
36,医療法人竹村内科医院,5880.0,0
37,医療法人宮城会宮城医院,5774.0,0
38,三条通り整形外科,5555.0,0
39,医療法人正和会野村医院,5438.0,0
40,医療法人 須基内科医院,5319.0,0
41,奥医院,5194.0,0
42,医療法人岡谷会 さくら診療所,5192.0,0
43,医療法人三谷医院,5156.0,0
44,なら内視鏡クリニック,5107.0,0
45,金田内科医院,4937.0,0
46,医療法人吉本医院,4870.0,0
47,奈良市立都祁診療所,4741.0,0
48,高木医院,4607.0,0
49,森田医院,4595.0,0
50,医療法人宝山会 奈良小南病院,4238.0,0
51,藤原クリニック,4179.0,0
52,医療法人坪村診療所,3896.0,0
53,わかくさ会診療所,3749.0,0
54,金田内科クリニック,3701.0,0
55,医療法人岡谷会新大宮診療所,3664.0,0
56,くわた在宅クリニック,3660.0,0
57,しらい内科医院,3565.0,0
58,原医院,3482.0,0
59,ささきクリニック,3342.0,0
60,奈良市立田原診療所,542.0,1
