town_name_show,dist_km,医療法人岡谷会高畑診療所,医療法人 西脇クリニック,はしもと内科,市立奈良病院,甲斐 内科 消化器内科 クリニック,医療法人 祥風会 奈良みどりクリニック,医療法人博愛会松倉病院(社団),石崎内科天満診療所,もりもとクリニック,おうとくクリニック
奈良市横田町,0.03711441781934808,99.0,0.0,0.0,0.0,0.0,0.0,50.0,51.0,0.0,0.0
奈良市茗荷町,0.5605599038177868,117.0,0.0,89.0,0.0,51.0,25.0,0.0,0.0,0.0,0.0
奈良市和田町,0.7325803540953719,69.0,0.0,36.0,16.0,0.0,30.0,13.0,0.0,0.0,0.0
奈良市中之庄町,0.8660161992669849,171.0,0.0,35.0,72.0,45.0,32.0,32.0,0.0,0.0,0.0
奈良市大野町,1.1046837606899205,49.0,24.0,25.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
奈良市日笠町,1.135579830575348,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市中貫町,1.2184381424890638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市此瀬町,1.329134145300964,61.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
奈良市南田原町,1.3509289727493003,28.0,108.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,16.0
奈良市矢田原町,1.563641027711025,194.0,88.0,168.0,33.0,0.0,27.0,0.0,29.0,25.0,0.0
奈良市須山町,1.6601881655419843,98.0,0.0,17.0,0.0,0.0,0.0,12.0,32.0,0.0,0.0
奈良市沓掛町,1.716057141309915,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市田原春日野町,2.062488140022337,87.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0
奈良市鹿野園町,2.158558275678314,517.0,1163.0,0.0,163.0,201.0,212.0,0.0,77.0,683.0,112.0
奈良市長谷町,2.3873039646689165,25.0,15.0,38.0,11.0,15.0,12.0,44.0,11.0,0.0,0.0
奈良市誓多林町,2.550760464516838,36.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市別所町,2.634243676194377,66.0,51.0,0.0,0.0,0.0,44.0,22.0,0.0,0.0,0.0
奈良市大平尾町,3.0971326321263435,29.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
奈良市杣ノ川町,3.2651263529107135,83.0,0.0,0.0,84.0,0.0,43.0,98.0,0.0,0.0,0.0
奈良市菩提山町,3.4335353495321685,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市大慈仙町,3.480304550306133,0.0,0.0,16.0,0.0,0.0,12.0,0.0,16.0,14.0,0.0
奈良市水間町,3.4884546470567477,16.0,0.0,36.0,40.0,13.0,0.0,76.0,0.0,0.0,36.0
奈良市中畑町,3.769354997530968,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市北椿尾町,3.78228747413169,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市鉢伏町,3.852410108284247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市白毫寺町,3.9227662515662307,1522.0,1127.0,346.0,227.0,126.0,390.0,368.0,315.0,69.0,33.0
天理市山田町,4.018643971613467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市忍辱山町,4.034620582340843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0
奈良市生琉里町,4.245513651407385,0.0,0.0,0.0,30.0,0.0,0.0,0.0,44.0,0.0,0.0
奈良市興隆寺町,4.546404230874386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市平清水町,4.6447280728682125,0.0,0.0,41.0,69.0,0.0,0.0,23.0,0.0,0.0,0.0
奈良市都祁馬場町,4.6688332167388955,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市南椿尾町,4.876150581271426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市藤原町,5.00019573309047,0.0,0.0,52.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
山添村大字松尾,5.23277207089618,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市荻町,5.2735794620828065,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字室津,5.2896130430960495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市八島町,5.3007087226519385,0.0,118.0,52.0,34.0,45.0,41.0,0.0,52.0,0.0,0.0
山添村大字的野,5.30125318778677,121.0,0.0,29.0,0.0,0.0,25.0,32.0,0.0,0.0,0.0
奈良市園田町,5.310840188281613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市米谷町,5.418727371249965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市春日野町,5.4433090430372335,0.0,0.0,139.0,0.0,0.0,0.0,0.0,46.0,0.0,22.0
天理市福住町,5.471851641248838,58.0,0.0,0.0,90.0,0.0,0.0,0.0,76.0,0.0,0.0
奈良市大柳生町,5.563977103409683,0.0,0.0,168.0,55.0,0.0,0.0,0.0,28.0,0.0,0.0
奈良市法用町,5.56821317008336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市大保町,5.842591914044044,40.0,13.0,0.0,31.0,0.0,0.0,21.0,0.0,0.0,0.0
奈良市高樋町,5.863292543505144,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市須川町,5.927892110118431,0.0,0.0,57.0,0.0,41.0,0.0,0.0,19.0,0.0,17.0
奈良市中ノ川町,5.973744627126179,0.0,0.0,51.0,16.0,0.0,40.0,17.0,0.0,0.0,33.0
奈良市山町,6.062534535799895,0.0,0.0,141.0,0.0,334.0,52.0,0.0,157.0,79.0,328.0
奈良市南庄町,6.097360628397344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市東鳴川町,6.244574585456501,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市虚空蔵町,6.282705815065722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字峰寺,6.330593720635106,46.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
奈良市窪之庄町,6.375474598051665,296.0,0.0,44.0,0.0,0.0,50.0,0.0,185.0,0.0,196.0
奈良市丹生町,6.397427222934785,124.0,0.0,0.0,108.0,0.0,114.0,0.0,29.0,0.0,52.0
奈良市針町,6.407938322267823,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市古市町,6.453105525175204,1045.0,1812.0,683.0,1082.0,986.0,482.0,633.0,194.0,428.0,377.0
山添村大字桐山,6.561367370006433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市針ケ別所町,6.565555647704851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
