facility,total_patients,top3_frequency
宇陀市立病院,7073.0,13
くらもと胃腸科医院,6963.0,16
奈良市都祁診療所,6181.0,14
医療法人吉生会吉井整形外科医院,5624.0,10
社会医療法人高清会　高井病院,5112.0,10
鳥見眼科,3160.0,7
医療法人飯岡会　のぞみ診療所,2740.0,6
医療法人　山本診療所,2690.0,1
公益財団法人　天理よろづ相談所病院,2400.0,3
医療法人豊生会　加藤クリニック,2389.0,3
八木医院,2240.0,3
たかはしファミリークリニック,2165.0,2
医療法人谷口内科医院,1683.0,2
医療法人宮城会宮城医院,1680.0,3
熊田内科クリニック,1672.0,1
原医院,1670.0,1
辻医院,1642.0,3
クリニックせんざい,1133.0,1
いいおか医院,1100.0,3
宇陀市国民健康保険直営東里診療所,1026.0,2
あさくらクリニック,1023.0,4
医療法人智光会　城井内科医院,884.0,0
奈良市立月ヶ瀬診療所,855.0,1
医療法人新仁会奈良春日病院,750.0,4
医療法人厚生会奈良厚生会病院,732.0,0
塩田医院,700.0,3
北村医院,580.0,1
ますだ呼吸器科クリニック,385.0,0
みないち循環器内科・外科,324.0,1
グランソール奈良,273.0,0
よしこクリニック,267.0,0
鹿子木診療所,235.0,0
福井療院,223.0,1
医療法人拓誠会辻村病院,195.0,0
吉川診療所,189.0,0
奈良市立田原診療所,183.0,1
医療法人　岩井メディカルクリニック,181.0,0
医療法人　ふくしまクリニック,175.0,0
医療法人おのざき整形外科,157.0,0
社会福祉法人心境荘苑診療所,156.0,0
牧浦内科,151.0,0
ニッタ（株）奈良工場診療所,147.0,0
医療法人友永循環器医院,135.0,0
伊賀市立上野総合市民病院,92.0,0
医療法人社団岡田会山の辺病院,78.0,0
おおさかクリニック,76.0,0
西村医院,68.0,0
奈良市立柳生診療所,67.0,0
医療法人萩乃里診療所,51.0,0
旧ひまわりクリニック,50.0,0
山内醫院,43.0,0
大浦内科クリニック,39.0,0
ささきクリニック,25.0,0
社会医療法人畿内会　岡波総合病院,0.0,0
医療法人松山医院,0.0,0
医療法人宣仁会白濱医院,0.0,0
寺西医院,0.0,0
医療法人髙宮会 髙宮病院,0.0,0
社会福祉法人誠敬会ぬくもりクリニック田原本,0.0,0
山添村国民健康保険波多野診療所,0.0,0
