rank,施設名,利用者数合計,対象施設フラグ
1,くらもと胃腸科医院,217145.0,0
2,たかはしファミリークリニック,114738.0,0
3,八木医院,81480.0,0
4,辻医院,70871.0,0
5,社会医療法人高清会　高井病院,53146.0,0
6,医療法人飯岡会　のぞみ診療所,52464.0,0
7,いいおか医院,52176.0,0
8,公益財団法人　天理よろづ相談所病院,48239.0,0
9,医療法人宮城会宮城医院,48087.0,0
10,クリニックせんざい,36089.0,0
11,おおさかクリニック,33368.0,0
12,宇陀市立病院,30824.0,0
13,鹿子木診療所,27697.0,0
14,医療法人厚生会奈良厚生会病院,22299.0,0
15,原医院,21549.0,0
16,みないち循環器内科・外科,20382.0,0
17,医療法人吉生会吉井整形外科医院,17319.0,0
18,奈良市立月ヶ瀬診療所,15448.0,0
19,西村医院,15243.0,0
20,医療法人社団岡田会山の辺病院,14952.0,0
21,医療法人髙宮会 髙宮病院,14246.0,0
22,鳥見眼科,13964.0,0
23,吉川診療所,12497.0,0
24,あさくらクリニック,11481.0,0
25,牧浦内科,11244.0,0
26,ニッタ（株）奈良工場診療所,11220.0,0
27,医療法人　ふくしまクリニック,10699.0,0
28,北村医院,10009.0,0
29,医療法人智光会　城井内科医院,9709.0,0
30,医療法人友永循環器医院,9450.0,0
31,医療法人豊生会　加藤クリニック,8691.0,0
32,医療法人　山本診療所,8116.0,0
33,医療法人拓誠会辻村病院,7898.0,0
34,医療法人谷口内科医院,7102.0,0
35,医療法人新仁会奈良春日病院,7062.0,0
36,よしこクリニック,6756.0,0
37,奈良市都祁診療所,6707.0,1
38,山内醫院,6453.0,0
39,ささきクリニック,5836.0,0
40,旧ひまわりクリニック,5698.0,0
41,医療法人宣仁会白濱医院,5158.0,0
42,グランソール奈良,5091.0,0
43,医療法人　岩井メディカルクリニック,5015.0,0
44,熊田内科クリニック,4924.0,0
45,医療法人おのざき整形外科,4707.0,0
46,塩田医院,4065.0,0
47,社会医療法人畿内会　岡波総合病院,3803.0,0
48,医療法人松山医院,3049.0,0
49,奈良市立柳生診療所,2350.0,0
50,医療法人萩乃里診療所,1815.0,0
51,ますだ呼吸器科クリニック,1696.0,0
52,寺西医院,1360.0,0
53,宇陀市国民健康保険直営東里診療所,1099.0,0
54,伊賀市立上野総合市民病院,878.0,0
55,社会福祉法人心境荘苑診療所,828.0,0
56,大浦内科クリニック,728.0,0
57,福井療院,654.0,0
58,社会福祉法人誠敬会ぬくもりクリニック田原本,497.0,0
59,奈良市立田原診療所,487.0,0
60,山添村国民健康保険波多野診療所,424.0,0
