town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,奈良市立都祁診療所,医療法人正和会野村医院,社会医療法人畿内会 岡波総合病院,奈良市立月ヶ瀬診療所,山添村国民健康保険豊原診療所,山添村国民健康保険東山診療所,伊賀市立上野総合市民病院,奈良市立柳生診療所,あずまクリニック,山添村国民健康保険波多野診療所,医療法人 伊左治医院,医療法人アクアクリニック伊賀,医療法人友和会 竹沢内科歯科医院,梨ノ木診療所,佐々木内科,奈良市立田原診療所,ひらい小児科クリニック,奈良市立興東診療所,医療法人森川病院,はしもと総合診療クリニック,医療法人 泉澄会 亀田クリニック,おおのクリニック,医療法人社団馬岡医院,滝井医院,竹代クリニック,ゆめが丘クリニック,宮本医院,嶋地医院,広瀬医院,森田クリニック,桔梗往診クリニック24,医療法人佐那具医院,桔梗が丘四番町診療所,西田整形外科医院,一般財団法人信貴山病院分院上野病院,まちしクリニック,しみずハートクリニック,伊藤医院,医療法人阿山共生会 河合診療所,伊賀市応急診療所,医療法人 竹澤内科小児科医院,医療法人中産婦人科緑ケ丘クリニック,医療法人喜多医院,矢倉医院,あずま診療所,大西医院,松本胃腸内科,吉村クリニック,猪木内科医院,竹沢医院,谷本整形
奈良市月ヶ瀬尾山,奈良市,月ヶ瀬尾山,29201867000,0.28328643857498115,136.04743329693437,34.710059653154964,0.0,0.0,1439.0,630.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市月ヶ瀬長引,奈良市,月ヶ瀬長引,29201866000,1.0095616805705576,136.03781692273103,34.718211065876545,0.0,0.0,0.0,184.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市月ヶ瀬嵩,奈良市,月ヶ瀬嵩,29201868000,1.5548260774152372,136.03240359948254,34.701246168563216,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字遅瀬,山添村,大字遅瀬,29322012000,1.7135855114178826,136.04855463284915,34.69596538230586,0.0,379.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市月ヶ瀬石打,奈良市,月ヶ瀬石打,29201865000,1.8472221782121536,136.05695726526014,34.724145351866675,0.0,0.0,1216.0,966.0,0.0,0.0,54.0,146.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字下津,山添村,大字下津,29322011000,2.5649239314987415,136.03523494862466,34.68926836160803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字中峰山,山添村,大字中峰山,29322013000,2.8847849836834047,136.06711962465397,34.692878796417396,0.0,40.0,228.0,53.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市月ヶ瀬月瀬,奈良市,月ヶ瀬月瀬,29201869000,2.9237721696693826,136.01877880639387,34.69546619687424,0.0,0.0,337.0,69.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字大西,山添村,大字大西,29322008000,3.164346986425996,136.04085918797531,34.68272863845616,0.0,193.0,34.0,42.0,57.0,0.0,66.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字春日,山添村,大字春日,29322007000,3.4175591382625954,136.0509060179404,34.6807334869031,0.0,1149.0,212.0,0.0,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
