facility,total_patients,top3_frequency
医療法人正和会野村医院,5234.0,17
社会医療法人畿内会 岡波総合病院,4964.0,13
奈良市立月ヶ瀬診療所,2030.0,5
奈良市立都祁診療所,1972.0,10
山添村国民健康保険豊原診療所,1591.0,5
山添村国民健康保険東山診療所,1524.0,8
伊賀市立上野総合市民病院,1362.0,4
あずまクリニック,1071.0,3
奈良市立柳生診療所,1024.0,7
山添村国民健康保険波多野診療所,869.0,6
医療法人 伊左治医院,472.0,2
医療法人友和会 竹沢内科歯科医院,323.0,1
医療法人アクアクリニック伊賀,321.0,1
梨ノ木診療所,298.0,1
佐々木内科,283.0,3
ひらい小児科クリニック,241.0,1
医療法人森川病院,226.0,1
はしもと総合診療クリニック,223.0,3
奈良市立興東診療所,220.0,1
医療法人 泉澄会 亀田クリニック,183.0,2
医療法人社団馬岡医院,168.0,1
おおのクリニック,147.0,2
滝井医院,119.0,0
竹代クリニック,116.0,2
ゆめが丘クリニック,106.0,1
宮本医院,75.0,0
嶋地医院,63.0,1
広瀬医院,61.0,1
森田クリニック,60.0,1
医療法人佐那具医院,52.0,0
桔梗が丘四番町診療所,43.0,1
一般財団法人信貴山病院分院上野病院,38.0,0
桔梗往診クリニック24,36.0,0
奈良市立田原診療所,20.0,1
まちしクリニック,16.0,0
大西医院,0.0,0
松本胃腸内科,0.0,0
竹沢医院,0.0,0
吉村クリニック,0.0,0
猪木内科医院,0.0,0
矢倉医院,0.0,0
あずま診療所,0.0,0
医療法人阿山共生会 河合診療所,0.0,0
医療法人喜多医院,0.0,0
医療法人中産婦人科緑ケ丘クリニック,0.0,0
医療法人 竹澤内科小児科医院,0.0,0
伊賀市応急診療所,0.0,0
伊藤医院,0.0,0
しみずハートクリニック,0.0,0
西田整形外科医院,0.0,0
谷本整形,0.0,0
